,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,XMR,ADA,LEO,TRX,DASH,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.129064508852389,0.142947281198845,0.0122417277697544,-0.196993339911852,0,0,0.0523904269974722,0.312299704553877,0.204866912087167,-0.149391157119,-0.00381761804390148,0,0.326425177197887,0.175600017318508,-6.93889390390723e-18,0,0,0,0.0364637077486755
ETH,0.177974749391764,0,0,0.111409373183383,0.0161382163548483,0.0714133046422445,0.184996949835641,0,0,0,0.0626551673165589,-0.0887295696994379,-0.024757029265042,0.367770387486801,0.172679080288236,0,0,0,0,0.0322711789595576
XRP,0.0619062315440094,0.105210412263547,0,0.0919520558443459,0,0,0.248431021732051,0,0,0,0.229717995228126,0,0,0,0.0616189839602946,-0.0686472615389295,0,0,0,0.0644336353010844
BCH,0.160175372557764,0.554844145968663,0,0,-0.105251896278637,0,0,0.176596218787044,0.103139791746542,-0.0494376757594558,0,0,-0.0748615723311249,0.113950141381416,0.239629019159888,0,0,0,0,0.055166294087302
LTC,0,0,0,0.122287090975965,0,0,0.291789557070131,-0.00826671878934712,0.162766338131677,0,0.208468720007188,0.0539148266234854,0,0,0.0632261852671087,0.0457468116232077,0,0,0,0.0287732670359385
BNB,0,0.0453946493988428,0,-0.0314736459387383,0.231106095899251,0,0,0,0,0,0.00426466525551999,0,0.350760099442293,0.109430907857033,0.00818091853305743,0,0,0,0,0
EOS,0,0.238415226691932,0.454036161955783,0.0952525483503964,0,0,0,0.16930344074799,0,0,0.112932576574701,0,0,0.115001108390542,0.0822572587613032,0,0,0,0,-0.00591763732966956
BSV,0.204105088017315,0,0,0.262269942118474,0,0,0,0,0.151060051342895,-3.46944695195361e-18,0.089137766620224,0.188887718204558,0.182663691359563,0.0908156641125508,0.213747715367442,0.031475788959911,0,0,0,0.136462895030968
XLM,0.201833940303107,0.112743062409684,0,0.193345616323763,0.133762127047648,0,3.46944695195361e-18,0,0,0,0.0296667766557599,0,0,0,0,0,0,0,0,0.00708952694858481
XMR,0.0584491631720634,0,0,-0.0275373740614519,-0.289290005023413,0.237799046356943,0.244484961926752,0,0,0,-0.110781742960837,0.509980452074138,0.36827230553421,0.219830068678703,0,0,0,0,0,0
ADA,0,0,0,0,0.119888391406831,0,0.210121747261838,0.0184902215977376,0.194876288854762,0,0,0,0.276246422376487,0,0,0,0.0831313268088068,0,0,0.00992032045346109
LEO,-0.0775344150373789,0,-0.347749810325845,0.492146798216453,0,0.196731036891042,0.252690264705986,0.0514618209298307,-0.282036068035326,0.204296769215147,0,0,0,0,-0.0586420745168348,0.265865678280802,0.256225071553662,0,0,-0.154540326036316
TRX,0.0195689954990842,0,0,0,0.321591130120299,0,-3.46944695195361e-18,0.194531541130123,0.491721677916745,0.0707046632758021,0.057450928423091,-0.245803411522922,0,0.118928740702782,0,0,0,0,0,0.0465540672168322
DASH,0.367709294786458,0.364337396055896,-0.418076002129249,-0.121293720425443,0,0.0851575160063258,0.141057508487235,0.0721636339446672,0,0.0879256579048302,0,0.154711109265514,0.141786454294538,0,0,0,0,0,0,0
ETC,0,0,0.0953657428755156,0.350803045614028,0.362075061191796,0.11998514114072,3.46944695195361e-18,0,0,0.057231044897398,0.0580899796896922,0,0,0.0271566535227884,0,-0.0817708753212114,0.0721850643306737,0,0,-0.139780308968971
BV010082.Index,0,0,0,0,-0.0817237707557124,0,0,0,0,-0.257677758746158,0,0.394334726148833,0.104339123040944,0,0.400709877213834,0,-0.688233968195402,0,0,-0.104098330054371
CVIX.Index,-0.456095671950457,0,0,0,0,0.131985927177067,0,-0.111104776907684,0.144273996552878,0,0.301807868945174,0.157264031938512,-0.147086866841183,0.00799956350304147,0,0,0,0,0,0.0359320600995349
DXY.Curncy,0.00929606683348429,0,0,0.00649356100996666,0.00447374723724319,0.00654148189439175,-0.0183751387789336,0.0111511811663699,-0.00213479410109815,5.42101086242752e-20,0,0.0128403795198939,0,-0.0334832342951232,0.00311811659624465,0.0437511597366935,-0.00819373620448593,0,0,-0.00446658934166977
SPX.Index,0.00773567386021139,0,0,0.0483337128845314,0.00308431635249434,0.00907573289457301,-0.0150472252810333,0,-5.42101086242752e-20,-0.0162506813600333,-0.0104095158259838,-0.0376656933793966,0,0,0,0.0966945265034041,0,0,0,-0.0872789809981517
VIX.Index,-0.230338199222716,0,0.524754671600363,0,0.260078263100986,-0.0986294457068731,0,0,0,-0.417897708289009,0,-0.246677771499826,0.0262835277375417,0,0,-0.237608106123687,0.245803129544983,0,-5.91781667781861,0
