,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0370129984278924,0,0.177346144788281,0.0933976548820012,0,0.108290302258805,0,0.0783550585788945,0,0.0285044880591837,0.0991325064188815,0.0490105237389763,0,0,0,0,0,0,0
ETH,0.300250096600197,0,0,0.119106096852902,0.144279299833807,0.163956886838202,0,0.224138267510275,0.0231942878434212,0,0,0,0,-0.0552179712296918,0.101496439957878,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.00623857016497398,-0.0605841985598893,0.108605200315854,0.127226076350102,0,0.221353264871765,0.310186096358832,0.241615463141008,0,-0.141113944941729,0,0,0
BCH,0,0,0,0,0.152378875817867,0,0.311659980134454,0,0,0.0597308605622188,0,0.346374609907059,0,0.104020013058139,0.0615189471466657,0,0,0,0,-0.12599756226175
LTC,0.0683797203729318,0.0484836935899149,0.0624353894687355,0.166922145942613,0,0,0,0,0.140716313441166,0,0,0,0.0702965831944336,0.0100605044252389,0.119709159637075,0,0,0,0,-0.0217480383245124
ADA,0,0,0.343200756660698,0,0,0,0.108823195650718,0,0.0504210911696111,0.0169699434536631,0,0.15247791433171,0.220088210137399,0,0,0,0,0,0,0
NEO,0.274132291849877,0.493187859764343,0,0.0613111015566471,0,0.179240929328773,0,0,-0.0775393754668419,0.0158853857726833,0.0130797577455206,0,0,-0.102268551728805,0.329395216139623,0,0,0,0,-0.0518391481628234
XLM,0,0.00626757104596003,0.0679357208073168,0,0,0.154390119507759,0.0578288945624469,0,0.0447044506597231,0.000000000000000000216840434497101,0,0.0809359883517985,0.0393768066168626,0.241880901623663,0.197945234417499,0,0,0,0,0
EOS,0.047030964352704,0,0,0.0136152880227255,0.30913128304463,0,-0.127524222651562,0,0,0.197350895902818,0,0.048335713074083,0,0.226734130752001,0,0,0,0,0,-0.108221141257264
XEM,0,0,0,0,0.290626852459845,0.11681766313397,0,0,0.195579719688237,0,0,0,0.191719009596199,0.133017182729404,0,0,0,0,0,0.0740417973773944
XMR,0.22748177808527,0,-0.0000000000000000138777878078145,0,0.166777320147378,0.331358343541658,0.249620707974631,0,0,-0.0819966520947866,0,0,0.155153671383551,0.00923595246105838,0,0,0,0,0,0.0380327834172975
DASH,0.186160348373832,0.362165653917202,0,0.114014518348082,0,0.112285499657987,-0.0244765446753781,0,-0.00000000000000000346944695195361,0,0.0248765850661336,0,0,0.101595929909603,0,0,0,0,0,0.0413472166141695
MIOTA,0,0,0.00959054858337499,0.290360502760162,0.131411347708203,0.0497404116405048,0,0,0.0181394905341348,0.138955832849823,0.163401454559453,0,0,0,0.065539095722329,0,0,0,0,0
TRX,0,-0.0437056392878638,0.134407427234491,0.148535517614429,0,0,-0.231675112873449,0.129791037087032,0,0.293335750256688,0.130486695632351,0.333916752221002,0.0209147951839743,0,0,0,0,0,0,0.156228375924564
ETC,0,0,0.299815985738531,0,-0.0489308507136243,0,0.205137822865158,0.197569864076924,0.401716970930223,0,0,-0.00830313713748554,0,0,0,0,0,0,0,0.0595155863994511
BV010082.INDEX,0.0397220057006352,-0.129498432392967,0.0172286280646074,0.0871031763216341,0.0437914287814812,0,-0.0161502435959078,0.00850026738332682,0.00412748198960873,0.0361181047484198,0,0.0589213029693571,0.0182163684331271,-0.125584101663751,0.00404287492232563,0,0,0,0,-0.0345014848494713
CVIX.INDEX,0,-0.159480509785932,0.0240709168434577,-0.132067185296041,0.0846766365516756,0.14074423727371,0.0440025860875077,0.088752370457663,0.0507958255542117,-0.24162558875299,0,0.222079931599953,-0.0113214237312277,-0.11314403622776,0.00654730242351364,0,0,0,0,0.086958601093642
DXY.INDEX,0.00927092574430648,0.0157700314282675,0.0275616077027772,0,0,0.0071970675822984,-0.0189534252231767,-0.0272254379348392,-0.0430122711755228,0,-0.00599265271278372,0,0,-0.00833102495621889,0.0248507755140621,-0.0404727284257989,-0.00909242552446018,0,0,0
SPX.INDEX,0,0,0,0.00889665043425142,0.0259168690088737,0,-0.0157333812882918,0,0,0.0334936492869268,0.0193449321529734,0,0.00214215662432458,-0.089886831266743,0,0,-0.0457833457472589,0,0,-0.0580372396024877
VIX.INDEX,-1.09652822152258,0,0,0,-0.119310444391732,0,0.377569187741274,0,0.332238715123813,0.217735275152107,0.344701251610001,-0.0580107945040746,-0.522067327379338,0.0113575510180995,0.245253365427849,-1.91064077453441,0.556506609223264,0,-4.12717091838133,0
