,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0480154134453983,0.028019520300113,0,0.0446748037324163,0.141364549385911,0,0.183064176565809,0.0914462373779203,0.00257337093487496,0.0706148701350947,0,-0.000000000000000000433680868994202,0,0,0,0,0,0.00086787830604741
ETH,0.160145956695156,0,0,0.196795842333593,0.0476930038380965,-0.0245752679562427,0,0,0,0,0.0357537697040283,0.209288881389157,0.119182575827765,0.173162791763136,-0.0159499337896217,0,0,0,0,0.0323908753282138
XRP,0,0.192291407933916,0,0.192335026676573,0.0467037253144904,0.038305542506837,0,0,-0.119512480185153,0.196514556547011,0.0387433070135677,0,0,0.174209891781351,0.162814919819381,0,0,0,0,0.103019246225529
BCH,0.0610378248695093,0.177537050324062,0,0,0.174047020387711,0,0.365590912008506,0.0385426204708255,0,0,0.063161580681415,0.0904544160279587,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0.0802182346843768,0,0,0,0.0273092409806158,0.0134934677765331,0.513559436881053,0.212004296594139,0,0.188225060015129,0,0,0,0,0
XLM,0.326129127940647,-0.129617330275571,0,0.0877518887620815,0,0,0,0.296511002920114,0.241915469197092,-0.0149562779133223,0,0,0.203079073511278,0,0,0,-0.0645119573361834,0,0,-0.0880861606711505
LTC,0,0,0,0.329052866119385,0.166348461879912,0,0,0,0,0.162456353158968,0,0,0,0.125700762594482,0,0,0,0,0,0
ADA,0,0,0.0110116506597501,0.0259154193839967,0,0.250777393217852,0.470562381249392,0,0.0744051485238761,0.0504911866662957,0.130542058753613,0.0743739460708227,0,0,0,0,0,0,0,-0.125180902418287
XMR,0.472472438236606,0,0,0.14900996691576,0,0.00346228365342206,0,0.120896368833846,0,0.0839977300885704,0,-0.0771480603391484,0.0671943566512389,0.11265711606737,0.110576118022076,0,0,0,0,0.0553671805448581
MIOTA,0.334663068495117,0,0.233534813555478,0,0,0.230422253656183,0,-0.178976161489644,0,0,0,0.205003817802293,0.571286907760184,-0.0809488111759553,0,0,0,0,0,0
DASH,0,0.241299654103142,-0.298281877016576,0,0.234320206212949,0.0414268259431809,0,0.339658115272194,-0.0908788474058763,0.129198634748667,0,0.24682688547124,0.109850122741021,0,-0.117379874182261,0,0,0,0,0.0789599276250885
TRX,0,0.605210384019794,0,0.0787964834942946,0.113355226244779,0.150103933115088,0,0.210622913172075,0.112908258338314,0.0287897216129229,0.0163931490181809,0,0.169260466587585,-0.106489720056452,-0.102391015914743,0,0,0,0,-0.0014111194380023
NEO,-0.320914566325745,0.477326140136006,0,0.0337050668879773,0,0,0,0.237770003043623,0.372399129569131,0.295902524235614,0.00680769671457356,0.0427230782112357,0,-0.127675176119373,-0.0428259254976117,0,0,0,0,0
ETC,0.0877657407837087,0.485419634601361,-0.253604881540682,0,0,0,0,-0.0971553916831956,0.127612558059879,0.353826484122284,-0.172860437880988,0,-0.0439642705621996,0,0.397231387983243,0,0,0,0,0.0333100940399365
XEM,0,0,0.152399103291228,0,0.121367417160023,0.290683436996721,0,0,0.106136880710672,0,0,0,0.222272172159242,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.040410614915532,-0.0418999877724439,-0.156515044278191,0.0177653821538935,0,0,0.0471612951811387,0,-0.0273668641135333,0,0.191993924774318,0,0,0,0,-0.06073631447806
CVIX.INDEX,-0.406444941393654,0,0,0,-0.0478029385007026,-0.0454813600116023,0,0.300247299278973,0.0340217659108793,0,0,-0.0991604084185483,0,0.0601016718952428,0.264227276770446,-0.650692913458985,0,0,0,0.188913230296945
DXY.INDEX,0,0,0,0,0,-0.00353754668251408,-0.0441347963645236,0,0.00508923454211203,-0.00805082988136707,0,0,0.0072137228831555,0.0343131567283251,0.0190859239609913,0,0.162553465270234,0,0,0.0042450284632906
SPX.INDEX,-0.0324057162355036,0,-0.0090582510029012,-0.0121307882723852,0,-0.0125719002928939,0,0,-0.000406358312963706,0,-0.000000000000000000867361737988404,-0.00374339200751428,0,0,0.0285325073654094,0,0.0371394232444608,0,0,-0.0684119466881612
VIX.INDEX,0,0,-0.408537984542987,-0.0518884972084322,0,-0.255111095784449,0,0,-0.202057228808809,0,-0.108348738287623,0.223557871848743,-0.112240466173385,0.0102744476531251,0.713115001505949,0,0.16191962863326,0,-5.61816624913963,0
