,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.063690563480263,0.00964427546392398,0.215182431661476,0,-0.0662203368689458,0.0431232322526779,0,0.133141486121141,0.0557410325478542,0,0.000984325890599136,0.0536864092185539,0,0.0478014920662596,0,0,0,0,0.166686080023607
ETH,0,0,0,0,0.217229240069666,0,0.0583090591608343,0.0725656935396267,0.0498133219548684,0.0682838198904724,0.124626109130847,-0.0110875345282467,0.215810328347291,-0.027720591887983,0,0,0,0,0,0.0724168477941786
XRP,0,-0.24560089092699,0,-0.102200017583651,-0.213160265257271,-0.0035530970461508,0.487295273018815,0,0.206063595786469,0,0,-0.0204837068807577,-0.0213277080052926,0.276850279305667,-0.0605350551798538,0,0,0,0,0
LTC,0.660746004497884,-0.0412776929137441,-0.107461565720237,0,0,0.163585014248785,0,0,0.14455577618531,0.1152717627877,-0.0509349292272472,0.217793780874682,0.0738947347709939,0,0.049906002766868,0,0,0,0,0.142140001260051
ETC,0,0.252486439349333,-0.110120068467477,0.149573052930598,0,0,0.113270262987008,0,0.14254201064175,0,0.0168843100621464,0.0342723200941264,0,0.0280793463251331,-0.0422899910078012,0,0,0,0,-2.16840434497101e-19
XEM,0,0,0.345494597283523,0.259818483962524,0.133749264821808,0,0,0,0.0185992325093415,0.150986369168127,0,0.00159618587094592,0.209326296616939,-0.0238566076661963,-0.060055128986701,-0.236379797136684,0,0,0,0.0826768360844885
DASH,0,0.0651406993143337,0.060865208907708,0,0.0243501505350839,0,0,0,0.385249893260633,0.0864175371956689,0,0.0783126472102065,0.0417372998641477,0.0607242236855571,0,0,0,0,0,0
MIOTA,0,0.19583314527701,0,0,0,0,0,0,0,0,0,0,0,0.0661339834321634,0.0608101980946174,0,0,0,0,0
XMR,3.46944695195361e-18,-0.146911537926679,-0.145164190569084,0.24322633921068,-0.166676980674463,0.256890128064397,0.608131502007934,0,0,-0.0386414257056095,0.100797647944835,-0.154900348893635,-0.127134478319508,0.103519884171446,0.0721671341409976,0,0,0,0,0
EOS,0.249457808916741,0.120083247547065,0,-0.267844436031256,0,0,-0.558699098935709,0,0,0,0.20399853408062,0.104720995959581,-0.000708104639231159,0.0409139686582349,0,0,0,0,0,0
ZEC,0,0.343193027324929,0.124866232373283,-0.0120595614791483,0,0,0.0391659081752057,0,0.297354234797082,0.0289455239598265,0,0.0545991421379149,0.135065587940145,-0.0905151704637837,0.0147026284916241,0,0,0,0,0
NEO,-0.364752569711857,0.722714186962811,0,1.28997015516782,0,0,0.414581902350283,-0.540856312908815,-0.0356288831523487,0.0613930411824129,0,0,-0.0576745474126811,0.0297984575523654,0.281125762231252,0,0,0,0,0
DOGE,0.20794845786617,0,-0.0222239115551802,0,0.14289834315287,0.311039942898205,0,0,0,-0.0372442355337665,0.344257255815554,0.0384905048239497,0,0.151802235474803,0.0451638059360715,0,0,0,0,0
XLM,0,-0.180346941642786,0.0960177655968304,-0.531387201471597,0,-0.241084086252231,0.114510456551486,0,0.784098923764466,0.227707417250039,-0.324585411315587,0.186582557473683,0.522244652000479,0,0,0,0,0,0,0.29861143889378
DGB,0,-0.656413810727412,0,0,0,-0.235807183042374,0,0,0.606922893091547,0.29201509831915,-0.310778215434317,0.205651318284568,0.802621825996895,-0.0844894925873471,0,0,0,0,0,0
BV010082.Index,0,0,0.00687957687509325,-0.0268817505225275,0,-0.0255636209904233,0,0,0,0,0.0263776913152381,0.0050532642653955,0,0.0216365202984623,0.00625271965901476,0,0,0,0,-0.0101215828443199
CVIX.Index,0,-0.103709031794269,0.061094905857319,-0.0742493426829663,0,-0.0218059805709895,0.00452354739821649,-0.0977837146691438,0.0953998852846757,0.0482709746562524,-0.0774380600778668,0.0532322134149553,0.168948276105392,-0.0263603926397559,-0.0475719542454006,0,0,0,0,0
DXY.Curncy,0,0,0.00196524767869363,-0.00497263711824326,0.0188237456013166,0.00470463515620689,0,0,-0.0120630156619078,0.00315557931957289,0.00860898458951787,-0.00485451645512837,-0.0120352541064183,0,-0.000756516698549434,0,0,0,0,-0.00845049592142853
SPX.Index,0,0,0.00661854200186938,0,0.00596102636217288,0,0,0,0,0,0.00475265099334897,-0.00357847931017534,0,0,-0.00020273989232388,0,0,0,0,-0.0479956713528423
VIX.Index,0.232805785790948,0.0395871078878294,0.278997461382033,-0.166597017516407,0.192413280592733,0.0108689561568705,0.195197191429922,0.104374242975041,0,0.0670303057435409,-0.0794994647666331,-0.0767660999133074,0,-0.0849867911684308,-0.186647416456713,0,0,0,-3.64951181119583,0
