,BTC,ETH,XRP,BCH,ADA,LTC,XLM,XEM,EOS,NEO,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.103480134012907,0,0.0258631269698566,0.0976321463721458,-0.0196007696268422,0.155255742546049,0.113502306448459,0.0339902368203947,0,0.261627020169094,-0.0350622004686371,0,0,0,0,0,-0.0552582380093951
ETH,0,0,0,0,0.022249212634919,0.30505585271225,0,0,0,0.0512848151475795,0.0210659042791072,0.0203003494954416,0,0,0.245784128405579,0,0,0,0,0
XRP,-0.0623074975599912,-0.0379350085464744,0,0.0268276084747133,-0.00000000000000000173472347597681,0,0.332375153191675,0.137742700819182,0.276680895415644,0,0,0.263831242112949,0,0.0438234582294729,0.116326625790006,0,0,0,0,0.173747497908169
BCH,0,0,-0.0488792129808904,0,0,0,0.0143212270767829,0,0,0.283102892483891,0,0.156969164495766,0.196980918590814,0.046853032120768,0.158559857782816,0,0,0,0,0
ADA,0,0,0.217240373777582,0.00594614963652732,0,0.0572114788575666,0.284390682875464,0.0840967310585416,0,0.322769491650215,0.00000000000000000173472347597681,0,0,0.0437430798553978,0.0349867510473274,0,0,0,0,0
LTC,0.137336073606263,0.166239870398747,0,0,0,0,0,0,0.0451769436945915,0,0.171741473953405,0,0,0.0491294245071556,0,0,0,0,0,0
XLM,0,0,0.220212762406905,0,0.268822681017334,0.0995437517975887,0,0.00946112841890682,0.032026010258586,0.12157451701711,0.0828965776035921,0,0.298998501431801,-0.184811438110948,0,0,0,0,0,0
XEM,0.189693769462268,0,0.183145583146621,0.0805552128599217,0.119379741476859,-0.0714017055858559,0,0,0.0171689797468304,0.110766488288207,0.213553910843393,0,0,-0.114596788439691,0.214299242470562,0,0,0,0,0
EOS,0,0.0224207122905743,-0.000000000000000000867361737988404,0.0599197118617731,-0.0470867394552537,0.325335802257833,0.294201510647335,0.0677374842973546,0,-0.0298790412589967,-0.0200994522410823,0,0,0.123483902439303,0.247635080413288,0,0,0,0,0
NEO,0,0.571529010215493,0,0,0.0101257059663182,0.00552090389040337,0.203208995550288,0.000989776927312252,0,0,-0.0917368448034247,0.216967084799006,0,0.0473404938431529,0,0,0,0,0,0
MIOTA,0,0,-0.244547976529681,0,0.021461660250787,-0.000000000000000000216840434497101,0.361812094837754,0,0.452165782469706,0.0387957424441992,0,0.154981976466846,0.165179396673896,-0.119708102178751,0.0612450714410743,0,0,0,0,0
DASH,-0.0301401461377134,0.0353800242836973,0.047048022012761,0.0585049919860063,0.012751224015327,0.242338279631159,0,-0.000112432155911354,0.117543543234919,0,0.0593489015623656,0,0.0966720793487018,-0.0333990465082486,0.102133019521744,0,0,0,0,0
XMR,0.137226760177047,0,0,0.0321933295812319,0,0.141027010959406,0.092582558839578,-0.0184243601054878,0,0.305879343189617,0.0700845721661564,0.0339352251806048,0,0.0699991989362415,0.167818448140175,0,0,0,0,0
TRX,1.21183507822419,0,0.151410954363113,0.124304481019559,0.208348149833537,-0.875277851701138,-0.0601084737861984,-0.75870548542448,0,-0.117133716085221,0.442953001553271,0.214271350529633,0,0,0.348241099489023,0,0,0,0,0
BTG,0.0775206861396581,0.263494152716406,0.117678238181788,0.304985398867475,0,0,0,0.113377327300148,0.210137330893322,-0.0663231446453196,0,0,-0.00505069882930268,-0.0625076961496113,0,0,0,0,0,0.50289563257348
BV010082.INDEX,-0.0246486264848373,0,-0.0171193530608643,-0.037460886348545,-0.00800222527066301,0.00907972563357928,0.0106033397920736,0.00787574248099661,0,0,0.0122542369838166,0.0312077783652334,0.0212695788088882,-0.0046677171903371,0,0,0,0,0,0
CVIX.INDEX,0,0,0.0372298975479472,0.0203982923428856,0.0123553298197067,-0.0193729678272245,-0.00651303836218407,0.0183350096251038,0.0183218362261083,-0.0128456066683231,0,0,-0.0435209271602178,-0.0216274869281962,-0.0821067561355366,0,0,0,0,-0.0405178218087926
DXY.INDEX,0,0,0,0.00120817108777208,0,0,-0.00905751361513422,-0.00197471900343981,-0.00494726088832001,-0.00483140306241618,0.0144331064542601,-0.0132450847923488,0.00911723874455062,0.00447802703177661,-0.0107499700513611,0,0,0,0,-0.0276140842345563
SPX.INDEX,0,0.00826215371197165,0.0000539553635660653,0,0.00492399736837194,0.00129505296782012,-0.00444187039888174,0,0.00188701690287447,0.00147385149950961,-0.000707701648036378,0.00362967326720934,0,-0.00277379831980724,0,0,0,0,0,-0.041451477426993
VIX.INDEX,0,-0.474183214939237,0.0686860605269938,-0.01950560468345,0,0,-0.0811880731435136,-0.0471076661950779,-0.0185162587112981,0.0292657617440992,0.0647123002061002,-0.0570568096666567,0.0894815692115835,-0.0549200866918625,0.243962165222623,-0.34458259112566,0,0,0,0
