,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0423098302368936,0,0,0.089692817468635,0.0851081379776701,0,0,0,0.170328993280682,0.0880442070181794,0,0.267675331957589,0,0,0,0,0,-0.000611325215879007
XRP,0,0,0.0955335653265186,0.125068249022196,0.00128486156101852,0.102480542953241,0,0,0.0818700598202909,0,0.00464684423784327,0,0,0.0504195422557223,0.219980791541732,0,0,0,0,0.0438262315210581
ETH,0,0.300588945702513,0,0.149804776903859,0.109547370102084,-0.0784184440143653,0.052388878197851,0,0.165900205122381,0,0.218591042035606,0,0.0787785680523872,0.0335025629969239,0,0,0,0,0,-0.0254241150393886
EOS,0,0,0.212502506078109,0,0.085189784466453,0.180060383067029,-0.466307880000138,0,0.0429831980123064,0.60555009872417,0.203879171900679,-0.229460650566027,0,0.0814082689569697,0.168932672921074,0,0,0,0,0.0225235637819055
BCH,0,-0.45327691467613,0.0802482773059124,0.432054324282167,0,0.0915973303484266,0.0248798190317725,0.206554394808724,0.100921716307037,0.253989072841504,0.242353243523849,0,0.0770396199679047,0,0,0,0.183226508696326,0,0,0
LTC,0,0,0,0.233997484980987,0.123755400228918,0,0,0.152884697226626,0,0,0.158407430647504,0,0,-0.0599101107660341,0.212732436598706,0,0,0,0,-0.118049008136594
TRX,0.117307126243456,0,0.147580875450712,-0.363838746514749,0.181005576048886,0,0,0,-0.159589772366615,0.566355615162352,0.398147286136431,0,0,0,0.00730514207991249,0,0,0,0,0.053128593956363
XLM,0,0,0,0.0204011811531861,0.188137885672928,0,0,0,0.0305977414201576,0,0.151433087973659,0,0.0717222704297363,8.67361737988404e-19,0.245414188348324,0,0,0,0,-0.00493551638008132
BSV,0,-0.359131071119027,0.0425141612216454,0.0467242290124488,0.431511529652715,0,0,0,0,0,0.363811841666597,-0.34282412921551,0.00632156422952009,0,0.36333858696871,0,0.324075748154609,0,0,0
ADA,0,0,0.000240549779404797,0.266246358264124,0.0317698250640751,0.22815883231418,0.075297218208813,0,0.0462274411603646,0,0,0.0520163672636212,0.115943054051835,0,0.101513820073127,0,0,0,0,-0.0084480641736503
BNB,0,0,0,0.075400695283841,0.0902970248746551,0,0.0803816377404537,0.75713860232776,-0.126666425635528,0.106119264132888,0,0,0,-0.0849256208303307,0,0,-0.414875793911688,0,0,0.0825911632380118
XMR,0,0,0.156614531196116,0,0,0.0340563474522404,0,0,0,0.246792922862671,0.06053961631035,0,0.00840166917558641,0.0733193164462784,0.193547686929281,0,0,0,0,-0.0270041528092957
MIOTA,0,0,0,2.77555756156289e-17,0.0156145282354277,0,0,0.584602960112024,0.262367962279603,0,0.369558455890864,0.0565452006817089,0,0,0,0,0.926330977209173,0,0,-0.0539269886548634
DASH,0,-0.0772359952541293,0,0,0,0.146669769383077,-0.308634887863404,0.741249722063554,0,0,0.121063544526269,0.263883794918382,0.113475915829114,0,0.0553607886706199,0,0,0,0,-0.0531598246634733
NEO,0,0.331452161654568,0,0.15749557799075,0,0.356282826947213,0.202092210050068,0,-0.0122542560714825,0.0279097455729665,0.0610138784570174,0,0,0.0264060374726906,0,0,0,0,0,-0.0210869469939506
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255782753923306
CVIX.Index,0,0.441050337441137,0.19998406663548,0,0,0.0756741510377725,-0.102026127963762,0.208591459337592,0.00745770107600472,0.0866966834958048,0,-0.232383853030056,0.0577181911641072,0.0355925617980111,-0.723775239909466,0,0,0,0,-0.108247711860186
DXY.Curncy,0,0,0,0,-0.0079603262412374,0,-0.0455405507398708,0,0.00618705800662689,0.0299597893410151,-0.0236984060382338,0.0289535917486369,0,0.00559594925987268,0,0.0266358850549996,-0.0347384985062028,0,0,0.0137258764896699
SPX.Index,0,0.0286976991107491,-0.0416399744373238,-0.0268905573220172,0,-0.0200572813500405,0,0,0.00782230962022313,-0.00138897171352657,-0.0136464254948092,0.0636390991241369,-0.00773626917474319,-0.047415083637321,0.0463571083243654,0.0686711139723739,-0.0532810541059137,0,0,-0.130677189442344
VIX.Index,0,0,-0.418750833205035,0.185726428712173,-0.0838269859336557,-0.291564508893162,0.108252848278569,0,0,0.408140307441832,0.0800945460822936,0,0,0,0,0,-0.289736682120813,0,-3.67440693899836,0
