,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.166766851553791,0,0.130695130333909,0,0,0,0.135789340390966,0,0,-0.00199429485453114,0,0.00777214993858749,0.0895388278552347,0.045360483237385,0,0,0,0,0.113542245440127
ETH,0.387042311554507,0,0,0.0945531576271275,0.066601353525221,0.391513631614465,0.0497193084791833,0,0,0.103659701624139,0,-0.0483450956520931,0.0227006516002928,0,0,0,0,0,0,0.0103353472712376
XRP,0,0.218494758158523,0,0,0.0838170224450572,0.0491628447158039,0.137644306798315,0.116824692392298,0,0.0359057120827462,0.0687217040808198,0.0330214838604703,0.211226092812321,0,0,0,0,0,0,-0.0113012458789415
BCH,0,0.470982631265072,0.137101764442173,0,-0.124162356631968,0,0,0.327133360598926,0,0.0967804042829853,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.638184788991258,0,0,0,-0.179936924634428,-0.0838945032064629,-0.0514224752523459,0.598325890344545,-0.74001133537995,0.975684049189938,0,-0.350543239353288,0,0.0226332707082659,0,0,0.130410452573957
LTC,0,0.483112928795974,0,0.120604840972504,0,0,0,0.143156552774419,0,0,0.0991139233213642,0.0334370612036275,0,0.0359037017781124,0,0,0,0,0,0
ADA,0,0,0.298304553736701,0.0208915414152337,0,-0.0377662793747894,0,0,-0.0225072493486674,0.171749064155668,0.323371166048328,-0.201406039280066,0.213266218759775,0.19438021559714,0.0772454854136929,0,-0.260262456458352,0,0,-5.42101086242752e-20
XLM,0.269497688668681,0,6.93889390390723e-18,0.0450516828752292,0,0,0.235593752793544,0,0.0276816500518984,0.034997622396871,0.168872464470076,0,0.193203455169089,0.000406300717166072,0.0754721941998225,0,0,0,0,0
TRX,0.457038020605741,-0.439876025774884,-1.00166569852489,0.613615489425705,0.366043167248709,0,-0.676020988273441,-0.289090016631277,0,0.195345560120357,0,0.687342793301889,-0.402281006970528,1.02351960244932,0,0,-0.0650706655366921,0,0,0
MIOTA,0,0,0.239652030263433,0.0472001463834318,-0.199037517190747,-0.0428260845710271,0.188003336370344,0.299450204960657,0.135000051620558,0,0.00431612468910806,0,0,0,0.353260969937157,0,0,0,0,0.0318857724119757
NEO,0,0,0,0,0.128790320433045,0.182106095259924,0.0318148041326346,0,0,0.166451357112626,0,0,0.0803463079454088,0,0.284845948742748,0,0,0,0,0.0719187900595152
DASH,0.154698409761381,0,0.0405730693191179,0.223150741384728,0,0.0491458749976079,0,0.225381078271596,0.0313470423831522,0.104370640091286,0.0449297374747065,0,0,0.0256301349253994,0.042092056031303,0,0,0,0,0.120560548350343
XMR,0,0,0.223383179187418,0.181190473416638,0.0491949819945912,0,0.0954745654031294,0,0.0843361961348105,0,-0.0740333454562127,0,0,0.13898107398279,0.179642254785941,0,0,0,0,0.0628047565262065
XEM,0,0,0.144641902368971,0.0286679850283369,0,0,0.112465315471403,0.381199264361366,0.128142418038067,0,0.0414106257765192,0,0,0,0.031227674840305,0,0,0,0,-0.0655448961114326
ETC,0,0.191529521951937,0.298488079809148,0,0,0.29364042913428,0.0210529468513812,0.0706663160577845,0,0.0203893805641243,0.124175552647647,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.136242725284754,0,0.00108773222661736,0,0,0.031965724755582,-0.00814739918082739,-0.0406976038019107,0.0102895477912109,0.155290574239672,-0.0540958435757982,-0.207554985959929,0,0,0.0271178122910431,0,0,-0.086890368173097
CVIX.Index,0,-0.0612536579581138,0.0742488153328303,0,0.0196560314919012,0,-0.111558132539124,-0.00879422801327574,0.00300491506258963,0.105245610661588,0,-0.244712169767984,0,0.102636818158996,0.0821548717522818,0.183489529730756,0,0.788399068851971,0,0.0820493464101282
DXY.Curncy,0,0.0109876756974486,0,0,0,0,0.0151680418436003,0,-0.00454913580920153,0,0,0.0111686560861503,-0.00847882559343247,-0.0226727771879141,0,0.0230133588124064,0.051835015454602,0,0,0
SPX.Index,0,0,0.0527077954557239,0.0557596288984629,0.0186654317067843,0,-0.0230581132251378,0,-0.0313462726677773,-0.0229220657536335,0.017415669552006,0,-0.0840102950352719,-0.00557219689553036,0,0,0,0,0,-0.116338660484837
VIX.Index,0,-0.0970257208157372,0.228109792387959,0,-0.0115759893918658,-0.0131518897631452,-0.0283428772726001,0,0.145060468231177,0,0.159435944519161,0.571996211001423,-0.542481358447415,-0.357241987672888,0,0,0,0,-3.97448565247487,0
