,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0216964822558195,0,0.185818188848446,0.139368329485617,0.0466380194718007,0.12579653543319,0,0.0355655878365242,0,0.0751665199462551,0,0.0286572206457928,0.0163901302953646,0.0182267820524639,0,0,0,0,0
ETH,0.300250096600197,0,0,0.119106096852902,0.144279299833807,0.163956886838202,0,0.224138267510275,0.0231942878434212,0,0,0,0,-0.0552179712296918,0.101496439957878,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.0499744745255497,-0.10484139793204,0.114120729531713,0.101888494221911,0.144759785942007,0.22710590839895,0.291956791516047,0.17092611241765,0,-0.339262926651875,0,0,-0.00602119899989296
BCH,0,0,-0.0247167028193557,0,0.21721384558195,0.00000000000000000346944695195361,0.313144895330732,-0.0198728733020376,0,0.101874304748333,-0.0875794156168809,0.424187171064738,-0.0548782804025591,0.104234060502902,0.0778749626101255,0,-0.241956534515905,0,0,-0.118403216720167
LTC,0.165390855754275,0.0355152491738237,0.0596000647946684,0.167192875653386,0,0,0,0,0.157382321708826,0.000000000000000000433680868994202,-0.0377301550325094,0,0.0192789338857038,0,0.146753526360784,0,0,0,0,-0.0213798310894165
ADA,0,0,0.171071574186724,0.0652337023813933,0,0,0,0,0.0106476955863059,0.00896979568957597,0,0,0.416084978869198,0.0182345786786935,0.125419230358785,0,0,0,0,0
NEO,0,0.579434274589491,0,0.137351040647288,0,0.123709126035914,0,0,0,0,0.0179536157064999,0,0,-0.0837536950203269,0.275342642181905,0,0,0,0,0.00000000000000000346944695195361
XLM,0,0.109152009550799,0.357119879174791,-0.00000000000000000173472347597681,0,0,0.127634783950824,0,0.0838329270668541,0,0,0.134532075806278,0,0.129366508052586,0,0,0,0,0,-0.023820606219945
EOS,0.048686961913279,0,0,0,0.293183429524883,0.000417841808760489,-0.0878308846904443,0,0,0.191713663738607,0,0.0653303350025521,0,0.219901619177174,0,0,0,0,0,-0.104551583632418
XEM,0,0,0,0,0.290626852459844,0.116817663133969,0,0,0.195579719688237,0,0,0,0.191719009596202,0.133017182729403,0.00000000000000000693889390390723,0,0,0,0,0.0740417973773952
XMR,0,0,0,0,0.248305513361524,0.306892065149353,0.29532366539819,0,0.082819453839355,-0.0787572783550119,0,0,0.0894257733048685,0,0,0,0,0,0,0.05373901865276
DASH,0.101019320782676,0.345548530804412,0,0.101068118557315,0,0.120948048433668,0,0,0.00000000000000000346944695195361,0.0214469289456845,0.029895429956133,0,0,0.114037034779886,-0.000000000000000000867361737988404,0,0,0,0,0.0481518881162543
MIOTA,0,0,0.0432982545026794,0.276524799842717,0.164259396015545,0,0.00520011391246035,0,0.0167034310600414,0.15393816781061,0.173819180104304,0.0605895553374209,0,0,0,0,0,0,0,0
TRX,0,0,0.056075929172153,0.359623240530069,0,0.0235681383669929,-0.253297306976713,0.0435435752464601,0,0.295478272139715,0.12939168269757,0.237877434197469,0.0203561027652552,0,0,0,0,0,0,0.0801799970277142
ETC,0,0,0.277730614574158,0,0,0,0.303201936436225,0.153151508684128,0.132128927941797,0.116601043004625,0,0,0,0.0170694076148519,0,0,0,0,0,0.0492016275984217
BV010082.INDEX,0,-0.130261511180485,0.0261308859379326,0.0966580304850849,0.0451038579955508,0,-0.00272526871462313,0,0.0174365422467648,0.038465222348054,0.00486958991646186,0.0529191022075079,0.00393383303151297,-0.113160201622326,0,0,0,0,0,-0.0381580224824489
CVIX.INDEX,0,-0.137857149930274,0.0225967384335279,-0.119731266516192,0.0930105920985514,0.145171241133497,0.0258373889042979,0.0897641192314017,0.0502630655344673,-0.24436078567036,0,0.180825078840364,0,-0.103787866679441,0.00293414960261095,0,0,0,0,0.0810272788034143
DXY.INDEX,0.0218905733853335,0.0146273177531874,0.0319619908230462,0,0,0.00258401314910947,-0.00893564760586904,-0.0276693096929803,-0.0332012703696819,0,-0.0176511082098609,0,0,-0.00710890101708357,0.0113116048736311,-0.0526266043609593,-0.0154299634524019,0,0,0
SPX.INDEX,0,0,-0.00396489061753757,0.00632446958253148,0.0350817912838116,0,-0.0114608953477009,0,0,0.0294308997246331,0.0148614908488218,0,0,-0.0841352416293642,0,0,-0.0511977960014253,0,0,-0.0625767027336273
VIX.INDEX,-1.39176157274628,0,-0.0760329502637207,0,-0.298745231078421,0,0.41590782669437,0,0.222102827860428,0.260435130545887,0.43227067394523,0,-0.383491212133519,0.253202019300104,0.245753821612329,-1.50870907783461,0.510678489245858,0,-4.49640663710666,0
