,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,DASH,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0616340840110491,0.102016951001686,0.138616971188038,0,0,0.127616818038792,0,0.0493782220737503,0.287603017881311,0,0.0973243118615078,0.0905932909800527,0,0,0,0,0
XRP,0,0,0,0.145629457578713,0,0,-0.0646969069124797,0.0134972327511909,0,0.176004240145427,0.077596472608723,0,0,0.00472538994464005,0.0267462252174501,0,0,0,0,0.10485752432924
ETH,0,0.152391736334977,0,0.0801882728774069,0.020953305399307,0.0218840611400713,0,0.0677424010418243,0,0.055561247756282,0,0.359568556997347,0.070509065782476,0.126814645002324,0,0,0,0,0,0
BCH,0,0.949399721383331,0.927065827910266,0,0,0,0.196641262165487,0,-0.0345691262095838,0.559336635322147,0,-1.22110867253807,-0.185891570338645,0.388887761180913,0,0,0,0,0,-0.159322110873861
EOS,0,0.158725418133179,0.691949492582743,0,0,0.567180364500741,0,0.105192140013063,-0.428291006126634,0,0,0,0.042221978843987,0.0445201046747555,-0.198557574869446,0,0,0,0,0.0697758178561974
XLM,0.653684144246724,0.340710737058322,0,0.00591387407779231,0.0547181125954215,0,0,0,0,0.0086889260364252,0.0686914309550316,0.0983126932465204,0,0.00247559269218408,0.0125176584709757,0,0,0,0,0
BSV,1.84120724052617,-2.58689127939385,0,0.830058107483268,0.490539611609941,-3.08965539190597,0,-0.410499066256977,-1.38777878078145e-17,1.37667458156521,0.463999883637279,-1.29106440333228,0.606088117447892,1.12216712538827,0.708431699605962,0,-0.227217988233433,0,0,0
LTC,0.111889140107109,0,0,0,0.232291301467993,0,0.0120361082002781,0,0,0.0268602771553351,0,0.303850399250367,0,0.171984604755252,0,0,0,0,0,-0.0601949718431395
TRX,0.0400457880619148,0,0,0,-0.00922208037957385,0,0.0173632137618606,0,0,0.513226166656269,0.0663415335766921,0,0,0.243468739927276,0.0532892602165979,0,0,0,0,0
ADA,0,0,0,0.11565746104346,0.259872000263066,0,-0.0131088601412878,0,0.24854883084834,0,0.146417807681364,0.160657934539661,0.000344111403394035,-2.16840434497101e-19,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.494587939406286,0.0281188863226306,0,0,0,0,0,0,0.177932110633676,0.281916151797333,0,0,0,0,0
XMR,0.266965621223291,0,0.42063277038537,0.0327259467938388,0,0,-0.00838866537557023,0,0.0941311575315857,0,0.00447754725535107,0,0.139921456794865,0.121604946975932,0.0817238413537457,0,0,0,0,-0.0532486025044791
DASH,0,0,0,-0.0628135905936304,0.195001340934386,0.238013385520971,0.0136364358919321,0,0,0,0,0.55220691376666,0,0.0610124746144068,0.216332887669676,0,0.487457269568345,0,0,0.0074958519636408
BNB,0,0,0,0,0.194263563263118,0.577023538344625,0,0,0.0915153608503736,0,-0.309942896092709,0.228985041267616,0.0355561451538745,0,0.315091137706318,0,-0.566760627492984,0,0,0.133772449616026
XEM,0.00618239496133224,0,0,0.153003143372286,-0.0391711222098856,0.425387289698541,0.00556712740643144,0,0,0.0898471555452183,0,0.0489162742363054,0,0,0,0.315747982797046,0,0,0,0.0201017838721249
BV010082.Index,0,0,0,-0.0617677837734679,0,0,0,0,0,0,0.0497982434288067,0,0,0,0,0,0,0,0,-0.0653197632986816
CVIX.Index,0,-0.189358349139361,0,0,-0.0774626747720915,0.0381349249702403,0.0399597899960535,0,0,0.146161180170844,0.123784148488415,-0.148161284507306,0,0,0.112775491256197,-0.361383478018804,0,0,0,0.0661968135595968
DXY.Curncy,0,0.032717735275253,0.0346192647133326,-0.0220188695492227,0,-0.0573994880107314,0.0133414686302104,0,0.00946149990430311,0.0390627330577305,-0.00861843472620521,-0.00438377149140829,0,-0.00353465716686431,0,0.0550633418477335,0.00164746004533749,0,0,0.0107900376027991
SPX.Index,-0.0229291573926091,0,0,-0.0415681213399156,-0.044777390980619,0.0530054289338989,0.0160006906952415,0.0232638922279512,0,0,0,0,0,-0.00525135902015541,0.0454296746481605,0.126888457242571,0.00694801826835526,0,0,-0.12667083003736
VIX.Index,-0.913317523793128,0.322716668053539,0,0,-0.0590217502976552,0,-0.00202731165036665,0.181733715032628,0,0,0.192982158457011,-0.133099070610819,0,0,0.25750170782758,0,1.1986835312816,0,-3.69259590407414,0
