,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.076725789062657,0,0.0368052597835864,0,0,0.0635542685724031,0.121196338478685,0.439001764366468,0.0356516087632425,0,0,0,0,0,0
XRP,0,0,0.194325277112013,0.0977926855379936,0,0,0,0,-0.0534115590488453,0,0,0.141111702621193,0,0.0483555613911577,0.229964904443584,0,0,0,0,0.0259730535334262
ETH,0,0.0719051149399886,0,0.0739570285257544,0.156069952721552,0,0,0.194543097871823,0,0,0.109783369257122,0,0,0.230496016585453,0.0560827678322541,0,0,0,0,0
BCH,0,0,0,0,0.185704492449403,0,0,-0.151971605922088,0.263258536522903,0.789837843830039,0.269529742149025,0.216851151862175,-0.0992609029137787,0,0,0,0,0,0,-0.399619389555355
EOS,0,0,0.202626925183704,-0.00000000000000000693889390390723,0,0,0.14380984111975,-0.488815864129857,0.0217182674162272,0.755210004139667,0,0.191191417214647,-0.298989751306592,0.259156977401627,0.0507500943989796,0,0,0,0,0.0154149480149014
XLM,0.470231624996764,0,0,0.0887284661191383,0,0,0,0.00513573314667552,-0.0253996158097129,0.223224148713435,0.0748270767203095,0.0860041354740017,-0.00000000000000000346944695195361,-0.0658210777732685,0.230220010430985,0,0.121201194761433,0,0,0
LTC,0,0,0.199397825092122,0.0000000000000000138777878078145,0.26509738046544,0.230057881127442,0,0,0.120799833020827,0,0,0.133443015374388,0,-0.0851844236365942,0.000000000000000000867361737988404,0,0,0,0,-0.0982297792041765
TRX,0,0,0,0,0,0,0,0,0,0.468889999798569,0,0.278379580811047,0,0,0.0495629011719018,0,0,0,0,0.194078380061129
BSV,0,-3.14908881441887,0.570993711432085,0.701236326468336,0,-0.298193979728361,0,0.266440616555423,0,0,0.439666988468533,0.434909313617582,-0.713961519301645,0.553784323737053,0.836772365711023,0,0,0,0,0.0817101705446704
ADA,0,0,0,0.11848369439132,0.26914958260461,0,0,0.240559473867105,-0.0116016728176864,0,0.1341275053145,0,0.166794069300189,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0750819141927213,0,0.613858430705923,0,-0.032040694886713,0.0837304132553468,0.0864309257886166,0,0.441715851821451,0,0,-0.037297426492659,0.509714072360397,1.14057464348601,0,0,0.0680300210599477
BNB,0,0,0,0.0151492666324207,0.149766463462602,0,0,0,-0.0676714543538925,0.3734024945111,0,0,0,0.0684869522448658,0.367757804704263,0,-0.600138294278593,0,0,0.076835751636366
XMR,0.110062570366125,0,0,0,0,0,0.139435204638013,0,0.0100805622811072,0.302083825078783,0,0,0,0.0834554371822907,0.340644023365626,0,0,0,0,0.0412496430413755
DASH,0,0,0.0196875260186011,0,0.126262975275821,0.0353114457963256,0.439223495764097,-0.254890004866299,-0.0290718923332393,0,0.156249960334257,0.160596942771514,0.333209332227778,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.441424826283514,0.175288553343446,0,0.103822015366576,0,0.159015092235782,0.183148832457827,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0287313683119211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19939313721111
CVIX.INDEX,0,0,0.346539503143292,-0.0123116292978552,0,0,0.16795341373645,-0.293257438161095,0.0359315877188695,0,0.110647850778093,-0.0238033976782738,0,0.0429071742690808,-0.421631919560074,0,0,0,0,0
DXY.INDEX,0,0,0,-0.00556774842736727,0,0,-0.0163957889752023,-0.0629660924884671,0.00693328090680812,0.0517273876363483,0.00434368763003902,-0.00142877656318172,0.0106473822750735,0.00481107962928863,0,0.0648825181344097,-0.0323196171319054,0,0,0.00178596832188551
SPX.INDEX,0,0.0196274493094338,-0.0911870943887156,0.00478172780653877,-0.0506505260396232,0,0,0,0.0168194903616003,0,-0.0142826002049666,0,0.0407396867684547,-0.0312368477102638,0.0891947573116933,0.0370202157783472,-0.0386414800179151,0,0,-0.123186753905893
VIX.INDEX,0,0,-0.295782687624695,0,0.0130326326168948,0,0.0228189265487134,0.287622306903769,0,0.331306422129398,0.167260502823978,0.126022548315524,-0.632390865137236,0,0,0,-0.560346736137436,0,-4.77035178935952,0
