,BTC,ETH,BCH,MIOTA,XRP,LTC,DASH,BTG,XMR,ADA,ETC,XLM,XEM,EOS,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0708992494549685,0,0,0.297465476125531,-0.205958428275857,0.0225261472275684,0.083701574318539,0.172750089544719,-0.183637891252367,-0.068890454458564,-0.491152752444296,0.190650531558752,0.0780681715337641,0,0,0,0,-0.0000000000000000138777878078145
ETH,-0.108770572765871,0,-0.00968945771091653,0,0.253007378095527,0,-0.0972549798079527,0,0.051746567102398,-0.0447570774669275,-0.0399417931025375,-0.0297477691338183,0.229363568859507,0.0109465080210241,0.0793800793830833,0,0,0,0,0
BCH,0,0,0,0.0175655579212084,0,-1.47220374428413,0.0183238025822902,0.223118238919903,-0.0000000000000000138777878078145,-0.0677253061375277,0.407099744649266,0,0,0.184029628517909,0.631836635319607,0,0,0,0,-0.0665428594958444
MIOTA,0,0,0,0,0.0630727259363644,-0.468723728405698,0,-0.120281550018781,0.308418828576183,0.139074689468962,0,0.0979333489976729,0.362517454614347,0.0925845527509125,0,0,0,0,0,0
XRP,-0.0312437082063799,0.498122316576036,0.118166597633083,0.0648579947582665,0,0.0297994091511417,0,-0.0348198860787062,0.213005357030589,0.0923222412287457,0.00240810204842686,0,0,0.0871378284144229,0.036065185276756,-1.05448584726099,0,0,0,0
LTC,0,0,-0.112667737380278,0,0.281113229234088,0,0.0183633760815764,0.0163012676259735,0,-0.0173862857160382,0.0900524317579008,-0.0255491039464165,0.229142393543281,0.0870690924368158,0,0,0,0,0,0
DASH,-0.417839914605433,0,0,0.085928456316701,0.000000000000000000867361737988404,0.102205444925384,0,0.0282761358300429,0.0683732951237161,0.0285889127002802,0,-0.0357799569970648,-0.257045905576597,0.0485561727679754,0.0845763349529487,0,0,0,0,0
BTG,2.04683425383825,0,0,-0.806346275728323,0,-1.60908115475959,0.238465914075521,0,-0.0000000000000000277555756156289,0,1.46346696048955,0,0,-0.937434470729732,-0.157905661273407,0,0,0,0,-0.760276429370683
XMR,0.00565782705530421,0,-0.0316097879521617,0,0.0876956379769574,0.118950931206216,0.117114449595087,0,0,0.130742904572698,0.144302609930202,0,0.302285910485099,0,0.0753090947513522,0,0,0,0,0
ADA,0,0.671640744852187,-0.113502701302452,0.135093345947187,0.530723138416655,0.0762376120245505,0.0320525820927044,0,0.162313246579038,0,0.146534539868843,-0.247377940302874,0.178127547042323,-0.0592331532055701,0.288966992788759,0,2.48615121800094,0,0,0
ETC,0,0.0716720841552671,0.158958229335541,0.0189769527763305,0.388556355416046,0.217250616970272,-0.292399371649414,0,0,0.169962421905636,0,0.0272384395891255,0,0,0.161397236558363,0,0,0,0,0
XLM,0,0,0.115077483303512,0.417475540672846,0.299501237168447,0,0,-0.0886628443754664,0.306757285575116,0.194069529327196,0,0,0,0.355630741527728,0,0,0,0,0,-0.25735650001028
XEM,-0.223563569485008,0.363053097878956,-0.0217674277594266,0.114875300949822,0,0.151399443407284,0,-0.0297667056925361,0.055319962483672,0.0939675789950708,0.00463008350726126,0.0403057670139081,0,-0.00622887172051065,0.124438949733062,0,0,0,0,0
EOS,0.610854177600083,0,0,-0.0382776512250193,0.190994662550539,0,0.154294170999003,-0.0990837349500095,-0.458948356562288,0,0,0.105282992956783,0,0,0.110592028487397,0,0,0,0,0
NEO,-0.100331120294519,0.454684633165896,0.0341973085050706,-0.169542265807184,-0.13457060063942,0,0,-0.069134762307166,0.0497344573726112,0,0.196784416831956,0.16818668361625,0,0,0,0,0,0,0,0
BV010082.INDEX,0.0128102765347361,0,-0.0429541877973518,0.0146624595487734,0.0302619223345505,-0.094187104390385,0.0291924711501192,0,-0.00976828896365848,-0.018977226019665,0.0365311601931497,0.00553700451641187,0,0.0127432571214264,0.00272883461303185,0,0,0,0,0
CVIX.INDEX,0,0.0099481807389685,0,0,0,-0.0514986323183356,0,0.000868509931299173,0,0.000000000000000000216840434497101,0.00000000000000000173472347597681,0.0145918274823453,0.0986419062995189,0,0,0,0,0,0,0.110705308841584
DXY.INDEX,-0.0151671938305905,-0.0174751691984834,-0.00689637705506434,-0.00126365630333191,-0.0308499799118544,-0.0064095658941642,0.00416743903742957,-0.00542065151038815,0.00575196140574211,0.0042265839691641,0.0139012110602777,0.00354023382273349,0,0.00230121330682951,0,0.0297884819722863,-0.0995042254358763,0,0,-0.0083068368608147
SPX.INDEX,-0.00235931684356921,-0.00189008635599875,0.00253266865341101,0,0,0,0,0.00121977306278632,0,-0.000727713097768508,0,0.00111488232980801,0.0149708196192824,-0.00631854931893928,-0.00418843225032611,0,-0.0847485300457508,0,0,-0.0109850577560612
VIX.INDEX,0,0.157304773512548,-0.393362593291853,0.168258820299736,0,0,0.19010349805568,0,-0.229083626344128,-0.0530126515446955,0,0.099047427665243,0,0.0514741633615043,-0.00000000000000000693889390390723,0,0.0823628661991303,0,0,0
