,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.131972440409654,0,0.19014742676984,0.059661136828241,0.232585556274156,-0.088735699387539,-0.162621622150029,-0.15838520266735,0,0.00132270310254924,0.398693012376208,-0.0298822160317266,0.150225661587922,-0.0530196206256809,0,0,0,0,0.0566613170749071
ETH,0.0987835537494987,0,0.236538831522161,0.0433113710445635,0,0.152488771202262,0,0.0793771330556081,0.00998755764891884,0,0.0466223810351567,0.0921820563361716,0,0.15913222387564,0.054367205823676,0,0,0,0,-0.0305397181569195
XRP,0.301728660075784,0,0,0,0.0973472964422948,0,0.0101183380233951,0,0,0.297936038998653,0.0293180003712347,0.085533395973835,0.0425633509196218,0.0534325844036596,0.0630184999900356,0,0,0,0,0.0104133470959065
BCH,0.819595025238652,0,-0.0485411855912554,0,0.201667052123168,0.158075314120912,0,-0.0998264956802318,0.307954637926347,0,0.0761466307488019,0,0,-0.125942057060656,0,0,-0.107111156818443,0,0,-0.0273869338937615
LTC,0,0,0,0.0982011310133188,0,0.258531270119493,0.0968351560666365,0,0.0955209364850996,0.0573405325733483,0.0209794501253894,0.22154850144956,0,0,0.122665922952852,0,0,0,0,0
EOS,0,0.427737782812672,0,0.272493319724236,0.0674963845535861,0,-0.0257503379739238,0.0539210326672428,0,0,0.0307386600129202,0,0,0,0.106942253240412,0,0.102533295237167,0,0,0.110149486786878
BNB,-0.334422110185431,-0.127409990250924,0,0,0,0,0,0,0.0569086885246597,0.107046209674302,0.248713192941385,0.202309687718902,0.220778308436414,0.0448636896645206,0.133646877167079,0,0,0,0,-0.0510950026775051
XLM,0,-0.000000000000000000433680868994202,0.344969089363428,0.11582065790419,0,0,-0.116583263525102,0,0.101697412594238,0.158008851819735,0.0145439409041828,0.00905369900414461,0.13155577967119,0,0.0958726664094446,0,0,0,0,-0.0161319281606549
ADA,0,0.0282911414599957,0.445568090349492,0.223696570659819,0.158782030328405,0.0394855852037939,0.0611466125019747,0.0297076561041804,0,0.0810483244885731,0,0,0,0.0318798847701615,-0.00710007224922872,0,0,0,0,-0.00851496189160267
TRX,0,0,0.340801217040673,0,0.0710522091344347,0.186329982089661,0.0308554084874913,0,0,0,0.0647804719315834,0.00819893398720869,0,0.126851283382139,0.147706305418403,0,0,0,0,0.0252487750531626
BSV,0.938844004320579,0,-0.44263494654349,-0.670411360518012,0.230403757395723,0.0796188033885797,0,0,0.40133625326344,0,0,-0.343849694884392,0.869614537001075,0,0.171943826935184,0,-0.317751054873785,0,0,0.0802728749253736
XMR,0.341038529135365,0.116745389859126,0,-0.239644094641005,0.281430381757715,0,0.0203151245534764,0,0,0,0.0685060208438472,0,0.432205219951405,0.142690635826186,0.057226421026136,0,-0.217993442418138,0,0,-0.00753890661358351
DASH,0.0505668774447197,0.119147116822055,-0.00000000000000000346944695195361,0.12262397519963,0,0,0.0278929096090388,0.241128629595725,0,0,0,0,0,0.187692629810299,0,0,0.0384252885026368,0,0,0.00569483815574487
MIOTA,0.139113838128436,-0.0411726122894732,0,0,-0.0425099093721936,0,0.209652134188807,0,0.0358617798354728,0,0.0388640558653811,0.529603301369235,0,0,0,0,-0.169274997800866,0,0,-0.0241428195609409
XTZ,0,0,0.363351412860154,0,-0.0723132771298516,0.336806915962947,0,0.918810123894751,-0.251481077638153,0,0,-0.277807805594047,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.191740830725938,0.193670927432737,-0.19391560762694,0,0.0894477508940048,-0.0422818388393069,-0.223583181845896,0.176555249073839,0.0417740671656373,0,-0.0369240389404611,0,-0.0505626020732937,0,-0.0234494519962542,0,0,-0.134204351667467
CVIX.INDEX,0,0,0,-0.174540662435505,0.0682972126704771,0,-0.134267720551606,0.397146565419882,-0.0791746038913539,-0.0425369122974522,0.0164691928565942,-0.410099888768191,0.601307990988255,0,-0.322813016441572,0,0,0,0,0.131965135357551
DXY.INDEX,0.024809924272637,0.0333344627845771,-0.000264816044861964,0.00377215878740124,0,-0.0212431597046497,-0.00995760343044403,0,0,0.00631337706165219,0.00631419112141546,-0.0371174535463023,-0.0000239668356300027,0,0.00930713228624939,0,0.0122371838167647,0,0,0
SPX.INDEX,0,0.00231296159923956,-0.019267898736078,0,0,0,-0.00634145753785464,-0.0233632537612854,-0.00554461134587696,0.0154504607490722,-0.00477029362377492,0,0,0,0,0.0115409388783081,0.0074028311152315,0,0,-0.0614468242203824
VIX.INDEX,0,-0.274603395857727,0,0,-0.230027253394364,-0.0580125608364467,0,-0.125114699892587,0,0.860255330278732,0,-0.52766592831931,0,0,0.0491902796891314,-0.355439100294267,0.368614141273502,0,-6.50726915554686,0
