,BTC,ETH,BCH,XRP,LTC,DASH,NEO,MIOTA,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.41507774604903,-0.0322347479847422,-0.000000000000000000433680868994202,-0.258247956434345,0.134148395682439,0,0.0118710520467449,0.149709381835722,0,0,-0.0161115550291243,0,0,0,0,-0.0934660910638498
ETH,0.0769133427237779,0,0.0222559548815519,0.162222920675479,0.0547248843385158,0.0387309774805285,0.04975990342321,0,0.140976734833985,0.0954215028242228,0.102345058021032,0.0618443715896439,0,0.0864909138157557,-0.00370670734539867,0,0,0,0,0
BCH,0,0,0,-0.513809126128294,-0.290330677790749,0,0.406760583577763,0.174720709031458,0.196855526221637,0.437074292386328,0.330281008063648,0.0701815419460772,0,-0.350334988094889,-0.130924870054719,0,0,0,0,-1.04704784123597
XRP,-0.129685624962506,0.423717104002555,-0.0756788980575252,0,0.140055581396042,-0.0384257156639414,0.0499642002807345,0.073860383943537,0.340084707654092,0,0,0.103936415662046,0,-0.0805393531623171,0.00712837482277469,0,0,0,0,-0.215334524669445
LTC,0.262754397375829,0,-0.0758290960684946,0.28015538725304,0,0,0,0,0.0698907183845313,0.170608446408913,0.175188505072339,0.0318007504607878,0,-0.0526410217673262,0,0,0,0,0,0
DASH,-0.484653929908521,0,0.100652629577185,-0.0714995836882806,0.649135288810531,0,0,0.197170239264384,0.528352698405248,-0.907035650852297,-0.464747813767428,0,0.580659555622914,0.00484546063712296,-0.00226584817532857,0,0,0,0,0
NEO,-0.161793987577133,0.242958715318799,0.0517111951405615,-0.0919089961776829,0,0,0,-0.175195346397976,0.210815947748547,0,0.11790197133119,0,0.322770922155089,0.0748695308325716,0.148744470726998,0,0,0,0,0
MIOTA,0,0.0674832000659453,0,0.224890324218692,-0.322482493859299,0.0648768282927424,0.00645969619768652,0,0.289781213496757,0.760994595821819,-0.156680328932035,0.218963017945944,0.143438468410621,0.147938721745668,0.0502931206947013,0,0,0,0,0
XMR,0.0443688357558899,0.322401895051414,-0.00489426143651442,0,0,0,0.145584101942894,0.0362722021295549,0,0.102206256190048,0,-0.0350597171515066,0.140200233996962,0.184851637013417,0,0,0,0,0,0
XEM,0,0.25281458261574,0,-0.0444810825907667,0.0821423935202976,0.0188031343297835,0.022627565086852,0.177753847940283,0,0,0.00839506564610571,0,0,0.136913030634099,0.0947166514354009,0,0,0,0,-0.19844645248682
ETC,-0.150404111495644,0,0.187023075575925,0.283853580169421,0.163500408838411,-0.402903770472628,0.0796420696816583,0.12377547158785,0.0519742156424627,0,0,0.0376535233431247,0,0.0516985998097565,0.0380155937854114,0,0,0,0,0.0487771594543792
EOS,0.540259660918921,0.331843999235925,0.0173518689772376,0,0,-0.00060346906680232,0.0715047262725329,-0.0967805519407598,-0.474311695021509,0,0,0,0.640140940690088,0,0.0872977965249442,0,0,0,0,0.157212871361621
ZEC,0,0,-0.0369093527547641,-0.185020043902299,0.0347067601716769,0.296219354350009,0,0,0.16761119380294,0.145201657837963,0,0.127525298222823,0,0,0.0440137121034189,0,0.410747298393142,0,0,0.0395249819654456
ADA,-0.166508808830995,0,-0.239157743183658,0,-0.0620146701728045,0.186334498442623,0.415203162035689,0.418154111079689,0,0.448730874242119,0,-0.0537317038453422,-0.623136510973189,0,-0.0200317500755761,0,1.61827585708839,0,0,0.239139119807563
XLM,0,0,-0.00000000000000000173472347597681,0.313316197951175,0,0,0.21777192712059,0.488992032407977,0,0,0,0,0,0.0295137010028786,0,0,0,0,0,-0.0701492014999377
BV010082.INDEX,0,0,-0.00640660008762725,0.00455646826440113,-0.103561935080514,0,0,0.0133492321871193,0,0.0248587766391559,0,0.0379647351129554,-0.00833439604473754,-0.0256809811647193,0,0,0,0,0,-0.00644663896805638
CVIX.INDEX,0,0,0.03477228502353,-0.0762325271574482,0,-0.0554386048491226,-0.00332949860256306,0,0,0.107932351188713,0,0,-0.0229659280387867,0.0194726356248788,0.0155911290938809,0,0,0,0,0.113827163912751
DXY.INDEX,0,0.0240304368532499,-0.00148028205498146,0,0,-0.0131814948540166,0,-0.0159819200459816,0.0193217972323198,0.00650994199093689,0,-0.00458310275177335,0,-0.0172235766352294,0.00243944515368246,0.0219434280290881,-0.00728405468653788,0,0,0.00611095054757897
SPX.INDEX,0.00806431287536541,0,-0.00387445208234476,0,-0.0191860403027152,-0.00238563153325268,0,0.00563094347606702,0.00794385970726182,0.0103987234241434,0,-0.00535087816843233,-0.01917955465089,-0.00918883024132527,0.0000000000000000000542101086242752,0,-0.0463360789303424,0,0,-0.0186054529466301
VIX.INDEX,-0.220861655355356,0,-0.414042649760306,0,0.202129663444708,0.227801474988764,0.124111613632321,0.229748032849525,0,-0.0757389804430909,0.0415799740451483,0.0323750288965073,0,0,0.0827744230818993,0,0,0,0,0
