,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XEM,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.105329210928779,0,0,0.117436817291053,-0.0219578812056399,0.0763249059664687,0.0600151113311062,0.129866563942477,0,0.256028248061391,-0.01937357453464,0,0,0,0,0,-0.114956297315397
ETH,-0.105788022058988,0,0.000353046507646827,0.0268286066009809,0.0176606138158214,0.232150880710884,0.134396525823289,0,0,0.0667075158398275,0.0180479286005152,0.0208811707836453,0,0.0312153465206937,0.143841933135206,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.119854809360087,0.318055935234978,0,0.360806506595925,0.213959393890754,0,0.0161182489549272,0.0910613715672756,0,0,0,0,0
BCH,-0.42815422179792,0,-0.0157378238362405,0,0,-0.158646844673211,0.177005289098239,0,0.0215162573928065,0.0820377180623108,0.104440538949086,0.569992227957849,0.167649346757546,0,0.18176470360198,0,0,0,0,-0.212335572728427
ADA,0,0.101019123250025,0.187060146170749,0,0,0.0620949547670348,0.121767795270836,0.125583737606495,0.206580146568654,0,0,0,3.46944695195361e-18,0.0628431722949102,0.0736041221650555,0,0,0,0,0
LTC,0.0929096292265666,0.130987524653045,0,0,0.0186617883085995,0,0,0,0,0.19927603755209,0,0,0,0.077534818983311,0,0,0,0,0,0
NEO,0,0.701132730714515,0,0,0.0090783835907503,0.0681175400587343,0,0,0.125729521606301,-0.0207403964017718,0,0,0,0.0632495219039338,-0.0787773717994067,0,0,0,0,0
XEM,0.0534439954038797,0,0.194113910808765,0,0.104528363326619,0,0.156875023804056,0,0,0.202151009991781,0.0520016109948589,0.107290370589304,0,-0.0221496153815298,0.186944924556088,0,0,0,0,0
XLM,0,0,0.230008529853967,0,0.284855293821487,0.115190308525832,0.0437249661589936,0.00855314524265284,0,0.0951438614018428,0,0,0.343768588012457,-0.184047063727726,0,0,0,0,0,0
MIOTA,0.578573249213626,0,-0.137847442049056,0,0,-0.0369472314389401,0.0573752728518334,2.77555756156289e-17,0.0927685840223671,0,0.364876791519675,0,0.362668657325007,-0.112713315979958,0.0551508171173011,0,0,0,0,0
EOS,0,0.0383765205627497,-1.73472347597681e-18,0.0311973952353801,-0.046230981847032,0.206423955456669,0,0.0976797325603523,0.286520312118235,0,0,0.0175557484158379,0,0.130959734806004,0.228318402036785,0,0,0,0,0
DASH,-0.0155796729107277,0,0.0460701935020482,0.0514149624917027,0.00679197569906571,0.195466048496213,0,0.01720767646696,0,0.050782323025218,0.119927310214318,0,0.0609060558807253,-0.0305767215939629,0.129141888728153,0,0,0,0,0
XMR,0.169473311689149,0,0,0.0183113385978804,0,0.0952157133280906,0.288081813441212,0,0.0845093924719178,0.0730633091205816,0,0,0,0.0745512158649903,0.19031889114068,0,0,0,0,0
TRX,1.55543364211567,0,0.0834825515172991,0,0.291772255585518,-0.601879688229165,-0.034786871456503,-0.737811245948915,0,0.123709718031444,0,0,0,0,0.347806559863251,0,0,0,0,0
BTG,0,0,0.0566907992244284,0.408896546231241,0.0376812609197587,0,0.0296860557083505,0.088101664636595,0,0,0.22747646139232,-0.0212508625679602,0,0,0,0,0,0,0,0.109665876690558
BV010082.Index,-0.023916571039609,0,-0.0185308113302977,-0.0364363647110386,-0.00537444744993517,0.0155136370338441,0.0109321249591358,0.00785644755754229,0.0120740133465591,0.00950198425942986,0.00319657643955253,0,0.014412757684865,0,0,0,0,0,0,0
CVIX.Index,0,0.0231689547285493,0.0314630089481703,-0.0122041264823762,0.00666491163455107,-0.0635081381254392,-0.0606263616445238,0.0241602356216453,0.000312411448413849,0,0,0,-0.0102314374768811,-0.0273459840592146,-0.0143142224177006,0,0,0,0,-0.0398320765394529
DXY.Curncy,0,0,0,0.00128838882979665,0,-0.000482080953073585,-0.00465676784604411,-0.00235303224938068,-0.0090973478304835,0.0144349620340885,-0.00495427811379769,-0.0131011060169916,0.00948071942374867,0.00462841667279029,-0.0107230997363686,0,0,0,0,-0.0281717981286858
SPX.Index,0.00217584218981789,0.0109568073359207,0.00156949253733725,0,0.00336707053071173,0,0.00464939053014789,0.00142222732096948,-0.00589793920385136,0.000441650406657325,0,0,0.00163574002127796,-0.000658368715844945,-5.42101086242752e-20,0,0,0,0,-0.0310563335495675
VIX.Index,0.0622133750837631,0,0,0,0.0291256112967441,-0.0609996003899708,-0.148167559096468,-0.0488033988707222,-0.0550672844062453,0.224664972423893,0.0122671683502825,0,-0.148397383409151,-0.055098940410757,0,0,0,0,0,0
