,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,4.33680868994202e-19,0.107653070577394,0.00031247606294816,0.0196700145795289,0.122123854187931,0.0286276591595421,-0.0239615417271319,0.0262479944255982,0.0204455014772661,0.163248224972454,0.0974072585498646,0,0,0,0,0.022451155585258
ETH,0,0,0.351520290332998,0.0659572133638599,0.0260507399047867,0,0.062487997040657,0,0.240795737651199,0.106291055584439,0.05630259632922,-0.062371914273231,-0.0581482216275935,0,0.0579375211643096,0,0,0,0,0.0158435616973316
XRP,0,0.222417121494502,0,0,0.0870410904694457,0.0221077457661905,0.136380246810937,0.116553883508485,0.039212990324506,0,0.0727599965503388,0.00427051942593366,0.263779567356026,0,0,0,0,0,0,0
BCH,0,0.241573592643492,0,0,0,0,0.125948477973611,0,0.253168895131568,-0.0949977206201279,0,0,0,0.229737747563861,0,0,0,0,0,0
EOS,0,-0.539213549662724,0,0.346290528246151,0,0,0.0500004302687379,-0.0928864178466045,0,-0.128739013642517,0.781668973747475,0,0.0485472740736197,0,0.530464783062488,0,0,0,0,0
LTC,0,0.155604711148981,0.103224001010632,0,0,0,0.0680112467280433,0.13896911947219,0.0317559034870088,0.0619848376009804,0.0789339078635766,0.113659055342125,0,0,0.0619765921736928,0,0,0,0,0.0359742455051943
ADA,0,0.018649993310656,0.31718835267891,0.150587954920836,0.0651502885826701,0,0,0.0537884478017794,-6.93889390390723e-18,0,0.206820299014355,0,0,-6.93889390390723e-18,0.116626522825509,0,0,0,0,0.214642506645075
XLM,0.229936455065923,0,0,0,0,0,0.303802303655098,0,0.0200400957265844,0.0361667919864452,0.0406181422631393,0.25590927179902,0,0,0.181588539713458,0,0,0,0,0
MIOTA,0,0,0.350915469304547,0.0849699896895303,-0.0166653069074251,-0.189156154673932,0.157552065480279,0.223467862330832,0,0,0.0757062255149905,0.0620803131583687,0.0215483065429671,0.474056852760314,-0.326491414400058,0,0,0,0,0.0357948434749941
TRX,0,-0.20098735939463,0,0.764279958043842,0.171317943468572,0,-0.610760587159603,0,0.187770115138132,0,0,0.178584959556003,-0.22537066539756,0.655907768498762,-0.58166777515781,0,0,0,0,-3.46944695195361e-18
NEO,0,0,0,0,0.073057174814611,0.172514383136815,0.0243235466665714,0.245524414738593,0.182529595657665,0.0786888965866857,0,0.180670581931031,0,0,0,0,0,0,0,0.0811482242692441
DASH,0.550516856032071,0,0,0.0986566348603331,-0.0202703059070844,0.0219953456802225,0.016234861979959,0.000789975153556424,0.0436142500867558,0,0.148262844347738,0,0,0.158419990022665,0.0293968073948933,0,0,0,0,-0.0396975661351212
XMR,0,0,0,0.187537437403208,0.0192545650862238,0,0.14778194650445,0,0.00449137967713137,0,0,0.137451543944252,0,0.305122054027922,0,0,0,0,0,0
XEM,0,0.0516906302032868,0.144496217665888,0.120264975766247,0,0.010254476238278,0,0.367090883333924,-0.0356311962509971,0.14301064694423,0.0320931843029188,0,0,0,0,0,0.392930272109989,0,0,-0.0123439396778825
BNB,0,0.206191852948537,0,0,0.0209431370040124,0.311724920839129,0,0,0,0,0,0,0.141595045489795,0,0,0,0,0,0,0
BV010082.Index,0.204866951692062,0.0762949696754606,-0.37867299635,0,-0.0767716849814802,0.130900385503698,0.0786284753111826,-0.0642742339060241,0,0,0,3.46944695195361e-18,0.210609337964465,0,-0.134459308398022,0,0,0,0,-0.257580905149018
CVIX.Index,0,0,-0.177355260525084,0.166840937969511,0.0390218612933539,0.0150434255191703,-0.0678096421814712,-0.0451264658075143,0.0171997448230223,0,0.12022141982315,-0.340618052903997,0.137441777619961,0.10619883783516,0,0.694832335863702,0,0,0,0.0943578285716824
DXY.Curncy,0,0,0.0294307474640472,0,-0.00150512603487942,0,0.0078813992200278,-0.0241640328681969,-0.00978074940911082,0.0084208819641645,0,0,0,0.00654740186334177,-0.011036224626518,-0.0703919116795888,0.0643740818680485,0,0,-0.00744484329359653
SPX.Index,-0.0120825158689115,0,0.080732107968808,0,-0.00765662158838975,-0.00301957555086171,0,0,-0.00334230866768607,0.018657012920828,0,0,-0.082647076822785,-0.0330789575689432,0.0220640784568076,0,0,0,0,-0.110052441008589
VIX.Index,0,0,0.40057693413305,-0.15455839365042,-0.181511509798556,0.417921603389832,-1.38777878078145e-17,-0.0966303495052618,-0.0819002562852939,0.108744333271041,0,0,-0.108357094263384,0,-0.0895584887331339,-0.717173474029647,-0.143611442942201,0,-1.0366365583564,0
