,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.233851824601291,0,0.076240043978311,0.0969020088588184,0.0765905786184954,0,0.0632776100653926,0.015387193075089,0.0467001984341827,0,0,0,-0.0249332057480455,0.114658362571612,0,0,0,0,0
ETH,0.233856554540759,0,0.0349178087301151,-0.0354959778905596,0.156986796814111,0,0.0773599035673408,0.0218675947067533,0.104523767265939,0.205760569824212,0.0435268972590324,0.0636761182911739,0,0,0,0,0,0,0,0.0540608199501101
XRP,-0.224986469853374,0.434844109529217,0,0,0.0150684993176929,-0.0780362573372004,0,0,0.247245208787699,-0.21290971287361,1.38777878078145e-17,0,0.0706796683408084,-0.0521212499725855,0.252824265695055,0,0,0,0,-0.220138918446138
BCH,0.416171254550723,-0.491937014136684,0.121038301697807,0,0,-0.169634795871281,0.374812525346625,0.0761981070190174,-0.228082618621613,0,0.395041067818197,-0.190992972141847,0.0407675141071573,0.066091282760371,0.103316481328612,0,0,0,0,0
LTC,0,0.135475082355116,0.250529783622018,-0.121198969793332,0,0,0.0212837837943965,0,-0.121195798063349,-0.04285041623308,0.802806978863995,0,0,0,0,0,0,0,0,-0.0108778352178949
DASH,0.179754587553131,0,0.143113943098111,0.224647423635013,-0.223095815280042,0,0.263611021891407,0,0.104016794273689,0,0,0,0,0.123747254078541,0,0,0,0,0,0
XEM,0,0.615494347307013,-0.0789893206489037,0.225928157497451,0.127881467894272,0.160509242182849,0,0.0495817184234684,-0.016064358892722,0.0394907087826734,-0.0818130682940983,-0.0370248122293692,0.0411810906198976,0,0.0597354871041412,0,0,0,0,0
NEO,-0.291728531576081,0.194640270172212,0.0803948787329979,0.38862195545879,0.491573806216637,-0.0469090484262975,0,0,0.0568600256950176,0.0522868402386554,-0.306648090863407,0.124719466654149,0.201812887985948,0,0.186459730991494,0,0,0,0,-0.487651851472115
XMR,0,0,0.249129101378078,0,0,0,0.0253339488325053,0.155780140236494,0,0.112847109736579,0.180659691883433,0,0.0120576855353176,0.198326704806873,0,0,0,0,0,0
MIOTA,0,0,0.165410758293878,0,-0.13806431073463,0,0.0707108719963304,-0.192463588264379,0.0358126441122885,0,0,0,0.128579349214274,0.365655503214574,0.38044618848539,0,0,0,0,0
ETC,0,0.196787481630625,0.172833687244868,0,0.64887692630477,0.0585392798795942,-0.0203475045033815,0.00591969927446798,0.0203505243933037,0,0,0,0.0921558258549186,0,0,0,0,0,0,0
ADA,0.268869801158995,-0.567856720008484,0.102457171568377,0,0,0.195300931063757,0,0.0680269526692637,0.0440211556751565,0.320016013929381,0,0,-0.206270212671675,0,0,0,0.890631119642647,0,0,0
XLM,0,0,0.356667832309642,0.00478206753687174,-0.261069296115243,0,0,0.23905878925029,0.295031288904742,0.8654522561243,0,-0.149460705506595,0,0,-0.266907306703553,0,0,0,0,-0.149113462632119
ZEC,0,0,-0.0483798363329595,0,0.0987816381922176,0.289595361501486,0.327140428935296,-0.065411942076935,0.107617033711518,0.236332682385023,0,0,0.045014320692265,0,0.0454860332925117,0,0,0,0,0
EOS,0,0.518641557356679,0,0.176419659968899,0.279016567888184,0.0545071401854203,-0.301672403779003,0.248137790843738,0.110208956440018,0.130271085658088,0,-0.071235661718772,0.124007988487673,0.0782564921194742,0,0,0,0,0,-0.0946625697791693
BV010082.Index,0,0.0189409377685468,0.00488123967960854,-0.00972904880822564,-0.0458986639844016,-0.0985146074702741,0,0.0338078680561978,-0.00219737352280799,0.00266554907006486,0.0547628990819903,-0.0210060034927325,0.00342999054644709,0,0.0342243546033243,0,0,0,0,-0.069556791955498
CVIX.Index,0,0,0,0.12400542515293,-0.00838345693208203,-0.114796449243476,0.103029661908551,-0.0511673574964905,0.00889729931572632,-0.0649983727707743,0,0.0179703677860453,0,-0.00641610482216396,0,0,0,0,0,0.0610092954548695
DXY.Curncy,0,0,0,0,0,-0.0334563859572745,0,0.0113949518704901,0.00494747154677513,0.000428897889281008,0.00576059559870595,0,0.00286718076211777,0.00783734307638043,-0.00377889225315122,0,-0.0119743431692056,0,0,-6.15295201119169e-06
SPX.Index,0,0,0,-0.000943371504734237,0.00193343341668723,0,0,0.000447658517013357,-0.00359606137183918,0,0,0,0.00173296116320785,-0.00877831787938411,0.00113616474710041,0,0,0,0,-0.0313952283030314
VIX.Index,0,0.30420922913474,-0.149058162608669,0.146111227604613,-0.337374919238667,-0.528992166007623,0.193889007952722,0,0.0522114097677052,-0.00399177629132054,0,0.0480194953544127,0.0144335854353135,0.381911489257103,-0.215803161199132,0,0.0516054492281903,0,-2.81190933498134,0
