,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,XEM,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0381944820681321,0,0.164314028543631,0.0352112308946393,0,0,0,0.100292682617406,0.150841771619508,0,0.00102873351702558,0,0.0907021686099592,0,0,0,0,0,0.0294509252978524
ETH,0.0207113286564062,0,0.14191604004523,0.112036960005721,0.360116838279377,0.021787901451922,0.0820223895520917,0,0,0,0,0.12564355785959,0.0411837604911155,0.109340049474622,-0.185658931891319,0,0,0,0,-0.0343858647022047
XRP,0,0.214326222988624,0,0,0,0.133938409704976,0,0.239193544186208,0.115269030100724,0,0,0.0500106228931864,0,0,0.0420734092889766,0,0,0,0,-0.0889362422240652
BCH,0,0.427558934538502,0,0,0.264372512616634,0,0,0.243528960328024,0,0,0.0421711239519942,0,0,0.111794608496641,0,0,0,0,0,0
LTC,0,0.184800447207909,0,0.18291770962191,0,0,0,0,0.0687381469766381,0.220600463933163,0,0.0592032475180018,0.126108803220592,0.0000000000000000000542101086242752,0,0,0,0,0,0.00322071927712593
EOS,0.232731439483976,0,0,0,0,0,-0.0593873880879334,-0.0596002571559039,0,0,0.285166354621625,0,0,0,0.333336766455352,0,0,0,0,-0.121513126439674
ADA,0,0.536815600798723,0,-0.22675300594676,0,0.142287486302908,0,0,0.105015406071051,0.265366705386518,0.131410674267138,0.176038642724126,0.0077649250791414,-0.0540352133591516,0.049853492787248,0,0,0,0,-0.0232293138346221
XLM,0,0,0,0.164399486704972,0,0,0.189087031538255,0,0.174137956669432,0.191352486940115,0,0.0999442491522205,0.0953609761497269,0.0523192942971829,0,0,0,0,0,-0.0075166149036708
NEO,0,0,0,0,0,0,0.0972780210057885,0,0,0.0996110143531239,0.185319655285818,-0.0209061665849388,0,0,0.398321344883201,0,-0.236408322837127,0,0,0
MIOTA,0.129737462583854,0,0.0154577738887309,0,0,0.0840848559215795,0.0758550440850148,0.0147943489810324,0.354343845510927,0,0.0630829265114254,0.140812834547838,0,0.0724175592929741,0,0,0,0,0,0
XMR,1.03130479192464,0.131100522856688,0,0,0.0964817381938856,0,0,0.217641489558925,0,0.0190535190800547,0,-0.36490796458684,0.114081932892978,0.0786957199814899,0,0,0,0,0,0
XEM,0,0.370646197799315,-0.0409818190305617,-0.103491343387225,0,-0.0993707996549697,0.305542504375132,0.193894405194571,0.32447414538472,-0.148525493321802,0,0,0,0.218037983162674,0,0,0,0,0,0
DASH,0.37870022212647,0.157235944550374,0,0.0351439545938186,0,0,0.0864814860691675,0,0,0.101033667724423,0.0331220193719594,0.0408703685487015,0,0.0649246103291964,0,0,0,0,0,0.0685242982797574
TRX,0,0,0,0.228164758580357,0,0.0424626475652852,-0.717855668979207,-0.314014463696689,0.275899135240347,0.18555945960668,0,0.0363865409563935,1.07755392555583,0,0,0,0,0,0,-0.187684213674836
ETC,0,-0.308985201871826,0.78706382441898,0.171862809461705,0.110649843084007,0.0546447471221839,0.00337673438419146,0,0.190067415801942,0,-0.287332351468154,0.108971960110864,0,0.143768581135206,0,0,0,0,0,-0.0637191503423462
BV010082.INDEX,0,0,0,-0.0457603781918067,0.0231420409566007,0.011307957830439,0,0.110697736468175,0,0,-0.0263432195947889,-0.0780291997469263,0.119460984159444,-0.00738441013107042,-0.0297570475474198,0,0,0,0,-0.066345339302514
CVIX.INDEX,-0.0093072305802494,-0.0804689096723115,0,-0.0872784418583932,0,-0.0822322551351303,0.103617464556513,0.149442168230518,-0.0495237210183127,0,-0.100927667690202,-0.253005817301238,0.282920440305663,0.0541951369838702,0,0,0,0,0,-0.010013357314032
DXY.INDEX,0,0,0.0204669268804725,-0.0116289870217973,0,-0.00213478149806375,0,-0.0030496068796084,0,0,-0.0250322233531841,0,0.0256804231980039,-0.00897423246059825,0,0.0359010590665967,0,0,0,0.0079751072614908
SPX.INDEX,-0.0498918173717636,-0.00370671111125393,0,0,0.00814351477594049,0.0295436804316672,0,0,0,0,0,0,-0.0176773115818403,-0.0282273832478939,0.0295081329473013,0.075623709464263,0,0,0,-0.0882585759668868
VIX.INDEX,-0.602641716282562,0,0,0,-0.536638892044466,0,0,0.380956746895185,0,0.0000000000000000138777878078145,0,0.0472243357713462,0,0.0946785779056567,0.271492272149086,-1.66284615556334,0,0,-3.68341075589993,0
