,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,BSV,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.159028281327763,0.0879720023691367,0.084335642303686,0.0564860354681811,0,0.0383554720125848,0.052220275490645,0.0163758956242002,0,0,0.0336177433248935,0.0156485863433318,0.0308768636263836,0.011885232276283,0,0,0,0,-0.00527418050378742
ETH,0,0,0.283874370759813,0,0.204693579298072,0.17062256071256,0,0.0925737850661242,0,0,0.0935897270195464,0,0,0.228178616023105,0.00775744255733188,0,0,0,0,0
XRP,0,0.218278484060613,0,0,0.0986016472151268,0,0.0586400197215684,0.111047777793687,0,0.102776461142753,0,0.0193600520696641,0.0230540951547574,0,0.0525006248233918,0,0,0,0,-0.0121116835301046
BCH,0.606869199409885,0,0,0,0,0.335263033543482,-0.0264750791491926,0.156725258599591,0.265706323400736,0,0.00000000000000000173472347597681,0.0258226282316869,-0.130526536359346,-0.00000000000000000693889390390723,0.00827138603503347,0,0,0,0,-0.00684923838068742
EOS,0,0.404170210899905,0,0,0,0.408350798547448,0,0.14025318005677,0.126979200663456,-0.0623907547852798,0.313204084381996,-0.170480903493256,0,0.121679077931056,0,0,0,0,0,0
LTC,0,0,0,0.172119607909845,0.232706795264935,0,0.147501802338456,-0.0672039150738935,0.155302865605617,0,0,0.115906209516722,0.152757068366204,0,0.0779638907301905,0,0,0,0,0.0658330479918814
BNB,0,-0.00000000000000000693889390390723,0,-0.229412922551703,0,0.471436702441223,0,0.088094408988804,0.0429927602661743,-0.279086782142771,0.450308800041999,-0.0393860064370757,0,0,0.0361960723432421,0.103513171671603,0,0,0,-0.197601165146923
XLM,0,0.174129392919907,0,0.0362093515449681,0,0,0,0,0,0,0.122802892154573,0.233917608398515,0.25974006713755,0,-0.0448678161958612,0,0,0,0,-0.0397128910466386
ADA,0,0,0.30254416772531,0.17416833774987,0,0.305679908757486,0.00677558617936743,0.0872287446418423,0,0,0,0,-0.0511041492716281,0.228722609608619,-0.026665495535834,0,0,0,0,0
TRX,0,0.105201351464908,0,-0.000000000000000000433680868994202,0.071722113535223,0.0446069394439002,0.00563563838863852,0.270330306834739,-0.0521705429537377,0,0.197318354044427,0.167973669034353,0.114307026717493,0,0.0830868148949582,0,0,0,0,0.189611409879847
XMR,0,-0.00000000000000000173472347597681,0,-0.0459470519563956,0.091092188045253,0,0.121751941481433,0.139646377274062,0,0.297908283424857,0,0,0.236807110764241,0,0.0387371906901352,0,0,0,0,0
BSV,0,0.432046449528457,0,-0.428981137073316,-0.542684520482595,1.63484775042511,-0.572516070129643,0.366799745060122,0,0,0,0,0.457691476151948,0,-0.0240730866656883,0,0.602335938466241,0,0,0
DASH,0,0.212565521436448,0,0.0717998978740771,0,0.0643849952096859,0.0349255926765909,0.176533632922053,0,0,0,0.0275117322863396,0,0,0,0,0.0694534259072789,0,0,-0.0294113265788512
MIOTA,0,0.316967720021228,0.234522253905713,-0.0309523455327331,0,0,0.0174030651172911,0.0287306863160074,0.142341826670867,0,0.0713954349199006,0,0.0428251627637371,0,0,0,-0.0303278692108633,0,0,0
XTZ,0,0.00170064737956922,0.92841194993793,-0.219538158654671,0.34819368929009,0,-0.0886587085894647,0.472066908430257,0.190775963500615,0.00000000000000000693889390390723,-0.466572105039107,-0.121577441979168,-0.455738014633197,0,0,0,-0.71044506302312,0,0,-0.0205189261989833
BV010082.INDEX,0,0,0,0,-0.0983035347365968,0.243825404304031,0.0735928692194721,0,-0.263270684669018,0.119811482311336,0,0,0,0,-0.0975362248203157,0,-0.181351635002362,0,0,-0.0702470526351671
CVIX.INDEX,0,0,0.0789049912396181,-0.248324976806191,0,0.296829196304148,-0.242283645815874,0.449065532970335,0.209001117656187,0,-0.367342187302798,-0.32167169279906,0.23037728866544,0,-0.331741263945759,-0.0811272459671414,0,0,0,-0.0479519747020963
DXY.INDEX,0,0,0.00762021064653828,0.00854269180110861,-0.000419415821782874,0,0.00415495762820927,0.0175650720647283,-0.0106587460375122,0,0.000000000000000000433680868994202,0.0145945327348572,0.0250693959851834,-0.0720212965298892,0.00173791615805609,-0.0149856273780619,0,0,-0.0657989251806561,0.00459803744369473
SPX.INDEX,0,0,0.0234668404607268,0.0276188628443885,0,0,0.0085533039025685,0,-0.0329244553271047,0.0044090217633717,0.0497873674639489,0,-0.0136958683151308,-0.0310097424571683,0.00223480538315929,0,0.00464390659856111,0,0,-0.078546176994501
VIX.INDEX,0,0,0,0,-0.552613306749664,0.364951972821218,0,0,0,0.670673441134792,0.14938553225908,0,-0.274152487712659,0,0.0566548933700622,-0.551573458584852,0.116892599952364,0,-3.81371635159931,0
