,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.168874124888349,0,0.0526568374430194,0.0837192414613816,0.0653166620508559,0.0104906568729674,0.0800278632477406,0.0194608248857768,0,0,0,0.0325102654414191,0,0.0155015781136719,0,0,0,0,0
ETH,0,0,0.357364971371909,0.0970208329193101,0,0.21823856177841,0.0181236337297222,0,0,0,0,0.0592253836996364,0,0.202629329958138,0.0738746265637163,0,0,0,0,0
XRP,0,0.202922893920598,0,0,0,0.0154023489378192,0.0144061918486432,0.1681131327446,0.0227628019737263,0,0,0.018186042981443,0,0.185900490179514,0,0,0,0,0,-0.0385099225690785
LTC,0,0.317369240544841,0,0,0.195103150808913,0.0295292965745966,0.251099203635427,0.0475291089174984,0.152207900761077,0.311306024686545,0,-0.216228175908554,-0.276741751046376,0.5043669656529,-0.0454395057197495,0,0,0,0,0
BCH,0,0,0,0,0,0.412579250252684,0,0.079880079066916,0.167909707621334,0,0.140786431444841,0,0,0.136838750336835,0,0,0,0,0,0
EOS,0,0.0557189687230005,0,0.240042777926919,0.127599844653846,0,0,0.184716253157758,0,0,-0.150319087235846,0.349504462542612,0,0.087239352606391,0.353801406541035,0,0.0680406055929332,0,0,0
BNB,0,0.527401711421808,0,0.339748591428837,-0.199962492081237,0.104263546904527,0,0.0553957143542423,0.00000000000000000693889390390723,0.327173379943943,-0.178094484058902,0,0,-0.322322836931956,0,0.139929106428282,-0.109689544363971,0,0,0.0000000000000000138777878078145
XLM,0,0,0.270966057394422,0.168010636565116,0,0.0906891029188368,-0.0385160570901842,0,0,0,0.0371490634260875,0,0.208780198151451,0.0535850367132627,0,0,0,0,0,0
ADA,0,0.231004358578042,0,0.133722318642255,0.249944191216575,0,0,0.0370297769982534,0,0.0546131854943349,0.00744378287451075,0,-0.131319764867624,0.424956994965123,0,0,-0.0918909012721723,0,0,0
TRX,0,0.132589051709232,0.409388056378372,0,0,0.0436459890425383,-0.104777790614173,0,0,0,0.0275941224930496,0.101279273675759,0,0.104966678881269,0,0,0,0,0,0.0201749826964861
BSV,0,0.29326524306893,0.356614265209423,0.125731734903316,0.215914062692826,0,-0.112707558951795,-0.114944318476606,-0.0553872388610973,0.151601182479664,0,0,0.0705107076116992,-0.221985374046543,0.0268251626358933,0,0.237847320192696,0,0,0
XMR,0,0.305512876461939,0,0,-0.0675405930667406,0,0.0369281448282672,0.210883895048497,0,0.300557013313128,0.0758980489670504,0,0.23314223776702,0,0,0,0,0,0,-0.0273245534659488
DASH,0,0,0,0.131105209103973,0,0.000000000000000000867361737988404,0.00203014593994927,0.162651038311397,0.11819241529864,0,0,0.296957749254341,0,0,0,0,0,0,0,0.00838245889401919
MIOTA,0,0.334543127721772,0.0588263258502715,0.15479649547666,-0.123315357045396,-0.0931389303576271,0.000000000000000000216840434497101,0.103331427891793,0.162309167751749,0.151594911362839,0,0,0.115209078929819,0,0.0352266507496908,0,-0.0974810311656142,0,0,-0.0921701664271633
NEO,0,0,0,0.0754668103336229,0,0.130566853000791,0.119512270443568,0,0.33652882403353,0,0,0,0.134708980058515,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.33268867324775,0,0.0840212090584766,0,-0.125763223052718,0.161515359650248,0,-0.0431652744863167,0.110535295103208,0.253712057687793,0,0,0,0.143118938958776,0,0,0,0,-0.117950058604949
CVIX.INDEX,0,0,0,0.0360354955793447,-0.153158661614431,0.230592824585574,-0.0544962854626808,0,0.102932360234051,-0.505181763439734,0,-0.161967396268461,0,-0.155236025663576,0.086909579211121,-0.221128298925857,0,0,-1.69635718045085,-0.108480469285749
DXY.INDEX,0,0,0.0119749463074086,0.00608130412910251,0.00432209752021832,-0.00379414437572067,0.0138077368841501,0.014474610981313,-0.00780965684089298,0,0.0186807226944009,0.00496713869640154,0.0231668970985674,-0.0662196703841845,-0.0238209474167584,0,0.0271556292390566,0,0,0.00719574059560012
SPX.INDEX,0,0,0,-0.0191454907501141,0.00944826009446306,0,0.00179622994719284,0,-0.0322439990510031,0,0,0.0227392860099516,0,-0.00455231861286713,0.0329883845024927,0,-0.0204730867031351,0,0,-0.0771345037547258
VIX.INDEX,0,0,0,0,0.0130102293963075,-0.38482556029769,0.289846077124481,0,0,0.379006102350025,0.089629145401332,0,-0.248900592183614,0,0.182232738779431,-0.665858226974562,0.177187995987463,0,-4.49910423486465,0
