,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0788511062515769,4.33680868994202e-19,0,0.0698796748823328,0,0,0.120561049191788,0.100368669277841,0,0,0,0.0487986593485284,0,0,0,0,0,0
XRP,0,0,0.812437630676665,0,3.46944695195361e-18,0.898655704795605,0,0.127266246327244,-0.322339227177087,0,0.295273150630585,0,-0.697554292235062,0,0,0,0.0570366109665082,0,0,0.0414333029855124
ETH,0,-0.0410919110427784,0,-0.00703914578103059,0,0.383493751624429,0,0.236616093730704,0.20334778072587,0.0405782272432707,0.10212224298211,0.115805286913037,0,0.0457110947412064,0,0,0,0,0,0
BCH,0,0,0,0,-0.169228584887704,0,0.722512952923692,0.338325297091856,0,-0.063854025156743,0,0.0442440907099256,0.169408745720461,0.0306602981059223,0.340149770754786,-0.301728185182368,0,0,0,0.10179233572787
XLM,0,0.161399159129413,0.179195757169385,0.00340265807708157,0,0,0,0.152094163718079,0.0901096809190398,0.154759131349116,0,0,0,-0.0121252445229372,0,0,0,0,0,-0.0220304876228429
EOS,0.274045459375574,-0.0579389580370909,0.449169708027753,0.0690554674276851,0.100018513735562,0,0,0,0.14831560604807,0.0991025038611103,0,0,0,0.0433180610066259,0,0,0,0,0,-0.0252611983811437
LTC,0,-0.0313701091023673,0.248793091404815,0.172226005099126,0.0902245148919124,0,0,0,3.46944695195361e-18,0.0695289308665249,0.160404773189993,0.222626388196925,0,0,0,0,0,0,0,0.00797925716538082
ADA,0,-0.0290298806246136,0.26104753241047,0.0817660950127154,0.282831159674224,0,0,0,0,0,0.128616621987713,0.0733205798454887,0,0.0644630421903326,0.191430166111171,-0.132076613228449,0,0,0,0.00676835345886136
XMR,0.41149158230311,0,0.175642403855987,0.128929068802673,0,0,0,0,0,0,0.261671469090133,0,0,0.0626974819118751,-1.38777878078145e-17,0,0,0,0,0.0222312296695663
TRX,0,0,0,6.93889390390723e-18,0,0,-0.115401170151622,0.557472537929896,0,0,0,0,0.671606162878245,0.0317192257010834,0,0,0,0,0,-0.0402264423886022
MIOTA,0,0.0634233184685128,0,0,0.0102409050765147,0,0.642944648411777,6.93889390390723e-18,0,0,0,-0.092687046201127,0,0.173130239783206,0.210169210260654,0,0,0,0,-0.0938801217130937
DASH,0,0,0.190030780251554,0.00567986983332531,0,0,0,0.10899765067878,0.101566913419625,0,6.93889390390723e-18,0,0,0.186414370823639,0.113268953943332,0,0,0,0,0.0121222863191437
BNB,0.0820790190348013,0,-6.93889390390723e-18,0.0653113226942083,-0.105180432301747,0.0781556044665279,0.343411263249401,0,-0.0519054020755888,0.107831800657044,0,0,0,0.079257919758185,0,0,-0.0343418790388487,0,0,-0.0259716374817013
XEM,0,-2.16840434497101e-19,1.38777878078145e-17,0.139708645731209,0.259026672361443,0,0,0.0100797904464283,0,0.226426366473634,0.114359574607683,0.00514961678690626,0,0,0,0.198929793646178,0,0,0,0.0269063221045431
NEO,0,-0.0978821599416527,0.0725547446376636,0.0883200760382003,0,0,0,0.462341860954626,0.0368725284350803,0,0.196186698336364,0,0.0380572611964677,0.0366906922110654,0,0,0,0,0,-0.00317787247205036
BV010082.Index,0,-0.0557588675059055,0,-0.0788730860397895,0,0,0,0.0586396423916552,-0.0666106310644963,0,-0.0374306211572439,0,0.204836907922504,0.0511464026228291,0,0,-0.0413034719259658,0,1.44818319204703,0.120556316111746
CVIX.Index,0,0.0145871166086934,0.161543532566217,-0.301697950605994,-0.174262008183879,0,-0.317986349209915,0,0,0.127976102709763,0.173147660290189,0,0.162116982910238,0,0.316384484604593,-0.248981520667469,0,0,0,0.0607272326482432
DXY.Curncy,0,0.00235028524061293,0,-0.0225484952630115,-0.0527969706452185,0.0287512239135589,0,0,0,-0.0183050800113386,0,0.028544118864809,0.0305283548282349,0,0,0.0914960626090419,0.0756238754589624,0,0,0.00170767682691477
SPX.Index,0,-0.0216287592317795,-0.158135376934036,0,0,0,0,0.0325438988954219,0,0,0.103607453102965,0,0,0.0184329104837128,0.00319037954801276,0.0985101283233136,0.0341278711017874,0,0,-0.118440831892899
VIX.Index,0,-0.00822718961400336,-1.00653139038066,0.417521855418242,0,-0.00894974161782339,0,0,0,-0.0427885103432167,0,-6.93889390390723e-18,0,0.405402605089925,0,1.02524501084006,1.51731883967813,0,-4.76307729109041,0
