,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.289260906585048,0.0603572878460436,0.0308486242447682,-0.0525413916400914,0.0439834973413828,0,0,0.176442334502568,0,0,0,0.0252233693599609,0,0,0,0,0
ETH,0.153784372138062,0,0,0.0650175138191682,0.261907766774722,0.121044321491102,0.0995203199188738,0.0463718180319418,0,0,0,0,0,0.21281219215283,0.00825017065466069,0,0,0,0,0
XRP,0,-0.694805325245791,0,0,0.0790110489218161,0,0.287940348622091,0.0234148952584584,0.0175851564914171,0,0.599597098225311,0.0642297742655347,0.185335833204582,0.327582356322508,0.0908940883761363,0,0,0,0,-0.0139642680484849
BCH,0.116456970468127,0,0.00323436246401997,0,0.335101410473182,0.242357666961276,0,0,0,0,0.146957186658884,0.0560145708497214,0,0.109019650996547,0,0,0,0,0,-0.0130367626366071
LTC,0.167887342949676,0.0504106010202478,0,0.11881043415899,0,0,0,-0.000000000000000000867361737988404,0.105633493777557,0.10584495168791,0.126024226259311,0,-0.0343027144313278,0.101922625855232,0.00113276339238631,0,0,0,0,0
NEO,0,0.345045266434053,0,0.175323383038871,0,0,0.0589554981653145,0.0899084657061844,0,0,0,0.0318463039339857,0.0928438586490184,0.155568916798383,0,0,0,0,0,0
ADA,0,0,0.0871566150472901,0.0326146801870323,0,0.0582922047098045,0,0.109040917652348,0,0.288777013646626,0,0.261162150665349,0.13034412111161,-0.0708938212418555,0.00918078797984685,0,0,0,0,0
XLM,0,0,-0.00000000000000000346944695195361,0.199989876030863,0,0.173704529414767,0.56709519856269,0,-0.0558445540808429,0.350924171570045,0,0,0.0607770787858275,0,-0.169196413807538,0,0,0,0,0.0284923989529977
EOS,0.182827638306878,0,0.0827554372827234,0.0712188328169965,0.0297409283232247,-0.327350768976303,0.00000000000000000346944695195361,0,0,0,0,0.48635576519974,0.0739585593094636,0.255000252789005,0.116846813713192,0,0,0,0,-0.0515875372315068
MIOTA,0,-0.175535277782544,0.00763231363044458,0.162576488634825,0,0,0.219970014051031,-0.0756642587091152,0.099120919517386,0,0.141757985395183,0.129265695799206,0.116956498139683,0.19022661915941,0.0277085132360265,0,0,0,0,0
DASH,0,0.102124253768723,0.118623316452104,0.0848513360018181,0,0,-0.0457006032629218,0,0.102763116088864,0.151177707214688,0,0.271744965997439,-0.0770938559010094,0.0976174965979418,0,0,0,0,0,0.102936620665329
XMR,0.00892512827734335,0,0,0.0349416986343929,0.478964112934636,0.24970409082495,0,0,0.0657090477437845,-0.0000000000000000138777878078145,0.0877517224260652,0,0,0.0144022379260138,0,0,0,0,0,0
XEM,0.595150026139549,-0.230470281313499,0.120018393604352,-0.0332830655024253,0.129001111565564,0.161304513164402,0,0.286895312743543,0,0.0000000000000000138777878078145,0,0,0,0,0.0480333916968619,0,0,0,0,0.0827807756260519
ETC,0,0.665349309599767,0.305003150563221,0.0431909180873396,-0.165297239871327,0.0500171791860997,-0.0608376628682467,-0.190731991070857,0.143409736954799,0.263997859395383,-0.00110992847385185,0.103224353085886,0,0,0,0,0,0,0,0.063793907170898
TRX,1.59534279042931,0,0.0103276397224817,-0.0159932942999615,-0.891673986396697,-0.585939871129016,0,0,0.191709936741543,0.177358651861509,0,-0.189711776851395,0,0.649437446646647,0,0,0,0,0,0.323660086186772
BV010082.INDEX,0,0,0,0.0952354945267578,-0.0158563303989784,-0.0476010944891589,0,0.0117630167437814,-0.0715500306419104,0,0,0.0849109683140421,-0.0816376613906146,-0.0177238295738432,0.0227451970791615,0,0,0,0,-0.0073516906575761
CVIX.INDEX,0.0552511991785128,-0.0318394972073435,0,0,0,-0.0349872541834802,0.0796323671855724,0,-0.0127058381949955,-0.0633811952119831,0.159683578555094,-0.210169677867681,0.0967006439274467,0,-0.0613696082987656,0,0,0,0,0.0581506926386631
DXY.INDEX,-0.00621774296530151,0.0163351888524062,0.0126625715009786,0,0,0,-0.00366283712406023,-0.0142285973525746,-0.0221771338054684,0,0,0,0.0109605378823604,0,-0.00693160704352031,-0.0581756694043718,-0.0692435840681306,0,0,0
SPX.INDEX,0,-0.0126492158152992,0,0,0,0.0172353335640275,0,0,0.0125786449592671,0,0,0.0201176248431963,0.00303324215698332,-0.01172858536386,-0.0484178433101503,0,0,0,0,-0.0808390669645619
VIX.INDEX,-0.844869594332202,-0.00298101632094171,0,0.287626054156935,0,0.260607432157486,0,0,0.298986239073544,-0.534316984652326,0,0,-0.0417472916861046,0.204691693887788,0.0793747798353522,-1.85855884748651,0.251954933449591,0,-3.37250761058949,0
