,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.0813722800165492,0.44913168139713,-0.285107003263882,-0.000482222711702501,0.139187574999157,0,0,0.150616024596189,0.107017503313883,0.000000000000000000867361737988404,-0.0356137294841807,0,0,0,0,-0.0930827617111444
ETH,0.058886123208995,0,0.026789030288254,0.158670839538343,0,0.0767302317767365,0,0.0517161930486845,0.147236460885462,0.0865879176273197,0.0904768704548408,0.0644969639032788,0,0.0915931334086556,0,0,0,0,0,0
BCH,0,0,0,-0.230776430244295,0,-0.633893431117683,0.179216401870513,0.415222077925859,0.0620700361958246,0.688665524488914,0.363835963981062,0.0425537887240257,0.00899187447768505,-0.33263000798667,-0.104825466086156,0,-0.452529735184985,0,0,-0.878733265258988
XRP,0,0.498197450659956,-0.0625447593618012,0,-0.0170818485548932,0.122251209503175,0.121801011167817,0.0289316851642954,0.256760687071611,0,0,0.0933408415884652,0,-0.109615619438044,0,0,0,0,0,-0.185740056421229
DASH,-0.395674125669553,0,0.130801450279936,0,0,0.303564696244624,0.190001008079474,0,0.598507688348834,-0.681449200613452,-0.593698036397413,0,0.592694857736671,0,0,0,0,0,0,0
LTC,0.253638317625406,0,-0.0902315566658386,0.276924400642867,0,0,0.0422633582763845,0,0.11229558367226,0.155796852019801,0.170296211809489,0.0143288277470045,0,-0.0815201469147819,-0.00790990775240577,0,0,0,0,0
MIOTA,0,0,0,0.298202292280635,0.0349345827032443,-0.262594760079254,0,0.00650212037447017,0.322244605566741,0.692816256869074,-0.238336117546627,0.248222303872822,0.0607564533726423,0.100493635588549,0.0559393515858814,0,0,0,0,0.0379137267447714
NEO,0,0,0.041115437347193,0,-0.0585225283803224,0.00478501591060149,-0.219507422376741,0,-0.00000000000000000693889390390723,0,0.181939053199926,-0.139120468508859,0.732694863395336,0.0363294486184922,0.155053490717138,0,0,0,0,0
XMR,0,0.288778802079008,0,0,0,0,0,0.0968845279216629,0,0.224068059240641,0,-0.0286992412751461,0.21461597832824,0.138943754907973,0.0033004054246807,0,0,0,0,0
XEM,0,0.248678514039895,0,-0.0412952053140958,0.0244529849574637,0.0786741145290257,0.178341253375275,0.0262273155680836,0,0,0.00773053481543404,0,0,0.136223668805859,0.0931668540203013,0,0,0,0,-0.196121994061633
ETC,-0.137833166170793,0,0.191139004778286,0.282390570494312,-0.399562286700066,0.155712020367994,0.120355805773495,0.0821088011313601,0.0427138613761178,0,0,0.0375256112238186,0,0.0575772442521784,0.0385945658376321,0,0,0,0,0.0535886501377199
EOS,0.425697377425457,0.504243246995594,0.0299698266769831,0,-0.0309834839801432,0.0758568042438362,-0.0822821381398056,0.0194127766066886,-0.540277532083708,0,0,0,0.729854067567791,0,0.0885510317485401,0,0,0,0,0.115391480863827
ZEC,0,0,-0.030751724545719,-0.213029881192652,0.298906355486176,0.0332507759704561,0,0,0.152534595644175,0.183888660259945,0,0.126654143066038,0,0,0.0395182314009805,0,0.323245035673292,0,0,0.0495674637603319
ADA,0,0.168602295932835,-0.21145316991372,0,0.361835364249279,0,0.4313880351693,0.401525591422848,-0.325714507610421,0.617710060293634,0,0.0244465877880553,-0.779197302844365,0,-0.0071593127728024,0,1.75627232864883,0,0,0.2231077192668
XLM,0,0,0,0.396828751832699,0.117626834557488,0,0.549968158173717,0.137646419138698,0,0,0,0.211031638318381,0,0.276243266862053,0,0,0,0,0,-0.505750385579803
BV010082.INDEX,0,0,-0.00343653379262588,0.0305152052003901,0,-0.102375520901339,0.016693985384732,0,0,0.0080699280578695,0,0.0367228709192064,-0.0125870129959856,-0.0194808908849907,0.00327199237893525,0,0,0,0,-0.0180656329800615
CVIX.INDEX,0.0555724657330372,0,0.0383272175113033,-0.0952971636916075,-0.0338208839358214,0,0,-0.0145594663882834,0,0.0958887292054617,0,0,-0.0262715060331792,0.036288352589147,0.0178699191060938,0,0,0,0,0.125206634446059
DXY.INDEX,0,0.0213572597946013,-0.00180560766716307,0,-0.0114985062178356,0,-0.0163577821844777,0,0.0202971085374316,0.00631435410326748,0,-0.00350708826504828,0,-0.0171647553334411,0.00246032334571362,0.00945021439209749,0,0,0,0.00496907022120205
SPX.INDEX,0,0,-0.00188680042994431,0,0,0,0.0062704646740401,0,0.00275561108992989,0,0,-0.00469330994843588,-0.0223539625632504,0,0.00216434110408762,0,-0.0261845422341937,0,0,-0.0313837208067857
VIX.INDEX,-0.318503868534635,0,-0.394496100636854,0,0.131490483742589,0.509028799587078,0.202133724800942,0.0957853634285256,-0.279768908343855,-0.159386671575172,0.0382671308761904,0,0.0780678865054706,0.0623785011833869,0.102063959152122,0,0,0,0,0
