,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.154016972349663,0.0700360071452148,0.0693011215358629,0.0574794452465388,0.0040557204249769,0,0.0581259226662968,0.0190003546123998,0,0,0.0257936483956227,0.018643558736462,0.0937863685456641,0,0,0,0,0,0
ETH,0,0,0.283874370759813,0,0.204693579298072,0.17062256071256,0,0.0925737850661243,0,0,0.0935897270195463,0,0,0.228178616023105,0.00775744255733186,0,0,0,0,0
XRP,0,0.218278484060612,0,0,0.0986016472151268,0,0.0586400197215688,0.111047777793687,0.0000000000000000000271050543121376,0.102776461142753,0,0.023054095154757,0.0193600520696645,0,0.0525006248233919,0,0,0,0,-0.0121116835301048
BCH,0.56355596075794,0,0,0,0.0235897100736155,0.343229885488184,-0.049364197572548,0.105203933173854,0.266860649747859,0,0,-0.0792879475700942,0.0266691402064514,0,0.0071982881405789,0,0,0,0,0
EOS,0,0.285472835905673,0,0,0,0.457304978551914,0,0.0869244677385338,0.175962848185794,0,0.276177547919694,0,-0.147597563932947,0.108141124736035,0,-0.0395099819654883,0,0,0,0
LTC,0,0,0.159890254336364,0.206341606637252,0.229249248256419,0,0.128010062934218,-0.0239476494710002,0.0949435287147899,-0.045019690419617,0,0,0.219633623632655,-0.0572488847530827,0.0799730072362,0,0.0552348766908547,0,0,0.00000000000000000173472347597681
BNB,0,0,0,0,0,0.00758643641487913,0,0.0769925733866533,0.0502729604351523,-0.411434940475284,0.600261552927944,0,0,0.0654239988309426,0.0381022082437794,0.225682273711325,0,0,0,-0.224209269189882
XLM,0,0.174129392919908,0,0.036209351544968,0,0,0,0,0,0,0.122802892154572,0.25974006713755,0.233917608398515,0,-0.0448678161958612,0,0,0,0,-0.0397128910466386
ADA,0,0,0.341917173689921,0.22830496270634,0,0.241869299714638,0.00388327097939828,0.0562235563985723,0,0,0,-0.0842522525149638,0,0.190840178374928,-0.00597098319405967,0,0,0,0,0
TRX,0,0.0991453148986304,0,-0.000000000000000000433680868994202,0.0883790535861071,0.125025295602804,0,0.303480381853324,0,0,0.213769540934608,0.0859842709619162,0,0,0.105110746342554,0,0,0,0,0.159410990439454
XMR,0,0,0,-0.0173779119182939,0.0388955704254231,0,0.18060910998262,0.191548484247951,0,0.300353913852559,0,0.114271988082898,0,0,0.0459796052182042,0,0,0,0,0
DASH,0,0.183557189293087,0,0.0670805549821092,0,0.0373790790228185,0.128665926291057,0.168507157832847,0,0,0.0582997617687053,0,0.0202631603704477,0,0,0,0.108186102019608,0,0,-0.0370120524812177
BSV,0,0.733899870521347,0,-0.529249697185966,-0.499567709105106,1.28757758887102,-0.48562225028144,0.448890669047946,0.328765878088306,0,-0.518887276810718,0.579724958282833,0,0,-0.127548266744012,0,0,0,0,0
MIOTA,0,0.324484557079411,0.259837582662897,-0.0337575037506201,0,0,0.0353542576971652,0.0479434304422938,0.142768643510173,0,0.061140958315716,0,0,0,-0.0322369711939745,0,-0.0594867516981065,0,0,0
XTZ,0,0.281586760375637,0.805400785425274,-0.207000348228145,0.139238573441132,0,-0.0518996897621442,0.549645866995079,0.299064849747711,0,-0.533393915553274,-0.436400863303665,-0.144376816273162,0,0,0,-0.599822734314978,0,0,-0.0242481716680237
BV010082.INDEX,0,0,0,0,-0.0944389808235911,0.284440341510898,0.055544983827848,-0.127963548503439,-0.313023378052984,0.181928811380664,0.167522483143548,-0.0424395075519905,0,0,-0.0979697398057735,0,-0.138269094265787,0,0,-0.0796910734395118
CVIX.INDEX,0,0,0,-0.0606803283345231,0,0.122569850699851,-0.131950371726318,0.133453329596484,0.0655280942217645,0,0,0.129066541820611,-0.1824098071861,0,-0.274580305018402,-0.378369624527737,0,0,0,-0.10635313985182
DXY.INDEX,0,0.0328476301691425,0,0.0095766797810141,-0.0178296404644474,0,0,0.0156444251199046,0,0,0.00372572378602765,0.00635350398006634,0.00624008958986455,-0.0789904271579578,0.00389068475034962,0,0.011507555726202,0,0,0.00463554674579089
SPX.INDEX,0,0,0,0.0243964164045641,0.00562229591062624,0,0.00297773092784258,0,-0.0368660894608163,0,0.0185572320469002,0,0,0,0.00694382313902648,0,0,0,0,-0.079187323277586
VIX.INDEX,0,0,0,0,-0.553377026932708,0.365018751405868,0,-0.00143749660453802,0,0.673509499795881,0.151259316069324,-0.274731153405608,0,0,0.0565691785426551,-0.550119941541417,0.11716813437889,0,-3.81331287229383,0
