,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0599123297083034,0,-0.138357860026221,-0.0348996861747381,0.0238108769082264,0.127982031748737,0.0605302627937448,0.131389234171548,0.0768948589035803,-0.0198020488512598,0,0.270659721718563,-0.0356004926567962,0,0,0,0,0,0
ETH,0,0,0,0,0,0.343051428677499,0.168255138768557,0.13367405006075,0.11721892069349,0,0,0,0,0.0437811129174877,0,0,0,0,0,0
XRP,-0.272851393086722,-0.147320391590711,0,-0.00000000000000000693889390390723,-0.0445624572155262,0,0,0.305275644502732,0.34627311446401,0,0.186560290436251,0,0.37146314079428,0.0882858878726025,0.08128842226515,0,0,0,0,0.0577310171898986
BCH,0,0,-0.0792742826476632,0,0,0.133745334612451,0.173297662425865,0.0416276986111908,0.17863334943741,0,0,0.337549189115622,0.141856655125736,-0.00942326418550068,0.0755591416283403,0,0,0,0,-0.00837178940384351
ADA,0.035804348241545,0,0.190990091314995,0.0142819948654376,0,0,0.296751662478868,0.333379652135565,0.0943094417324124,0,0.134357303216403,0,0.0318348481206807,0,-0.0934008825550518,0,0,0,0,0
LTC,0.500677659906757,0.0184195560055677,0,-0.0566289001768964,-0.0545721749264546,0,0,0,0.0969737085744069,0.177832401239701,0,0,-0.0491164564662277,0.000813093162577052,0.10604432612385,0,0,0,0,0
NEO,0.166045945679465,0.375763603521066,0.060202503174043,0.0313229641471449,0.00980327567478318,0,0,0.107759277867146,-0.088480922260584,-0.117184996574515,0,0.189051900462041,0.066900433982292,-0.0216563565163869,0.3321872853475,0,0,0,0,0
XLM,0.162631853339814,0,0.0945912236000325,0.149637973328808,0.374215094461364,0.208309118850152,0.0943193123418234,0,0,0.0234686615424291,0.0004755449947603,0,0.141497560023372,-0.178515043689603,0,0,0,0,0,0.0565639189497053
EOS,0,0,0.0515987070685758,0.241842493068852,-0.00000000000000000173472347597681,0.238138894599078,-0.0664516677922588,0,0,0.189071305320891,0,0,0,0.221639358002778,0.103057999553184,0,0,0,0,-0.0508507082648197
MIOTA,0.213884273480639,0,-0.0994287549866187,0,-0.0725913747504968,0,-0.284821185958295,0.0873213739082593,0.338580447135115,0,0.232425960879658,0.113561092459297,0,-0.0934805396491844,0.573449443244215,0,0,0,0,0
XEM,0,0,0.349210982058089,0.178620250923187,0,-0.137433928203796,0.0387716781008402,0,0,0.253319305943525,0,0,0,0.0226053827872665,0,0,0,0,0,0.069679462886644
DASH,0,0,0.0244167715628685,0,0,0.201725442040426,0,0,0.0751841414115971,0.0720229334833209,0,0,0.127796604233788,0,0.232437926971695,0,0,0,0,0
XMR,0.0692402853201868,0,0,0.18417357746161,0,0.0383602667113205,0.0641608650872576,0.0867565973295051,0,0,-0.0263955197828506,0.166889944047454,0,0.0522794037484733,0.219960778878023,0,0,0,0,0
TRX,1.26662863675605,0,0.137594220215996,0.431942300745276,0.116765311675543,-0.758600697083244,-0.600889253033946,0,0,0,-0.584218645442906,0,0,0,0.69917441437901,0,0,0,0,0.150676165191263
ETC,0.10159297032458,0,0.0883843741085714,0.0465813283443535,0,0,0,0,0,0.317999754727144,0,0.130706972069871,0.363580230209169,0.0439604040708072,0,0,0,0,0,0.00894607769190244
BV010082.INDEX,0,0,0,0,-0.0348230460430514,0.0112278809464847,0,0,0,0.00129340153367971,0,0,0.0123186124832523,0,0,0,0,0,0,-0.0390941475560702
CVIX.INDEX,0.0217028651520696,0,0,0,0.0441684452485865,0.0268549548585573,0.0383475961947626,-0.00184560939725395,0.00673189342101991,0,0.0222080217855868,0,-0.0753747884634956,-0.00837277508077983,-0.0619089404480305,0,0,0,0,0.0140651447510936
DXY.INDEX,0,0.00890393171917436,0.00337494490493578,-0.00000000000000000010842021724855,0.00133038310926048,0.00109151846261502,0,-0.00844101462117466,-0.0131269763488438,0,0,0,0,0.00733607447216607,-0.00954363460177137,0,-0.0181382062127468,0,0,-0.0243420631254511
SPX.INDEX,0,0,0.00127354718861236,-0.0152695862966012,0.00902518998202406,0,0.0156529541541527,-0.0109507857058803,0.0127903730573801,0,0.00407393415275293,0,0,0.00387007845901212,-0.0237244164111342,0,0,0,0,-0.0649294511644722
VIX.INDEX,0,0,0.0804850714704004,0,-0.138363778290962,-0.03829544640045,0.172280857027213,0,0,0,-0.0203706477643285,0,0.00816698205763597,0,0,-3.39942796104847,-0.215996068128356,0,0,0
