,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.104125947011536,0.20920827561166,0,0.039466818518021,0,0.109106509026788,0.14996711564067,0,0.0173499846776998,0,0,-0.0136836981574212,0.0269666815946672,0,0,0,0,0
ETH,0,0,0.0256397068620863,-0.058320259106036,0,0,0.351470704877529,0.139362010605072,0,0.0915099293485919,-0.0405354491919166,0.181536646773792,0.284311468023726,0,0.00386295452359949,0,0,0,0,0
XRP,0,0,0,0,0.365351994030319,0.174984698388297,0.107831213605807,0.147498069923221,0.121821648412412,0.0318689990109694,0,-0.154575621309353,-0.0223927112676454,0.233851391198069,-0.0813582496122888,0,0,0,0,0
LTC,0.29306849286503,-0.067264756602542,0,0,0,-0.126336269733454,0.220292203172648,-0.0309617802172193,0,0.0253265446377637,0.123387891120944,0.0609539662662803,0.198111373586287,0.0205741051267724,0,0,-0.0330734266731695,0,0,0
XEM,0.16167491349566,0,0.416109356496881,0.27317321393944,0,0,0,-0.0909229824934421,0.154349443516712,0.0970447616171649,0,-0.00163054502450766,-0.0349348235284115,0,0.0637335480894461,0,0,0,0,-0.180109171156234
DASH,0,0.0881934455646751,-0.0218294260646234,0.131654228642485,0.18179939050632,0,0.186453921533465,-0.0262390591803549,0.209302119261205,0,0.0418699748951222,0,-0.0372720369058058,-0.104027802459407,0.140614841043653,0,0,0,0,0
ETC,0,0.166822336799789,0,0.166292075486339,0,0.0956862250735328,0,0.0840282700325417,0.251904491543843,0.0368024765259126,0,0.0498130807614863,0,-0.267255461321857,-0.00346714827098361,0,0,0,0,0
MIOTA,0.327120025318581,0,0,0,0,0.211706800678873,0.238644433795951,0,0,0.0576641908607942,0.00765307527470025,0.114212570427071,0.28485928264443,0.15494097611252,0.152770895775881,0,0,0,0,0
XMR,0,-0.0597621505722601,0,0.181698393631251,0.0712652568293455,0.479593839391077,0,0,0,0,-0.0153159103645783,0,0,0.190676245016067,0.0559145357588997,0,0,0,0,0
EOS,0,0.426160103725367,0.0949328646015851,-0.533840859150771,0.268452501448583,-0.143652609218998,0.3932676201759,0,0,0,0.139450852997556,0,0,0.116814315640271,0.166216646671057,0,0,0,0,0
NEO,0,0.198585680334173,-1.82332833087787,0.224320055895463,0.6109940150849,0.764630676892819,0,0,0,0.0903179631870525,0,0,0,0,0.0466741695161015,0,0,0,0,0
ZEC,0,0.219684844980142,0,0,0,0.0233389211527548,4.33680868994202e-19,0.0910110314935486,0,0.0300085883575722,0.0718677724349973,0,0.0589373973220357,0.206251780439399,0.0158062236847784,0,0,0,0,0
DOGE,0,0,0,0.0535622205115759,0.446401800387161,-1.0842021724855e-19,0.184524319443636,0.0164276993213998,0.0907372426911445,-0.0645994790198244,0.0187718347717403,0,0,0,0.116149902469757,0,0,0,0,0
XLM,0,-0.0295731415530594,0.73513747380312,0.265992532826396,0,0,-0.078304653458199,0,0.182773007452574,0.0774248539542861,0.0364801516336167,0,0,0,0.126583859441897,0,0,0,0,-0.217546146515298
DGB,0,-0.29063927784057,0.234101875840282,0,-0.0804314586882421,-0.32466117220335,0,0.344990635674892,0.138900242041053,0.204006361658903,0.0544725710840776,-0.757866079735322,0.674542495184711,0.652595842288439,0,0,0,0,0,0.462956347524857
BV010082.Index,0,0,0,0.0252557041494968,-0.0582169436987929,0.0475113429524301,-0.028472345072713,0.0106371584890918,0,-0.000165822116695364,-0.00688196747397588,0.0335271777821573,0,0.00297477571501698,0.0133761430604988,0,0,0,0,0.0783643103825606
CVIX.Index,-0.0711394678165517,0,0.0648878218011515,0.0244467272616711,-0.0273233413598215,-0.0238850277134062,0,0.0324075082761527,0,0.031015744570738,-0.0256861101714033,-0.0934731973723014,0.132365449410145,0,-0.0172227808345289,0,0,0,0,0
DXY.Curncy,0.0398023041549029,0,0.000155078187630183,0.00147988733237922,-0.00450872733357601,0.0199169799198392,2.16840434497101e-19,0,0,0.000981198897048316,-0.0103335039466987,0.00712392782701041,-0.0250537620978647,-0.0109886421338419,-0.00247739538221637,0,-0.0771429592922979,0,0,-0.0314770643874029
SPX.Index,0,0.00853969840020402,0.00653185441306502,0,0,0.00447893283585838,-0.00244769812600129,-0.00630925760461049,0,0,-0.00221971178591283,0.00455407316549612,0,-0.00447096610996572,0.000407481650176704,0,0,0,0,-0.0645473065363541
VIX.Index,0.303102376649226,0.308676408455102,0.120987675717463,-0.465572561436977,-0.0748977060405464,0,0.072619689681675,-0.1816019375904,0.0313904610688075,0.0699439702127106,0,0,0.0886096794574879,0,0,0,0,0,0,0
