,BTC,ETH,XRP,BCH,ADA,LTC,XEM,MIOTA,XLM,DASH,TRX,NEO,EOS,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.0380425849442517,0,0.0549184272516759,-0.0110832039056278,0,0.145988507297343,0,0,0,0.112787616264072,0.215215988031744,0,0,0,0,0,0
ETH,0,0,0,-0.00635364620334004,0.0242647026166903,0.165403687765106,0.0344832438113608,0.0626506556517754,0,0,0,0.177171770187995,0.0178189070623136,0,0.111755901124267,0,0,0,0,0
XRP,0,0,0,0,0,0,0.118189901899932,0.0146693481475455,0.303332324797155,0.216907770607733,0.0203666779159757,0,0.341909980706133,0,0.116273422275131,0,0,0,0,0
BCH,0,0,-0.104219535651223,0,-0.00000000000000000173472347597681,0,0,0,0.0229592083046123,0.189312069142016,0.0209096014292593,0.264930926004823,0,0.050856264690385,0.215444969122255,0,0,0,0,-0.130768035502234
ADA,0.0722409547421806,0.322173803835153,0.178318008624467,0,0,0,0.149162238786179,-0.0662235009576453,0.300015095967879,-0.116775582546066,0.0368054319821237,0.100180430649413,0,0,0.154989043134354,0,0,0,0,0
LTC,0.128240273078821,0.107815870252184,-0.0010881729832223,-0.034741598360693,0,0,0,0.156614260170115,0,0,0.030831611690545,0,0.0909684516475681,-0.0058568560638697,0,0,0,0,0,0
XEM,0,0,0.217738659341862,0,0.0441557860351262,0,0,0.162687221807832,0,0.156607806148,-0.0231647393572534,0.141830555452711,0.116141772139077,0,0.0192081899516239,0,0,0,0,0
MIOTA,0.612796852333967,0,-0.154440376530978,0,-0.0857530151420392,-0.13289089860611,0,0,0.300958599879248,0.0148001538575117,-0.0908628167123206,0.0667472406760917,0.335500653581997,0.30401144549065,0.0779988476854259,0,0,0,0,0
XLM,0,0,0.12685978911567,-0.0484455720551618,0.37388064750273,0.169836321441693,0,0.0471928457004862,0,-0.102522907417252,-0.205246579711782,0.0841443217520287,0.108182254433159,0.18881675401412,0,0,0,0,0,0
DASH,-0.0395864889998539,0,0.0624518600272955,0.108187544701744,0.0149887210107535,0.262620788682026,0,0.0173564914371791,0,0,-0.041634811394351,0,0.118283290429065,0.146145818852804,0.0316257640266155,0,0,0,0,0
TRX,1.05468221967593,0.840033416359167,0.111692444619287,0.071520210602018,0.372697940909768,-0.639396131402689,-0.61224169798156,0,-0.0296543822496726,0.198283521830983,0,-0.522380463035671,0.198744452883966,0,0,0,0,0,0,0
NEO,0.000000000000000000867361737988404,0.776729033305083,0,0.0123680994472875,0.011131735772117,0,0,-0.0528937724050591,0.164269263831305,0.023112943856424,0.0670530071828933,0,0,0,-0.0883334888724005,0,0,0,0,0
EOS,0,0.0565644961444879,0,0,-0.0433941986807124,0.117667372861203,0.124812527196456,0,0.285934717370443,0.0980724121054252,0.132807059831807,0,0,0,0.204528373499923,0,0,0,0,0
XMR,0.185636601993223,0,0,0.0000000000000000138777878078145,0.0310309632297935,0.133023114836307,-0.0103211017971557,0.0799079303727662,0.073562897329174,0.0675729664463062,0.0692726124265414,0.320960293485953,0.0219274018210157,0,0.0987112231989002,0,0,0,0,0
BTG,0,0,0.178540364830205,1.1546712351373,0,0.517056277181404,0,0.134733218512047,0,-0.563813172603301,0.17406549687645,0.117829980979718,-0.71154641804985,0,0,0,0,0,0,0
BV010082.INDEX,-0.0473570151626888,0.0209622297771543,-0.0174277303963445,-0.0332417843628967,0,0.00557116976721645,0.000312831575437657,0.00973051700774578,-0.000243074444627995,0.0174012729138759,0.00496177389188146,0.00351649660115078,0.0150651710903598,0.0128490970073831,0.00683427099874699,0,0,0.632495234759083,0,-0.0268737911345502
CVIX.INDEX,-0.0111555117250511,0,0.0222726748218534,0,0,-0.065966375090179,0.0305210950981842,0,0.0141722219597784,0,-0.0164265030722933,-0.0587052276884678,-0.00701339172620406,0,0,0,0,0,0,0
DXY.INDEX,-0.00957389802205924,0,-0.0158433917015921,0,0,0.00708086142453277,0,-0.00000000000000000010842021724855,0.0000000000000000000271050543121376,-0.0134418595928934,0.0126391644511909,0,0,0.0285737446148316,-0.00615407514635844,0,-0.0110424734116249,0,0,0.00255686426275566
SPX.INDEX,0.00289201488778071,0.0139836993283386,0.00191131809094362,0.00221018650678462,0.00413811520624615,0,0.00156799948681011,0,-0.00746022535016121,0,0,0,0,0.00109385852449146,-0.00132404408064044,0,0,0,0,-0.0291149537372177
VIX.INDEX,0.268130162288228,0.0276005951417386,0.0495533237045689,-0.0547019846432368,0.035426860756322,0,-0.0383944594660707,0.0685096585265222,-0.105025971225393,0,-0.115772731514146,-0.158466723565977,0.206100965928019,-0.117429289324841,0,-0.544986561545786,0,0,0,0
