,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,XEM,ETC,EOS,ZEC,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.118514200911973,-0.0735446628527589,0,-0.0325844134217862,0.415297574375878,0,0.0476009771355361,-0.197520250833561,-0.226530253414002,0.0833843058293522,0.122827849956186,0.0904598444044514,-0.0771880123840148,0.139296284147248,0,0,0,0,-0.14589913945962
ETH,0,0,-0.00000000000000000173472347597681,0.210574623025686,0.0867372930136006,0.013223666193698,0.0956091087530488,0.045693588489707,0,0.170707020527877,0.0257182610187511,0.0453039351293088,0,0,0.068029371795261,0,0,0,0,-0.049234563973671
BCH,0,0,0,0,0,-1.47135695948607,0,0.677622226478332,0.069559409139197,0,0.25452535676501,-0.0545836828210528,0.381835388963457,0,0,0,0,0,0,-0.408942867207726
XRP,0,0.641324202220476,-0.0123277004911895,0,-0.0312651214569209,0.106373322965232,0.185507246265622,0.0302319712802445,0.0959635610134491,0,-0.0409481930032911,0.123842517310693,0,0,-0.0941709874984446,-0.34211413296914,0,0,0,-0.117486422448663
DASH,-0.452723482087832,0,0.110758962323804,0,0,0.517067901116712,0.549205839007244,0,0.195021985665466,-0.825501674538134,-0.488710425024764,0,0.588430887719351,-0.0233890749730269,0,0,0,0,0,0
LTC,0.137150053557607,0,-0.10328288348335,0.249503179858645,0,0,0.0979831103672355,0,0,0.128416145078542,0.163412610427263,0.00525307852382907,0,-0.0203817132832038,-0.0462670576004921,0,0,0,0,0
XMR,0,0.245204909841834,-0.0366925984847704,0.0173378333476676,0.0297487219319959,0,0,0.166928204943732,0.0677756304605747,0,0.104675237168388,-0.0603392062811012,0.12087904032763,-0.00501879369234536,0.203651178538517,0,0,0,0,-0.202037235790861
NEO,-0.338804810533828,0.0426945125212699,0.0618902693469452,0.0298636246130941,-0.211992433623642,0.164517311494356,0,0,-0.292407716153105,0,0,-0.144175964160159,0.824593910746313,0.15821123366424,0.0954477267314841,0,0,0,0,0
MIOTA,0,0,-0.0852672740075157,0,0,-0.335442787166669,0.387956631321711,0.0586155118704463,0,0.735201124290985,-0.108385691121138,0.238753436981845,0.172379787703095,0.0414006497136493,0.103222392583679,0,0,0,0,0
XEM,-0.025293882714129,0.346632488473215,-0.0383243785249895,-0.0668612179151318,-0.00000000000000000346944695195361,0.104343393774166,0,0.0383283569000956,0.167555258936819,0,0.0166105574203598,0,0.046292047626306,0.0680274317125442,0.0953029198743515,0,0,0,0,-0.192790797693662
ETC,-0.0911096409268749,0,0.199976661110013,0.23662023029427,-0.41290641082242,0,0,0,0.106356315808869,0,0,0.0387451414659877,0,0.0250076485232817,0.125502859373726,0,0,0,0,0.131238303373766
EOS,0.385823597732334,0.516777373689371,0,0,0,0,-0.573547893706627,0.0871026035122806,-0.0393465125311701,0,0,0,0.619634374734065,0.0852282004660079,0,0,0,0,0,0.0833719907079064
ZEC,0,0,0,-0.242367836809556,0.264151838043662,0.0304698990219609,0.247943683812134,-0.0196849003510865,0,0.197493209485216,0,0.0905051976332228,0,0.0378226853936574,0,0,0.0488936268208169,0,0,0.0774753925761896
XLM,0.450017158257616,0,0.2171837538072,0.467645600116993,0,0,0,0.0369900854902465,0.300920418096107,0,0,0.137368154150702,0.652397999741214,0,0.207492383254482,0,0,0,0,-0.523355498780908
ADA,0,0.035861300957899,0,0,0.44617124515255,0.637275207165795,0,0.147212385722746,0.535662739088406,0.727317750104638,0.0348289780085081,-0.0505375493575431,-0.887110979462447,0,0,0,1.18210878838512,0,0,0.0210543503598504
BV010082.INDEX,0.0192320862979143,0,-0.0209704917993442,0,0,-0.11905312159296,0,0,0.0445554932311559,0,0,0.0314477057678457,0,0.00223910600625943,-0.011924190733102,0,0,0,0,-0.020570695281201
CVIX.INDEX,0,0,0.0432661441528019,-0.0482626820575443,-0.0832432587865107,0,0,-0.0115422181928564,0.00545544759901305,0,0,0,0,0.0328966127533174,0.0590644464306262,0,0,0,0,0.0727426276069784
DXY.INDEX,0,-0.0354274998787524,-0.0130285327515801,0,0,0,0.0211469491193263,0.0159658173387142,-0.0185304711807112,0,0.00858655216655331,-0.0034863409595754,0,0.00276412596482905,-0.018727161867874,0.0277776208085883,0,0,0,0.00778850170766187
SPX.INDEX,0,0,-0.00227222143540909,0,0,0,0,0,0.00611076587986128,0,0,-0.00424609199395935,-0.0218823367910002,0.0022608915763903,0,0,-0.0263500528191794,0,0,-0.0322285567186843
VIX.INDEX,-0.380104401471848,0,-0.438615500296245,0,0.127597010386754,0.402461674264289,-0.281888765612383,0.122090423072182,0.230031021167843,-0.017831363469344,0.0929226657736192,-0.00754665420695891,0.0727820188001321,0.0600679559662234,0,0,0,0,0,0
