,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.111645890313223,0,0,-0.0212835425182945,0,0,0,0.118954665256216,0.124699435434593,0,0.109980635745781,0.0833136044600461,0.0537120294733316,0.0834130001936714,0,-0.0461648304724262,0,0,-0.0227396121293666
ETH,0,0,0.347131095838002,0.234791842426812,0.0120265851399677,0,0,0,0.0789859961699056,0.0447329407745794,0.056608592519101,0,0,0.13720961744074,0,0,0,0,0,0
XRP,0,0.194226052688742,0,0,0,0.232529213154133,0.097241347745942,0.163458670859443,0.0182869651333242,0,0.0900072238624951,0.040110763905126,0.0149982062305671,0,0.0789541930349516,0,0,0,0,0
BCH,0,0.297796435648563,0,0,0.0829318780613989,0.177129070350665,0,0.0961858340314361,0.134819036378925,0,0.0522271471191861,0,0,0.0255575307064801,0.102476683499576,0,0,0,0,0
EOS,0,0,0,0,0,-0.392579638230023,0,0.408485456082934,-0.309034183818203,-0.165718707154972,1.25264834160598,0.410291901195111,0,0.305100772133645,0,0,0,0,0,0.103685554061328
LTC,0,0,0.356110870849331,0.0751965040909967,0.0755790697585568,0,0,0.0527032227916579,0,0.0133830333445828,0.084204564320649,0,0,0.143001035097606,0.104778163320731,0,0,0,0,0.0161345665868249
XLM,0,0.147718349888627,0.221454848398757,0,0.0318403934177006,0,0,0.352334720006846,0,0.0269363604309713,0.129934232644692,0,0,0.0267373604684805,0,0,0,0,0,-0.0945349893780321
ADA,0,0.0547290048206857,0.0451922648064707,0.195714264558161,0.135644930721958,0,0.231260830567476,0,0.0949645117675257,0.0528221343837603,0,0.166119481059877,0,0.0222523668966742,-3.46944695195361e-18,0,0,0,0,0.0826230807743326
MIOTA,0.884482292834727,0,0,-0.319359930242455,0,0.194995698914807,0.283176614075333,0.293465059832859,0,0.0213825140049922,0.119914895187582,0,0,-0.213176453548318,0.0042189562524492,0,0,0,0,0.0311944391595719
TRX,0,0,0.648726621260966,0,0.109582862424878,0,0.0986336792610846,0,-0.102551208494121,0,0.0445321237411686,0.38020734541338,0.00911691935304097,0,0,0,0,0,0,0
NEO,0,0,0,0,0.00599433845010348,0.266824710047115,0.129507835647398,0,0.139525948918192,0.0303113688722406,0,0,0.105029527497856,0.236021587374898,0,0,0,0,0,0
XMR,0,0.0740841090947562,0,0.202367507467084,0,0,0,0.168942953137131,0,0.118589845355232,0,0,0.14485166018557,0.21114986878771,0.00777401064347055,0,0,0,0,0.0916873869455094
DASH,0,0,0.0786192308094598,0.117418204266884,0,0.13728306008129,0,0,0.0774989336612674,0,0.185662408817307,0.0570203990259476,0,0.115648410956828,0.0104194523796028,0,0,0,0,-0.0238840476613289
BNB,0,0.063921464657376,0,0,-0.132082834225806,0,0,0.338155225470201,0.196162616092091,0,0.134060173439186,0,0,0,0.0283288539769319,0,0,0,0,0.0984312188551012
ETC,0.253767576787946,0,0.621187935766452,0.0399921253105292,-1.38777878078145e-17,0,0,0,0.0663092805261146,0.115453828379387,0,0,0,0.0820335869871807,0,-0.122889609765679,0,0,0,-0.199627343007698
BV010082.Index,0,0,-0.133682545097306,0,-0.126531209412212,0.102784531209347,-0.027890623808556,0,0,0,0,0.200826223922588,0,0,-0.0176579147877846,0,0,0,0,-0.254160710975685
CVIX.Index,0,0.142555955865925,0.0462939945470615,0.136571483365416,0,0.0171771873616439,-0.0295008875008356,-0.0370359585682415,0.077143808529634,0,0,0,-0.380333936534913,-0.111446777912605,0.0649962249878699,0.540606650288946,0,0,0,0.131770636425062
DXY.Curncy,0,-0.0123967838645251,0.0224081133088089,0,0.00910614096001719,0,0,0,-0.0240702908253397,0.0110061178614154,0,0,-0.00941339543903704,0,0.0182413198813431,-0.0486915470635978,0.00340833950847252,0,0,0.00328142851827449
SPX.Index,0,-0.0122067995206506,0.00677357810994808,0,-0.0173956086159842,0,0,0,-0.0134024975945135,0.00509189934591768,0,0.0193170698072344,-0.00984544066439771,0.00794698630513037,0.0223759393572651,0,0,0,0,-0.0764402433459705
VIX.Index,0,-0.0543245795343178,0.132652176412147,0,-0.102555406879504,0.148757240089668,-0.0312128012238493,0.081967430869725,0,0.223892957566839,0,0,0,-0.243572828684549,-0.251874868720915,-0.0265432970996318,0.491035064755455,0,-7.32327853533947,0
