,BTC,XRP,ETH,BCH,EOS,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.007082925080999,0,0,0.093883432892052,0.120844361076753,0,0,0,0.119067993873167,0.195578341568407,0,0.198053413913549,0,0,0,0,0,-0.0520196308186052
XRP,0,0,0.116499838959467,0.0299066450887326,0.116584516926973,0.00943556879969572,0,0,0.0294445123409695,0,0.066167427273687,0.0561670098191219,0,0.0380054317225929,0.216864441789253,0,0,0,0,0.0169557607375289
ETH,0,0.313253049290767,0,0.135036240302379,0.0760879241823914,0,0.0813310654742569,0,0,0,0.181596175785198,0,0.161212293225439,0.0404910010969457,0,0,0,0,0,0
BCH,0,-0.344768262611385,0,0,0.420111505249341,0.0696339559220371,-0.0000000000000000277555756156289,0.0141514484480318,0.115133851473972,0.448917163992888,0.296331281058673,0,0.0783633636010513,-0.00000000000000000693889390390723,0,0,0.239536610432258,0,0,0
EOS,0,0,0.212502506078109,0.0851897844664534,0,0.180060383067029,-0.466307880000138,0,0.0429831980123064,0.605550098724169,0.203879171900679,-0.229460650566027,0,0.0814082689569694,0.168932672921075,0,0,0,0,0.0225235637819055
LTC,0,0,-0.0000000000000000138777878078145,0.0662827462908447,0.188926576123876,0,0,0.139210973116704,0.0959751659446279,0,0.229206683913261,0,0,-0.0104346109347389,0.182837205509973,0,0,0,0,-0.0948449618126545
TRX,0.0886469312813479,0,0.1354125035892,0.0795651336207069,-0.351829178562684,0,0,0,-0.0596437611330286,0.593972286557922,0.344808624517094,0,0,0,0.0375972130681461,0,0,0,0,0.171004793886615
XLM,0,0,0,0.0269829652345972,0.0236875169769197,0,0.00754314767373221,0,-0.00838998968392113,0.183115108337228,0.0697956680584577,0.279219634189337,0.0779471763233503,0,0.306403072013733,0,0.052584826253633,0,0,0.0779594562416282
BSV,0,-0.359131071119028,0.0425141612216464,0.431511529652715,0.046724229012449,0,0,0,0,0,0.363811841666596,-0.342824129215509,0.00632156422952011,0,0.363338586968708,0,0.324075748154609,0,0,0
ADA,0,0,0.0484623052332266,0.0255036762599316,0.285679926820412,0.142221384178238,0.0785642946569084,0,0.0235673502909629,0,0,0.0732645198025146,0.115184424937848,0,0.106197871397014,0,0,0,0,0
BNB,0.178857505309718,0,0,0.0375276337919785,0.10703899533314,0,0,0.480032697478125,-0.169085243171356,0.245921840508723,0,-0.259910473380434,-0.0362886476785268,0,0.224357555478054,0,-0.455104464951747,0,0,0.0334882696189315
XMR,0,0,0.13690496462414,0,0.038666779910603,0.0706884222777398,0,0.161190974139442,-0.00741724686015563,0.19838157245213,0.0731956267972667,0,0,0.0227872642938199,0.125667763892942,0,0,0,0,-0.0258171095576785
MIOTA,0,0,0.0139293628062158,0.0236198232728065,0,0.0366059073776387,0,0.415887894131668,0.187526823311885,0.109965190794989,0.337160084314479,0,0,0,0,0,0.108519315354388,0,0,0
DASH,0,-0.172345346528261,0,-0.00217184421386537,0.0957133068461522,0.0618621165050424,-0.23863813221453,0.794421600339749,0.046927721911171,-0.162629736270691,0.179301140357837,0.480372729969548,0,0,0,0,0,0,0,-0.0810560338129688
NEO,0,0,0.00000000000000000693889390390723,0,0.369799679038283,0.277858760988741,0.201709950168961,0,0,0,0,0,0,0.0971045141844076,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255782753923306
CVIX.INDEX,0,0.694556719992851,0.239058491505367,0.0392381613258179,0,0.11695006288046,-0.0673572495183254,0.0914197398645565,0.0170296288322746,0.007049210916606,0,-0.257780098006885,0.0441666115542475,0.0442345072170475,-0.798878714754165,0,0,0,0,-0.0980346030826356
DXY.INDEX,0,0,0,-0.00397081815628529,0,0,-0.0470015035931415,0,0.00610988922594777,0.0395671174842633,-0.0274142173259019,0.0236155855999549,-0.0000000000000000000542101086242752,0,0,0.0278734574983062,-0.0360856514980932,0,0,0.0119134424092048
SPX.INDEX,0,0.0216389260460486,-0.0218420513498407,0,-0.0105906638940123,-0.00666304565066115,0.002312115653582,0,0,0,0,0.0408906598554743,0.000000000000000000433680868994202,-0.0545841798544031,0,0.0743759665094661,-0.0678563451868635,0,0,-0.140104903675342
VIX.INDEX,0,0,-0.511407287439269,-0.0137121888562002,0.028423262781829,-0.291818223518412,0.224331398794349,0,0,0.362042731048117,0,0,0.0785818773197069,0,0,-0.0404299764159914,-0.594113825579616,0,-4.88467114423681,0
