,BTC,ETH,XRP,BCH,LTC,EOS,ADA,NEO,XLM,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.154022372104843,0.109715201495271,0.0918555934088749,0,0.0870862825280083,0,0.0628815362951165,0.123214434796506,0,0.0531550989749175,0.0144008454512629,0,0,0,0,0,0.00820037759846355
ETH,0,0,0.125093803427865,0.060136996014811,0.266511861359961,0,-0.0846446560991205,0,0.130428754087076,-0.0835320343325099,0.0986970772558061,0,0.257975184332339,0,0.0972577542535378,0,0,0,0,-0.0976743769087164
XRP,0,0,0,0,0.0342022929753215,0,0.473180329159416,0,0,0,0,0.132564785008662,-0.183159613588001,0.156333228484903,0.107401161116637,0,0,0,0,-0.0327828142008653
BCH,0,0,0,0,0.168550324023633,0.0777746184793912,0,0.271229753746752,0,0,0.379462701872027,0,0,0,0.0737619167973841,0,0,0,0,-0.0552310529776675
LTC,0.240314917312352,0.0494263354655534,0,0.13826689190643,0,0,0.0621833013115038,-0.000000000000000000433680868994202,0,0.0322789210986542,0,0,0,0.0345475376096131,0.208625649456687,0,0,0,0,0
EOS,0,0,0.193785108199667,0,0,0,0,0.132087178058184,0,0,0,0.263081315710096,0,0,0.348094510798959,0,-0.0924655858792587,0,0,-0.030471011550206
ADA,0.0242623322177794,0.376367494466399,0.192458226945939,0,0.0636607672297699,0.182799927756043,0,0.104607061149656,0,0.0724225968762396,0,0.0128724399065975,0,0.0792292239314288,0,0,0,0,0,-0.0310482060061635
NEO,0,0.589034352389982,0,0.153291884629415,0,0,0.118578158944309,0,0,0,0,0,-0.0688023850282671,0,0.263150645919689,0,0,0,0,0
XLM,0,0.128976403615305,0,0,0,0.0341680830318729,0.0875307351983531,0.0392704728498529,0,0.240358917853237,0.304043573875211,0,0.142278151517526,-0.000544023365995567,0,0,0,0,0,0
MIOTA,0,0,0.0664256428375922,0.209879141288782,0.163130514502802,0.0210635523362585,0,-0.00000000000000000173472347597681,-0.0374560882844558,0,0.337895184935669,0.131375869491904,0.0390384258522775,0.123815630253288,-0.0660128881873825,0,0,0,0,0
DASH,0.311268886050628,0.260253820413095,0,0.0762902404199087,0,0,0.134763131548368,0,0,0,0,0.0444199179362361,0.067440700394287,0.016162920719831,0,0,0,0,0,0.0660127811990715
XMR,0.592430414191877,0,0,0,0.342078468175779,0,0.0315129304946719,0.204862673244614,0.197363963808008,0.0962908417670557,0,0,0,-0.367397171592997,0,0,0,0,0,0.0820270613587022
TRX,0,0,0,0.0964609098266953,0.00240976090323734,0.236240215614833,0,0,0.194746385676175,0,0.0372346593962038,0,0,0.26136512283573,0.0178558806665701,0,0,0,0,0.115301491323545
XEM,0,0,0.234242071889311,0,0,0,0.41494635233086,0,0,-0.147947142019652,0,0,0.265932077598892,0,0,0,0,0,0,0.0791822782676624
ETC,0,0,0.235586660189785,0.298659719298956,0.0179336060774464,0.298453769956321,0,0.100910401501366,0.130665638144789,0,0,-0.154945435045413,0,0,0,0,0,0,0,0.064735191985959
BV010082.INDEX,0,-0.0841419942038361,-0.0119070340787929,0,0.0337954826097075,0,0,0,0.0170403897052943,0.0426080886888192,0.206416059127666,0,-0.107247826077279,-0.0631622710336165,0,0,0,0,0,-0.0241420405169307
CVIX.INDEX,0,0,0,-0.0437457565582181,0.0785558728357189,0,0.146838209573354,0,0.118773837789823,0.0230081279729218,0,0,0,-0.258696002540697,-0.0436032512693248,0,0,0,0,0.0811350137695582
DXY.INDEX,0.0430253666484451,0.00738797849871419,0.0512502073421123,-0.0164840016960729,0,-0.034516824264833,-0.0145451024760071,-0.000000000000000000433680868994202,-0.0244303555848949,0.0212024620866476,0.0162284843375596,-0.0431049073670236,0,-0.010443865568786,0,0,-0.0156992575734137,0,0,0.00861213310651927
SPX.INDEX,0,0.0294875465616932,-0.0744597765511033,0.014557444310561,0.0263427279049549,-0.00516431665682653,0,0.0617285408828873,0,0,-0.0816955360724617,0.0502461727301177,-0.0641531661450315,0.048701992172475,0,0,0,0,0,-0.0645149618964507
VIX.INDEX,-0.983351039946469,0,-0.0687013698978615,0,0,0.219758838834308,0,0,0.127719284009584,0,0,0,0.273743905551471,0.0677117715784749,0.0248661708518068,-0.711462933670284,0,0,-4.65486355216519,0
