,BTC,ETH,XRP,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0902936461187923,0,0,0.0733138828033526,0,0,0.00621700346187389,0,0.0848504864828722,0.28425281261539,0.146195699971076,1.73472347597681e-18,0.100770532944895,0,0,0,0,0
ETH,0,0,0.193590602465827,0.0902703623416999,0.000601775511916574,8.67361737988404e-19,0.118284792370033,4.33680868994202e-19,0.0174224784876199,0.0189294236733441,0,0.361824725142297,0.126653578073184,0.0505180074246289,0,0,0,0,0,0.032917298320977
XRP,0,0.102437759973805,0,0.0326935600306945,0,0,0.225238618744357,-0.0110961673829116,0,0,0.0225209558847135,0,0.0313528579594149,0.0534214552936104,0.280155379186354,0,0,0,0,0.0803572836461932
BCH,0,0.474407145794268,0,0,0,0,0,0.19055311913311,0,0.970689167878681,0.127321126439996,-0.709248799876844,0.414741356694135,-0.201318966723828,0,0,0,0,0,-0.231009742269331
EOS,0,0.12275141234189,0.265652469940512,0.0998773057314079,0,0,0.409945803455552,-0.0313070171445422,-0.355472075073942,0.375642370602258,0,0,0.190953772126214,0.134607742595252,-0.407526153257349,0,0,0,0,0.0517610206327267
XLM,0.507761344477045,0,0,-8.67361737988404e-19,0,0,0,-0.0113755641648691,0,0.250133567287547,0.0796775738168104,0.162602564492017,0.0451419780494991,0,0.0531201573111509,0,0,0,0,0
LTC,0,0.260531559614157,0,0,0.183939649857053,0,0,0.0409905598858258,0.0280602234905113,0.0869654509361655,0,0,0.263024238795936,0,0,0,0,0,0,-0.0552145701916988
BSV,0.994129025458974,0,-1.58647732328359,0.999493860810954,0.390179430223345,-3.28795802173727,-0.0145765521508371,0,0.112714535002532,0.578077551097092,0.416490180631879,-0.297102484287328,1.07956533290415,0.418203462911188,0,0,0,0,0,0
TRX,0.433362256749622,0,0.0413918460931264,0,-0.0431756120156733,0,0,0.000315056936496094,0,0.313989240741377,0.101757574587313,0.128800753976601,0,0,0,0,0,0,0,0.0165585959562198
ADA,0,0,0,0.109981902840948,0.287377509662899,0,0,-0.0142884120682199,0.282537936794936,0,0.133971748045199,0.133929503837706,0,0,0,0,0,0,0,-0.00415805150750102
MIOTA,0,-1.38777878078145e-17,0,0.0136789805980884,0.181969585831402,0.211550808529029,0,0.0734725795779898,0,0,0,0,0.168422710948184,0,0.368354549440863,0,0,0,0,0
XMR,0,0.221397069884985,0,6.93889390390723e-18,0,0.147060858740375,0,0.0243224261418063,0.165807678832806,0.222518519949763,0,0,0,0.243897022631031,0,0,0,0,0,0
BNB,0,0.284520880000555,0,1.73472347597681e-18,0.352666650534805,0,0,-0.052118716872761,0.292988705445188,0.0621346965846497,-0.0337946964263471,0,0,0.0641203691610121,0,0,-0.594968260140628,0,0,0.058433392541852
DASH,0,0.0557358142791721,0,-0.100613896374388,0.0429447309129264,0.245212710478454,0.19585577712063,-0.00683116594364963,-0.21135112705327,0,0.190348670867346,0.484663129662958,0.188023333700319,0,0,0,0,0,0,0
XEM,0,0.172245039913005,0,0.162926255735957,-0.163493616022345,0.323933874747157,0,0,0.0897813661815621,0.031991253859562,-0.0418738728827795,0.27699169916076,-0.0512017903284752,-0.113427639788006,0,0.304380035535386,0,0,0,0.0472009734821434
BV010082.Index,0,0,0,-0.0552289660680416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375117286254385
CVIX.Index,0,0,0.145077142738149,0,-0.0898476230823551,0.0221424226761392,-0.0288665471687614,0.0442280702372714,-0.126241030012359,0.243052948072747,0.0876798017845709,-0.203966449209797,0,0,0.0406009756190938,0,0,0,0.928908047475188,0.191932386441804
DXY.Curncy,0,0,0,0.0018050131388217,0,0,0,0.00595061521027032,-0.0317544834396126,0,0,0,0,0.00488134974422296,0.0145499934221954,0.0506306004921973,0,0,0,0.00565145405251821
SPX.Index,0,0,0,0,-0.00966115933991843,0,0,0.0137831623810905,-0.0541720695753977,0,-0.0187707833814844,0,-0.00896115483620298,-0.00668639787616593,0.0371277134067136,0.00443896414230169,0,0,0,-0.118978830469047
VIX.Index,0,-0.274693051231455,0.165770971411236,0,0.126516517814803,-0.573507878782265,0.212463314705899,0.0391853253517755,0,0.527012087125801,0,-0.514892898447053,0.297356256494459,0,0.272216358216556,0,-0.0751277691875954,0,-5.06312260174963,0
