,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,TRX,DASH,NEO,XMR,EOS,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.123677416443466,-0.0876629342656604,0,-0.0400768762312975,0,0.0540513920589189,0.112031890771919,-0.0230697625934283,0,0.107081131755572,0.24226048094993,0.0714328763927558,0,0,0,0,0,-0.0895540645180277
ETH,-0.109176657617361,0,-0.0844053250751675,0,0.0585096260370125,0.0561343315306311,0.0804380413619757,-0.0345526040061866,0.0317505775032542,0.0541364054317379,0.0297479027964664,0.185589297453594,0,0.139804289812306,0.0760367604857027,0,0,0,0,0.138089176070145
XRP,0,0,0,0.0756228526692221,0,0.0612731938563137,0,0.27860186361259,0,0.0196426666000868,0.22991866475374,0.0371010480382143,0.0506500181558602,0.361677482174414,0.0699979637107545,0,0,0,0,0
BCH,0,0,-0.0896679333794056,0,-0.0143866635306226,0,0,0,0,0.0202731657933254,0.176527495148125,0.26007926164499,0.138879968855636,0,0.199783769384998,0,0,0,0,-0.0409198439984502
ADA,0.0605850987984256,0.307711766968318,0.18379873968226,0.0186810845628797,0,0.14831711615038,0,0.306315270820446,-0.0698588386129273,0.037932310811543,-0.111163857240068,0.0878197122437449,0,0,0.1490688393561,0,0,0,0,0
XEM,0,0,0.217738659341862,0,0.0441557860351261,0,0,0,0.162687221807832,-0.0231647393572534,0.156607806148,0.141830555452711,0,0.116141772139077,0.0192081899516241,0,0,0,0,0
LTC,0.128192500003169,0.0995197530983533,0,-0.0397526388473964,-0.00139609732825794,0.00830545349993007,0,0,0.151482205414374,0.0337172508477593,0,0,0,0.0840531896271386,0,0,0,0,0,0
XLM,0,0,0.0850897706197349,-0.0408354575796627,0.417473454711111,0,0.199586198732903,0,0,-0.208536288833148,-0.0822913369946257,0.0931844472932598,0.125574193044563,0.141845963774805,0,0,0,0,0,0
MIOTA,0.480873749954778,0.152201687701857,-0.150132321240288,-0.0115425434946136,0,0,-0.0939822585132023,0.143123956910916,0,-0.128445474653785,0.0590402732790674,0.0723514847444786,0.35346093537227,0.349137597069863,0,0,0,0,0,0
TRX,1.23481638961358,0.816435330395524,0,0.222069482428568,0.438823041987517,-0.480576192404216,-0.389027587278708,-0.177960446522823,0,0,0.257075933679196,-0.0292540444336427,0,0,0,0,0,0,0,0
DASH,-0.0395864889998539,0,0.0624518600272955,0.108187544701744,0.0149887210107535,0,0.262620788682026,0,0.0173564914371791,-0.041634811394351,0,0,0.146145818852804,0.118283290429065,0.0316257640266154,0,0,0,0,0
NEO,0.0152800035645002,0.67205571261503,0,0.0201660232935687,0.0056615388369723,0.0755054867234022,0,0.172596747539242,-0.0792346249217731,0.0728286606987185,0.107080349745337,0,0,0,-0.103708078832594,0,0,0,0,0
XMR,0.214123793547619,0,-0.00522246992027519,0.0775741758998403,0.0134739287354737,0,0.147649739214391,0.0924192726564244,0.0495556963432345,0.0784063323816094,0,0.293498755720597,0,0.00572763727491007,0,0,0,0,0,0
EOS,0,0,0.0075495165136333,0.00368880253373634,-0.0965705690429562,0.0856939528793356,0.305030732139041,0.280553310059127,0,0.0767824538085607,0,-0.0346499429917898,0.213662903178232,0,0.208996718594364,0,0,0,0,0
BTG,0,0,0.178540364830205,1.1546712351373,0.000000000000000000867361737988404,0,0.517056277181405,0,0.134733218512047,0.17406549687645,-0.563813172603302,0.117829980979718,0,-0.71154641804985,0,0,0,0,0,0
BV010082.INDEX,-0.0234327615380124,0,-0.0171580793685644,-0.0351240356677866,-0.0069167809037869,0.00732637932628585,0.0121672098078817,0.0117384306900957,0.0130793759903116,0,0.0178607374208268,0,0.012719281193413,0.00504079953259563,0,0,0,0,0,0
CVIX.INDEX,-0.00464789135275735,0.0537737587117598,0.0335192926438013,-0.00187943617558534,0,0.029882662956314,-0.0694931896713265,0,0.00670603156288949,-0.0186436334377493,0,-0.0459870507181614,0,-0.00470548938305328,-0.0250190920375405,0,0,0,0,0.0208156171185671
DXY.INDEX,-0.0166718670432366,0,-0.00404935359442104,-0.00295809383725569,-0.000334936321237566,0,0.008692254720044,0,0,0.0112138181185479,-0.00679016501375102,-0.012556791414284,0.0282690744979093,0,-0.00519701563396143,0,0,0,0,0.00169990364640392
SPX.INDEX,0.00289274907918099,0.0139837544645096,0.00191134974049965,0.00221067534628746,0.00413775027111729,0.00156810146375489,0,-0.00745980996953909,0,0.0000000000000000000542101086242752,0,0,0.00109246799445659,0,-0.0013241074532598,0,0,0,0,-0.0291124339385309
VIX.INDEX,0.227419885477823,0,0.0376833671153525,-0.0640266285142126,0.0380389789966481,-0.0364013626664833,0,-0.117626788733449,0.0860828571757278,-0.114760264065178,0,-0.16087630042422,-0.111083940800598,0.217910149858362,-0.0477063130774571,0,0,0,0,0
