,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,XLM,ZEC,DOGE,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.227041559572402,0,-0.0194862832758113,0,0.267825821693624,0.155468023016705,0.208434524078848,0.102810218689278,-0.180228245584675,-0.0448180102278304,-0.281648366267775,0.0732671050727153,0,0,0,0,0
ETH,0.265296575410845,0,0.0415758540682483,-0.0600547617650124,-0.142460033440586,0.369759533133421,-0.133518548397899,0.990674221716061,-0.0423789500709979,-0.187818700903867,0,0,0,0,-0.460055449785345,0,0,-0.152568197190696
XRP,0,-0.122818937374712,0,-0.181457025831968,0.104958476964794,0.493739876328009,-0.315194323915885,0,1.05251774580436,0.108797858081721,-0.506342691639932,0.163242775436868,-1.03943561817748,0.983001515707376,0,0,0,-0.238067517994004
LTC,-0.372454883947772,0,0.0706221061183069,0,0,0.131036891152916,-0.143504544769082,0,-0.0719343906217053,-0.0239665706318129,0.340742077835131,0,0.205986802067563,0,-0.264215723316478,0,0,0
DASH,-0.205341530944883,0,-0.0439266300390753,0.0475506629485236,0,0.0596698397517962,0.168648778535979,-0.229823023292286,0,0.25391411055644,-0.173677709990391,0.113420194617169,0.0568487190486203,0,0,0,0,-0.178198326608036
ETC,0.336599587382528,0.296466685633629,0,0.173612479574008,0,0,0.0994646021872353,0,-0.0595185171000486,0.281061752885287,0.074839706357145,-0.182576705702145,-0.0242317826823573,-0.211004928856174,0.103815048012346,0,0,0.164632696192552
XEM,-0.416522903258283,0,0.0957853458966083,0,0.190554142259117,0,0,0.349979834673305,0,-0.347411473527055,-0.118027656712174,0.482951841523763,0.391687293499545,0,0,0,0,-0.589667346455382
XMR,0.683947423830936,0.372921801921206,0.0227491628064602,-0.0222491402077171,0.0786801934381554,0,0,0,-0.183424245313198,0.359677360121691,0,0,0,-0.354789369745393,-0.000958234648845065,0,0,0
XLM,0.225541804435191,0.1420563442035,0.328742314732361,0.261861965577263,0,0.0166304931285114,-0.294233853356445,0.201149004849195,0,0.18783007776757,0.0944668797739062,0.165134083975165,0.298281098914055,0,0,0,0,-0.274248733395902
ZEC,-0.360825772889923,-0.100099091337131,0,-0.0546757470160333,0.23455407046829,0,-0.125690664615041,0.331036955189015,0.00158948692449007,0,0.223300042629616,0.143591156814166,0.0819948882299977,0,0.244655928291277,0,0,-0.0892419216976068
DOGE,-0.132001096201017,0.097142492552882,-0.1152899566114,0.267796709818458,0.073467145047016,0.0298639543355566,-0.180854295700882,0,0.35558507539743,0.102671073304579,0,0.179002014543465,0,0,0,0,0,0.495422902229199
NEO,-0.184232583254723,0,-0.0120895361719922,0,0,-0.129091445821619,0.107733239097528,0,-0.110810705100458,0.160083981861465,0.343271499919053,0,0.0972733153228553,0,0,0,0,0
DGB,0.210988098198637,-0.00000000000000000173472347597681,-0.126277969483378,-0.373162107071716,-0.103437624046834,0,-0.00808599367382411,0.00635400539283846,0.474371838691763,0.0733143878165876,0,0.103070720926905,0,0,-0.0677037032353198,0,0,-0.0817772844245139
BV010082.INDEX,0.182046057438689,0,-0.00369820644754877,-0.000000000000000000433680868994202,0.045267760275941,-0.117688346146527,0,-0.104549512040285,0.00544016878029496,0,0.0215913250135948,-0.0195310353439959,0.0218436128116927,0,0,0,0,-0.0548926097981065
CVIX.INDEX,0.202006506701773,-0.158377036431773,0.0383998049331766,0.0194739179639522,0.0985744783212203,-0.220118411675845,-0.432657138470224,0.324598596158643,-0.0273648213025991,0.0573745084652904,0,0.138832555950559,0.125956129660407,-0.541323805176857,0,0,0,0
DXY.INDEX,0.0303853220360715,0.0041400559042675,0.00020697515786223,0.0056524983610486,-0.00473653099586456,0,-0.0100903186071761,0,0.00179687889414236,0,0,-0.000857760160041638,-0.00139707083670143,0.0698031450054779,0,0,0,0.0238847759725696
SPX.INDEX,0.0241521530353516,0.0165791662403838,-0.00130484793550997,0.00262838065594175,0,0,-0.00817344239073736,0.00799864638101263,0.00954381309483037,-0.0131090483462484,0,-0.00322181095656844,0,0,-0.0071717265723317,0,0,-0.0530880861006302
VIX.INDEX,0.00129963122206194,-0.0786678002107886,0.00363832477935428,0,0,0,-0.373565334653292,0,0,0,0.0638066830879039,0,0.153363582183615,0,-0.738981654527353,0,0,0
