,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00541258603374976,0,0.168190680458985,0.103474729648724,0,0,0,0.123161661527461,0,0.0871433906284682,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.392606313678877,0.149386181069933,0.0898980972625383,0.0710450337233117,0,0,0,0,0.0448475901734908,0.115334765424889,0,0,0,0,0
XRP,-0.161519123892094,0,0,0,-0.00770101572322833,0,0,0.472862301172303,0.3321950730424,0,0,0.208035202302056,0.00419215209871732,0.0488469008545842,0.129555706641508,0,0,0,0,0.114706219724204
BCH,0,0.174854860829514,-0.0898550388514342,0,0,0.0238667002796817,0.0625467104188673,0.0527840542223096,0.160028123985823,0.0703713273842723,0,0.544973529398224,0.135893343273567,-0.036998554068145,0.000997223819139213,0,0,0,0,-0.0167045454414567
ADA,0,0,0.165276238527474,0,0,0,0.23375553229004,0.263772317401354,0.0478121347790545,0,0.157671223295773,0,0,0.0322746579638005,0,0,0,0,0,0
LTC,0.333285418768139,0,0,-0.026843618806881,0,0,0,0,0.0273281722533394,0.26072838453014,-0.00725113523489232,0,0,0.0459812274747554,0,0,0,0,0,0
NEO,0.109640863480671,0.341745987597035,0.116844778604815,0,0,-0.0914739484634709,0,0.276023197634525,-0.0676714667924486,0.0000000000000000000067762635780344,-0.0630006438003688,0.26833543091555,0.290939520040154,0,0,0,0,0,0,0
XLM,0,0,0.0987681676679089,0,0.420729385814363,0.198504250599554,0.171875043747688,0,-0.073416745435796,0.18152781911906,0.104080595750448,0,0.0801040170905211,-0.165922045409043,0,0,0,0,0,0.0320309824344595
EOS,0,0,0.0254650808659058,0.0639021947318951,0,0.210301953878396,0,0.0892992006953393,0,0.126513591999666,0,0,0,0.206077891325304,0.236880209628336,0,0,0,0,0
MIOTA,0.225917923091687,0,-0.209890281806108,0,0,0,0,0.238698717025914,0.476436053674046,0,0,0.195419268394674,0,-0.136134823409797,0.174338835097758,0,0,0,0,0
XEM,0.351574058584723,0,0.286315812356867,0.16588735100183,0,-0.308200972570027,0.151491691753434,-0.00000000000000000173472347597681,0,0.145433529648223,0,0,0,0.0193596894949737,0,0,0,0,0,0.117739341827054
DASH,0,0,0.0200155019571948,0.0100207408218835,0,0.295471092906707,0,0,0.0989079993759209,0.154282719378116,0,0,0.121890812843494,0.00570499264645055,0.0851560504718823,0,0,0,0,0
XMR,0.0595211072252487,0,0.000000000000000000867361737988404,0.196539942521777,0,0.1042346811218,0.157040396282694,0.0731689848528492,0,0,0,0.127083024816753,0,0.0631249791952986,0.105715894916962,0,0,0,0,0
TRX,1.1894854389124,0.689425200556936,0.0611579781657048,0,0.236474861643778,-1.2059111488916,-0.645806888700816,0.151543235750013,0.162605230499357,0.424898071520799,-0.693962394814824,0.434955951285766,0,0,0.289292708577681,0,0,0,0,0.359886252798683
BTG,0,0.130754723463757,0.0361086153627644,0.261534704057741,0.0543561761855609,0,-0.107785615047375,0.140234297814653,0.166578090028019,0.0790845563146352,-0.123596998820454,0.0528101233053634,0.292343986699777,0.0235679260126797,0,0,0,0,0,0.084057723156886
BV010082.INDEX,0,0,0,0,-0.0278084650693354,0.0167358848655113,0,-0.01649040698636,0,0.0103644543881117,-0.00159429666575904,0,0,0,0.0112789333257173,0,0,0,0,-0.0384109529408838
CVIX.INDEX,-0.0190682334457299,0,0,0,0.0573117143874375,0.0272243471481857,0.00540948606720396,-0.0377982626849059,0,0.0184623772503558,0.0525711357254157,-0.0873627495063216,-0.0364992068674147,-0.00958771182973999,0,0,0,0,0,0.0295606404225552
DXY.INDEX,-0.00587787323386415,0.0270971871385434,0,0,0,-0.00234921455251844,0,-0.00977979794980327,-0.00474758711609278,0,0.00440222434270737,0,0.00492754083766561,0,-0.00998599124185663,-0.0496423528324566,-0.0614343917224165,0,0,-0.0113874229396501
SPX.INDEX,0,0,0.00579461212604137,0.0101997961869291,0.0125030271341916,0.00250381119789255,0.0135026292828999,-0.0162359626750377,0.0184971033946175,-0.00979426972442018,0.0121476526756371,0,0,0,-0.0520349098582391,0,0,0,0,-0.0606850945037452
VIX.INDEX,0,0,0.0673809384673057,0,-0.123351804771541,0,0,0,-0.0957099430982991,0,0.00966430100341836,0,0,-0.0182216011112726,0.258478633326889,-2.52188745769577,0,0,0,0
