,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,XTZ,MIOTA,BSV,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.00476895897551287,0.160513260133803,0.251411857761596,0,0,0,-0.0884202355350047,0,0.342430016934363,0,-0.0686511839409891,0,0.0376848176679401,0,0.101636534582657,0,0,0.0639922767732058
ETH,0.179041814674879,0,0.353419668502341,0.038893313784606,0.061294435832582,0,0.0285696179976399,0,0.0885742579601994,0,0.110370301724323,0.0709291573439712,0.0380748039583124,0,0,0,0,0,0,-0.0312935916824365
XRP,0.310047304109265,0,0,0,0,0.0976396858100437,0,0,0,0.290228428906084,0.095837879742342,0.0375079036117415,0.0669212602974378,0.0492134981364984,0.0246851199029023,0,0,0,0,0.013178740585403
BCH,0.773506173518964,0,-0.145297735788258,0,0.112722264929112,0.327565191772804,0,0,0.314169367161077,0,0,0,0,-0.129813044866913,0,0,-0.0560098879287812,0,0,0
EOS,0.0248590709916797,0.483261813581801,0,0.287514835938189,0,0,0,0.0417912613079147,0,0,0,0,0.092397882389988,0,0.0369689890804789,0,0.151091751601458,0,0,0.0951472187989148
LTC,0,0,0.0196830249305074,0.188888115062483,0.198715336013573,0,0.0565289495706674,0,0.204895911449528,-0.000000000000000000216840434497101,0.0374905959305046,0,0.0577928188642394,0,0.15976810647779,0,0,0,0,0
BNB,-0.424745855298107,0,0,0.0215433124354353,0,0,0,0,0.0933734610201564,0,0.540960481688767,0.0209792067758979,0.0281612735105147,0.0457256400168856,0.30826626715213,0,0,0,0,-0.0298278176768209
XLM,0,0,0.436446607928722,0.0807729428195913,0.157861659672742,0,-0.144444949713801,0,0,0.179867972720612,0,0.083040215230089,0,0.102775443839298,0,0,0.0356642299224202,0,0,-0.0489744031279965
ADA,0,0.0365283515402531,0.429122558520496,0.23651935463248,-0.00000000000000000346944695195361,0.165589794409753,0.0588795078824754,0.0326658566691384,0,0.0980434584766783,0,0,-0.00412031564196197,0.0337562470047299,0,0,0,0,0,-0.00854944643977886
TRX,0,0.0129932795561255,0.0469814112640512,0,0,0,0,0.366272598586534,0.0370047844863371,0,0.229985736748576,0,0.0632854222973848,0.0582722229917919,0.186274027620947,0,0,0,0,0.0956441957719911
XMR,0.324187645171067,0.211571553642591,0,-0.0902771344919562,0,0,0.052046560872057,0,0,0.237178758600177,0,0.306697575955813,0.06583271921933,-0.0000000000000000138777878078145,0.182437557469979,0.0514142260524098,-0.168530503336096,0,0,-0.0112523700983353
DASH,0,0.297261613121436,0.0496553916086965,0.0805503173416472,0,0,0.0758142181372475,0,0,0.115073190483435,0,0,0,0.170557477796735,0,0,0.0775504437105935,0,0,0
XTZ,0,0,0.284749692927219,-0.164531920565998,0.697064837240749,-0.0297526868248798,0,0.751579031174849,-0.106904538295802,-0.0211013693779187,-0.402288596884303,0,0,0,0,0,-0.184170569083524,0,0,0
MIOTA,0,-0.0908409426274585,0,0.000000000000000000867361737988404,0,0,0.206364586022488,0,0.0744953236141721,-0.00000000000000000346944695195361,0.459952713177777,0,0.00463145935203557,0,0.11215952866312,0,0,0,0,-0.149234709889267
BSV,0.283588388220886,-0.0584326335419999,0,-0.747065705884048,0,1.38151873725308,0,0,0,0,-0.373159146996477,0.622956351724488,-0.0629570949255708,0.00251171793603203,0,0,-0.142209814107996,0,0,-0.0934969973354787
BV010082.INDEX,0,0,0.0659152412341122,0.124709467102952,0,0,0.115620829009071,0,-0.1697132165536,0,0.0022847058792135,0,-0.00929414320387676,0,0.00102830072104641,0,-0.0733939790674493,0,0,-0.0362857100688534
CVIX.INDEX,0,0,-0.241597904531666,-0.397491071982475,0,0.298712291360688,-0.344250520927925,0.772048968715115,-0.0103547726200407,-0.363894968164547,-0.307555733101203,0.837740713842619,-0.37085395873112,-0.0804067464769675,-0.0359678045472706,0,0,0,0,0.225170601614599
DXY.INDEX,0,0.0405325972700086,0,0,-0.0187381489204678,-0.0112024826125945,0,0,0.030966915705621,0,-0.00387203391352306,-0.0161026253147452,-0.0103346311254317,-0.0119151053505827,0.00174080097550991,0.00503838465748681,0,0,0,-0.00107410627827189
SPX.INDEX,-0.0132374092452339,0.0102982700414877,0,0,0,-0.0437820298850359,-0.00643430540714367,-0.0279527867120609,-0.00373920019871785,0.0240415694504372,0,0.000000000000000000216840434497101,0.00768255909413513,0.00943970628573002,0.0197034189955485,0.0873747633706418,0.0126937991247711,0,0,-0.0756114428326288
VIX.INDEX,0,0,0.241818963247112,0,-0.0735568075627973,-0.0967819182085785,-0.0319016875431256,-0.365337489202396,-0.137086403181084,0.751301520188645,-0.8205397855175,0,0.021173157148175,0,0.189169044476869,-0.0535731978486597,0.0414237861072172,0,-7.42875086339182,0
