,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.136497540890073,0,-0.092833347012685,0,0.0118512399393932,-0.00787226727049085,0,0.116243214393093,0,0.122081610334181,0,0.269880252845747,-0.0249634327720634,0,0,0,0,0,-0.0323228028312853
ETH,-0.149688303400712,0,0,0.0395230013722593,0.0203492819222319,0.267982370630164,-0.0167455493841829,0.149111593535297,0,0.0621774820799516,0.0127114821529735,0,0,0.0497215084659968,0.149706175407867,0,0,0,0,-0.0426585593257938
XRP,0,0,0,0,0,0,0.119854809360087,0,0.318055935234977,0,0.360806506595925,0.213959393890754,0,0.0161182489549272,0.0910613715672756,0,0,0,0,0
BCH,0,0.195999382742346,-0.0932991707048894,0,-0.0152888203646303,0,0.148132939194937,0.115583113403025,0,-0.0430093687427992,0,0.237400171855784,0.218298150080831,0.0568479721706741,0.0936872016611595,0,0,0,0,0.352824322441366
ADA,0,0,0.217240373777582,0.00594614963652722,0,0.0572114788575666,0.0840967310585416,0.322769491650215,0.284390682875464,0,0,0,0,0.0437430798553977,0.0349867510473275,0,0,0,0,0
LTC,0.0929096292265665,0.130987524653045,0,0,0.0186617883085995,0,0,0,0,0.19927603755209,0,0,0,0.077534818983311,0,0,0,0,0,0
XEM,0,0,0.170975189959501,0.0293352407178404,0.0374083471253391,0,0,0.229944357112407,0,0.189110583546103,0.0505360412045835,0,0,0,0.204015013055921,0,0,0,0,0
NEO,0,0.724485811112222,0,0,0.0101700637303726,0.0494648672119083,0,0,0.138921096334617,-0.032566977684173,0.00529824249437429,0,0,0.0643477081659159,-0.0802579868029317,0,0,0,0,0
XLM,0.130363250822484,0.148000015724373,0.22825140160481,0,0.266850820654665,0.0459906128018131,0.0320474286411766,0,0,0.0550133898050235,0,0,0.324157284565941,-0.204253269462928,0,0,0,0,0,0
MIOTA,0.043984191945552,0,-0.22276536915439,0,0,0,0,0.0658265060284892,0.368133712330177,0,0.403993326664479,0.1730777891409,0.130491290447191,-0.103966951019327,0.0716114560096732,0,0,0,0,0
EOS,0,0.0383765205627496,0,0.0311973952353802,-0.046230981847032,0.206423955456669,0.097679732560352,0,0.286520312118235,0,0,0.0175557484158375,0,0.130959734806004,0.228318402036785,0,0,0,0,0
DASH,-0.0155796729107277,0,0.0460701935020482,0.0514149624917026,0.00679197569906588,0.195466048496213,0.01720767646696,0,0,0.0507823230252179,0.119927310214318,0,0.0609060558807254,-0.0305767215939629,0.129141888728153,0,0,0,0,0
XMR,0.0523773032028922,0,0,0.0929286248851944,0,0.113737745294838,0,0,0.195772909897898,0.0627827378701651,0,0,0,0.124293663038889,0.164519983143123,0,0,0,0,0
TRX,1.55543364211567,0,0.0834825515172987,0,0.291772255585518,-0.601879688229165,-0.737811245948914,-0.0347868714565034,0,0.123709718031444,0,0,0,0,0.347806559863251,0,0,0,0,0
BTG,0,0,0.0575845672450428,0.398348834435475,0.0335688557730608,0,0.0968086988170144,0.0269168021412941,0,0,0.215393998488689,0,0,0,0,0,0,0,0,0.197352483866589
BV010082.INDEX,-0.0260615531621475,0,-0.0175620876788001,-0.042518554146651,-0.00719131172769357,0.00805995255470596,0.00828576270949869,0,0.0077679013037008,0.0120630260681637,0,0.0309572437378663,0.0242857500826097,-0.00397924639481708,0.00646500381224729,0,0,0,0,0
CVIX.INDEX,0,0,0.0210077078613139,0,0.00558393347777041,-0.0778128223303,0.00693837421258047,-0.055738151509127,0.0178004544370555,0,0,0,-0.00608969948471227,-0.0247675850596151,0,0,0,0,0,-0.0570288921322234
DXY.INDEX,0,0.00264803138185823,0,0.00035022994727428,0,0,-0.00266055635922668,-0.00605969201690411,-0.00862172412938283,0.0148951798740161,-0.00530950205859972,-0.0114331280308875,0.00694945916175766,0.00489305411086588,-0.0104625973005377,0,0,0,0,-0.0292706191407314
SPX.INDEX,0,0.0098408476908993,0.0034356612727784,0,0,0,0.00382400417428798,0,-0.000206780463246466,0,0,0,0.0021287373756689,0,0,0,0,0,0,-0.0129011511182463
VIX.INDEX,0.241447251823476,0,0,0,0.0247156185227577,-0.0393572403679804,-0.0430112059333337,0,-0.127923663870484,0.110646236270291,0.148672726597121,0,-0.20457438934517,-0.104728132415209,0,0,0,0,0,0
