,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.102351173154726,-0.0721013708581596,0.0260206559854632,0.14785616874278,0.0469528001083255,0.0761600317870641,-0.0236243836710336,0.124263154245244,0,0.192488001584507,0.00000000000000000173472347597681,-0.000000000000000000867361737988404,0,0,0,0,0
ETH,0,0,0.0036018023835474,0,0,0.347714396866636,0.21558438122627,0,0.105160116818723,-0.0398221656417354,-0.0363495102541244,0,-0.0556482062656202,0.0353065502201024,0.301036015499643,0,0,0,0,-0.0230191807298543
XRP,0,0,0,0,-0.0623965237311377,0,0,-0.0000000000000000138777878078145,0.29422471774492,0.231911833430119,0,0.150325993176647,0.251970127964423,0.158964238158625,0,0,0,0,0,0.136857971686704
BCH,0,0,-0.076298563626888,0,0,0.133811333525192,0.188476602509371,0.0529051299586202,0.199077163478527,0,-0.00000000000000000693889390390723,0.325907218778434,0.103788621417748,0,0.0607372635883026,0,0,0,0,0.0590975037709806
ADA,0,0,0.170468825314282,0,0,0,0.169447274733701,0.0910323237666624,0,0.146485480439201,0.0133710086457843,0,0,0.0585927210053734,0,0,0,0,0,0
LTC,0.120860506144037,0.142860878736423,0,-0.0169309988674788,0,0,0,-0.00000000000000000173472347597681,0.0220985401447118,0,0.181892581759368,0,-0.0256194761480137,0.0582060860503367,0.0640458121268148,0,0,0,0,0
NEO,0.0786090799863431,0.431667699052784,0,-0.0183366927764756,0.0701913036312968,0.0678029302984858,0,0.0318375712024078,-0.0936234258222148,0,-0.092745756331755,0.157143860685153,0,-0.0534671874244523,0.415008731174481,0,0,0,0,0
XLM,0.129068466283301,0,0.255783019327607,0.0320312689874274,0.238361021484519,0.0788036309364985,0.160592633999107,0,0,0,0.150127812592616,0,0.116567871919619,-0.191322198406202,0,0,0,0,0,0
EOS,-0.139564668305126,0,0.0431263049662244,0.251954842949575,0,0.220958217344873,-0.0358188173911656,0.197177065026028,0,0.0338170140252253,0.126455798582727,0,0,0.181947356585382,0.0787884107017566,0,0,0,0,0
XEM,0,0,0.331101116229644,0.149338575534977,0,-0.143101646111463,0.165902471195042,0,0.0287720548911253,0,0.210341511846443,0,0,0,0,0,0,0,0,0
MIOTA,0.343471701533166,-0.278401546467317,-0.16081228233863,0,-0.0930722936206807,0,-0.0300852768480889,0.154449111169949,0.383410162425465,0.27237032975555,0,0,0.0611750445268154,-0.0947042664504836,0.432555680379596,0,0,0,0,0
DASH,0,0,0,0,0.0449680783399278,0.214519638486966,0.0268372584249938,-0.0162474500391435,0.0754479871708145,-0.00462981889901399,0.0477843603394777,0,0.102493957756066,0.00000000000000000346944695195361,0.273222076067201,0,0,0,0,0
XMR,0.134393041728428,0,0,0.183790224211377,0,0.074690466757449,0.0228639648808348,0.127242114090795,0.0587256489673415,0,0,0.0559115793541812,0,0.0529998954833586,0.0593084697142672,0,0,0,0,0
TRX,1.13017740036843,0,0.239234903762031,0.420330705768196,0,-0.899292265263348,-0.4038410720002,-0.0641344378182593,0.148967636340902,-0.68423163167323,0.303636802046759,0,0,0,0.487202393734756,0,0,0,0,0
ETC,0,0.243527675360808,0.0404846974473606,0.196131495559808,0.000932231681635463,0,0.132204875729621,0,0.09061443056239,0,0.0700343209292331,0,0.299037832461489,-0.000530944988957754,0,0,0,0,0,0
BV010082.INDEX,-0.0426850060343181,0,0,0,-0.030324699164681,0.0210675306691903,-0.0116382417596884,0,0.00994993611096293,-0.00134204132986091,0.0114193884187156,0,0.0191397086836358,0,0,0,0,0,0,-0.00786958757112045
CVIX.INDEX,0.0455796010094354,0.0470555000330196,0.00867588675488486,-0.0169394307812814,0.054751652405715,0,0.0277768258128248,-0.0294657088323061,0.00512580211530434,0.0271923225182941,0.0355370454358227,-0.00400169374467547,-0.0561193830868366,-0.0157307273061761,-0.101445611218655,0,0,0,0,0.03448055584608
DXY.INDEX,0,0.00116737328863475,0,0,0,0,0,-0.00436808466855862,-0.0187893348166433,0,0,0,0,0.00904440262586281,0,0,0,0,0,-0.0274102558245298
SPX.INDEX,-0.00158709781573859,0,0.00505552591893528,0,0.00654038323464971,0.00246977671517456,0.0163262263356233,-0.0176244995282744,0.00803499280938775,0.00000000000000000010842021724855,0,-0.00901277280967435,0.0104193085568013,0.00348468572344861,-0.0130457786907326,0,0,0,0,-0.0724425928877696
VIX.INDEX,0,-0.211517835482811,0.151935914035353,0.106986961899284,0,0.00596739768775366,0.17866756659246,-0.189074301454537,-0.142210436485065,-0.0638982517709708,0.129696724257799,0,0.225463386517858,-0.0218055174055055,0,0,0.172108981759493,0,0,0
