,BTC,ETH,XRP,BCH,ADA,XLM,LTC,EOS,NEO,XEM,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.103480134012907,0,0.0976321463721458,0.0258631269698565,0.155255742546049,0.113502306448459,-0.0196007696268422,0.0339902368203948,0,0.261627020169094,-0.035062200468637,0,0,0,0,0,-0.0552582380093951
ETH,-0.0700026882293526,0,0.0218375052441784,0,0.00887541958098429,0,0.296236207612584,0,0.0758900224542338,-0.0161216315943015,0.0713688135006322,0.0121789111003226,0,0,0.223660300755929,0,0,0,0,0
XRP,-0.178280847736094,-0.0214591399084915,0,0,0,0.319248030136428,0,0.323876354239087,0,0.168034704507728,0,0.246264290839871,0,0.0605760619481575,0.103261707440183,0,0,0,0,0.190473923758251
BCH,0.0706499053937987,0.100377551708025,-0.0907042607971089,0,-0.0424726049420753,0,0,0,0.217921443013577,0.134731072229046,0.000000000000000000867361737988404,0.148329584621055,0.17931107342356,0.0697535480263954,0.0948170444445971,0,0,0,0,0.337026631879686
ADA,0,0,0.212154536244101,0.0084680503854158,0,0.276216383920769,0.0565586294339953,0,0.323926979379541,0.109231603246789,0,0,0,0.0447206003418891,0.0301400205508334,0,0,0,0,0
XLM,0,0,0.279895499311233,0,0.207734360328927,0,0.0679665414345335,0,0.154837157465327,0.0198679973095009,0.0759379691879868,0,0.261335984696823,-0.174844867773785,0,0,0,0,0,0
LTC,0.193611939318677,0.186216401944988,0,-0.0128848164969675,0,-0.000000000000000000867361737988404,0,0.0706605723392068,0,0,0.167389952040485,0,-0.0148591947541276,0.0191003093897428,0,0,0,0,0,0
EOS,0,0.164209066797039,-0.0211117498166652,0,-0.00317715583756416,0.256323411601669,0.24112937391323,0,-0.0627516342666469,0.082460065239366,-0.0713383035137746,0,0,0.107333994031359,0.370480509577282,0,0,0,0,0
NEO,0.222655974943403,0.92930534109357,0.0106752015645593,-0.0264068677028419,0.0268720008640313,0.107915246230487,-0.120803634288474,-0.0667766756916572,0,0,-0.0791097346319965,0.0728173361811884,0,0,0.038795721221156,0,0,0,0,0
XEM,0,0,0.265551873372115,0.133772293362453,0.0341343769897518,0,-0.0800399816816857,0.0346090700829865,0.238015014628975,0,0.216591334285427,0,0,0,0.0562571379626597,0,0,0,0,0
MIOTA,0.268472559076492,0,-0.232089978277721,-0.00000000000000000693889390390723,0,0.224414615840937,-0.0681056337771239,0.389819708725739,0.0285330275718897,0.11072830130556,0,-0.0135172417948721,0.217249348574532,-0.106052093702915,0.177764360474227,0,0,0,0,0
DASH,-0.0373567046110356,0,0.0524224390995212,0.083173910851987,0.0147655470528197,0,0.218584421572299,0.102519269550726,0,0.00511738299381463,0.0563728239185281,0,0.0905948947570364,-0.0271988769803043,0.104133197525878,0,0,0,0,0
XMR,0.137226760177047,0,0,0.032193329581232,0,0.0925825588395779,0.141027010959407,0,0.305879343189617,-0.0184243601054878,0.0700845721661561,0.0339352251806047,0,0.0699991989362414,0.167818448140176,0,0,0,0,0
TRX,1.50828822786187,0,0.10335109231797,0,0.260989024798408,0,-0.623765884637082,0,-0.0365033956752802,-0.754482811968727,0.184818609282144,0,0,0,0.355030999736248,0,0,0,0,0
BTG,0,0.232384475327301,0.062683139901193,0.439749418342284,0,0.0421754163206872,0,0.166465701862973,-0.0662766514977718,0.0554794330741666,0.0162930962711224,0,0,0.00950565933241695,0,0,0,0,0,0
BV010082.INDEX,-0.0483695094203856,-0.000978997702098659,-0.00023240377226969,0,-0.019256937627607,0,0.0240315440869573,-0.00863045385089393,-0.0361117065040784,-0.00241568745285549,0.0268454004758347,0,0.0390425964681879,0.0043077086972825,0,0,0,0,0,0
CVIX.INDEX,0,0,0.0249104010623902,0,0.0187279938734923,0,-0.0199362907153536,0.0278843848597819,-0.01272177764439,0.0201219679947837,0,0,-0.0579401370434664,-0.0209990890604052,-0.0429380936957321,0,0,0,0,-0.0250855091718684
DXY.INDEX,-0.01093738049012,0,0.00533528210492838,-0.000636099102645303,0.000415403123660857,-0.0199054101780339,0,-0.00387108640748175,0.0000000000000000000542101086242752,0,0.00815316882036699,-0.014488907225633,0.0343080910616393,0.00089611966340132,-0.0120645784714801,0,-0.0522907330211532,0,0,-0.029932417245261
SPX.INDEX,0,0.00827027365459676,0.0000341417364090773,0,0.0049343145758525,-0.00441291726243552,0.00128567106936804,0.00188356309666458,0.0014474235144285,0,-0.00074451177642519,0.00364502910003564,0,-0.00279451148500043,0,0,0,0,0,-0.0415524712724762
VIX.INDEX,0,-0.381569907207952,0.0694015070097917,-0.0364759962661525,-0.0171146557092179,-0.0900570213834502,-0.0226434498233752,-0.0572985085315293,-0.0196149361055111,-0.0441867865833513,0.0914173825908995,0.0287665354919522,0.249256421101252,-0.0558127149355854,0.11597629174641,-0.671091989080657,0.171634909643951,0,0,0
