,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,DASH,XEM,XMR,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.284401269459283,0,0,0.0569573253226875,0.00344052045245086,0,0,0,0.0528546898029887,0.145529840269629,0,0,0,0,0,0
ETH,0,0,0,0,0.34167255412115,0,0.0452463917455334,0.143235623337567,0,0,0,0.107137483655007,0,0.218662849213999,0.0174605294243128,0,0,0,0,0
XRP,-0.226658504230645,-0.306694638248444,0,0,0,0,0.25530342039146,0,0.335411846451101,0,0.0313108687079644,0.238512414300797,0.306197658620193,0.183979494971941,0.0318832944502715,0,0,0,0,0.0589356581952287
BCH,0,0,-0.0818807816472557,0,0.14391571860903,0.0191289063354821,0.013287967863658,0.204144012029237,0.154554369780835,0,0.201672324602641,0,0.176443102821847,0.117002073343442,0,0,0,0,0,0
LTC,0.303989042014561,0,0,-0.0827103837575305,0,-0.0148646433616594,0,0,0.0638006404050324,0.234289557782861,0,0,0,0.124763572734588,0,0,0,0,0,0
ADA,0,0,0.123833191261087,0,0,0,0,0.137589784312638,0,0,0,0.320320747658576,0,0,0.0146862074526024,0,0,0,0,0
XLM,0,0,0.162936905805889,0.127118750474046,0.290565721355203,0.309821301018819,0,0.123521425318859,-0.0619929965538164,0.0322320193030405,0,0.0907360527434332,0.0902732614234131,0,-0.165416761356408,0,0,0,0,0
NEO,0.171545787872664,0.59665088193823,0.0368399635582905,0,0.0535576245203855,0,0.211414136300229,0,-0.0542780950935746,-0.0948540208725379,0.0798524937316304,0,0.172229886438817,0.0548006205946111,0,0,0,0,0,0
EOS,0,0,0.0536574654228307,0.254209378126893,0.166502713572786,0.0135362411149293,0.176933504490378,-0.0655749109502581,0,0.153589719309773,0,0,0,0.0856574454035096,0.17574718887171,0,0,0,0,0
MIOTA,0,0,-0.0194541326049894,0,0.361457249988532,-0.10685094861157,0.0341116732025987,0,0.359503044087227,0,0,0.187047596903436,0,0.290361411531833,0.0199482742134596,0,0,0,0,0
DASH,0,0.0212303129683082,0.0335774454034472,0.0740950757204851,0.0755255063073403,0,0,0,0.083812977128174,0.091306742398303,0,0,0.190388143134524,0.198250989249104,0,0,0,0,0,0.12719535311966
XEM,0,0,0.331308010551961,0.122072746245383,0,0,0.121626273092702,0,0,0.18112595539146,0,0,0,0,0.0384404407108238,0,0,0,0,0
XMR,0,0,0,0.220000786018313,0.166059228355639,0,0.061955093804703,0.162735465142398,0,0,0.0688349025330529,0,0,0.141679553476171,0.0732475675387592,0,0,0,0,0
ETC,0.128213335596636,0.18729882381819,0.180073073912165,0.0501490273502686,-0.088021547851045,0,0,0.129135337850321,0.0149463459812061,0.35470456949879,0,-0.0841655609376233,0.117284839303022,0,0.0646908520450146,0,0,0,0,0.114819909848552
TRX,1.03843368161977,0,0.0798548746874717,0.341675998824705,-0.896039728782095,0.2605393887691,0,-0.472552950873866,0,0.435274668525018,0.117088597628319,-0.721635939484191,0,0.549560936837532,0,0,0,0,0,0.202982587026989
BV010082.INDEX,0,0,-0.00888795438512011,0.00159131864339726,0.0209772253863963,-0.00482523803666782,-0.0489638976604085,0,0,0.0239000249072608,0,0,0,0.0171602948592724,-0.00568426112957168,0,0,0,0,-0.0390167540079554
CVIX.INDEX,0,0,-0.0096157384753986,0,0.00775689784816446,0.0619584032590926,-0.0360526150971274,0,0,0.0181447789505011,-0.0614346768831311,0.0538759125179145,-0.031975538926023,-0.0107202021569806,-0.0115323811871321,0,0,0,0,0.0322123700829828
DXY.INDEX,0,0.00494799583924238,0.0000683460746363458,0.00457209680916009,-0.000949139148853357,0,0,0,-0.0228226891358767,0,0,0,0,0,0.00284598801396095,0,-0.014818792584178,0,0,-0.0190252356680719
SPX.INDEX,0,0,0.0119222069626477,0.0325590294047572,0.0142040090998076,-0.0202586383306321,-0.0102648309990485,0.0326949236944944,0.00594048873564902,0,0,0.0223270867179842,0,-0.0849650532949578,-0.00665681314366181,-0.15576372288989,0,0,0,-0.113898201458037
VIX.INDEX,-0.0954759138593293,0,0,0,0.366328505343361,0.0566590751024307,0,0.177796714803786,0,0,-0.486205667022624,-0.135033771482607,0.0498382053122133,0.14329325650673,0.047097653777838,-1.97794292367443,-0.231204846143046,0,-4.7086231233753,0
