,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XMR,XLM,EOS,NEO,BTG,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.0333115068817536,0,-0.0573466710314137,0,-0.0100583991315422,0,0.0257151111634218,0.151337601755312,0.0439195021552866,0.0288811301781655,0,0.0992300236259676,0,0,0,0,0
XRP,-0.0638775180018034,0,0.500933738268196,0.119554309830057,0.101489443264375,0,-0.111135874379129,0.0191501416023429,-0.249205168592471,0.361153004683778,-0.0794096048537798,0.17762715646838,0.00212517575040045,-0.0191352154045048,0,0,0.0972687230006757,0,0,0
ETH,0.0227738366886152,0,0,-0.0214809157054537,-0.0386200698848174,0.0584258440503005,0.0287724426824983,0.0718178593304973,0,0,0,0.0544604762952739,0.201155483364924,0.0177790361912858,0.15427401181117,0,-0.282769266155274,0,0,0.290473454974802
BCH,0,0,0,0,-0.137127350487066,-0.373276872022107,0.0185089608842029,0.148072952337249,0.296113245826398,0,0,0.313537446700532,0.466635408171302,0.271152045694166,0.121970050535867,0,0,0,0,-0.788115438849477
ADA,0,0.124673899346408,0.200725608813414,-0.26164068167789,0,0,0,0.140516335765503,0.264311580077137,-0.147940681125379,0.490583001337875,-0.0878848614943409,0.336866125245147,0.251006564668973,0.0381390352161095,0,0,0,0,0
LTC,0.209535949296865,-0.0520353969219044,0.430709862184278,-0.101494041163049,-0.00819204761231659,0,0.106540088464685,0.166393568864424,0,-0.0774225008826024,0,0.0019968499839662,0,0,0.198842016747177,0,0,0,0,0
MIOTA,0.402809455254108,0,0,-0.00672267129427809,-0.165329531764561,0.0238519463567023,0,0,0,0.191076236061175,0.302533758491485,0.0368017699755085,0,0,0.4656731830543,0,0,0,0,0
XEM,0,0.188684928711444,0,0,0.115474286886112,-0.407474830090689,0.198840057594951,0,0.134450337110725,0,0,0.103359051125363,0.174174184388909,0,0.0738310182906133,0,0,0,0,0
DASH,-0.0681484048461705,0,0.0620382621667637,0.110335260552943,0.00347527274763721,0.219378455526804,0.0707625937596181,0,0,0.10412003282226,0,0,0.114144885573874,0.028827844822312,0,0,0,0,0,0
XMR,0.0940135672118415,0.0145195762625891,0,0,0.103414807758112,0.0708185399107091,0.194312928974368,-0.041585594970217,0.300013139692463,0,0.0454744890963954,0.0401913612122441,0.180712147774575,0,0.10955385854173,0,0,0,0,0
XLM,-0.00742422213130586,0.16877919480697,0,0,0.281393433087951,0,0.113615082479028,0.0237799468198158,0,0.214563913095923,0,0,0.135801853660331,-0.0357783831180163,0.158542698085235,0,0,0,0,0
EOS,0.260884987058971,-0.0653494402569781,0,-0.0231491380985708,0,0.434145985613149,0,0.0829920230993186,0,-0.239759034586303,0.322536513612733,0,-0.000000000000000000433680868994202,0.231224166907868,0,0,0,0,0,0
NEO,0,0,0.616913149147953,0,0.0647388527072917,-0.0000000000000000138777878078145,-0.255801607078596,0,0.0532824505787132,0.360150173590374,0.00000000000000000346944695195361,0.157236591094449,0,-0.0910417522107194,0.0895426742747238,0,0,0,0,0
BTG,0,0.13908809195433,0,1.01021436801212,0.0435818069138486,0.631822247089061,0,0,-0.424706114107438,0,0,-0.665350755090483,0.215491534610773,0,0.187160775175167,0,0,0,0,0
ETC,0,0.0360355258343132,0.31603709545993,0.211469314807546,0.0966611773937029,0,0.0947815750270193,0,-0.228143233185854,0.306253594365499,0,0.0222974316507678,0.0688500099716245,0.137589272943834,0,0,0,0,0,0
BV010082.INDEX,-0.0324922577548867,0,-0.0322406526457919,-0.042167502420161,-0.0352350282186481,0.0178438783646972,0.00879716432782654,-0.00377409956345575,0.0391995446399313,0,0.0294974971149932,0.00952709111355699,0,0.00632829737716636,0.0370714898628505,0,0,0,0,-0.0555664778302467
CVIX.INDEX,-0.0387066220783521,0.0286773492023501,0.0232495223816667,-0.0359408997066392,-0.0312669995944579,-0.0500914578156658,0.0594899420397569,0.0215974548954428,0.0507661227716273,0,0,-0.0109935178839812,0,-0.0136655972123279,0.0469225177283044,0,0,0,0,0.0369395078963172
DXY.INDEX,-0.0157073859898749,-0.0027674107769875,0,-0.0127909860067354,0,0,0.00110640036098043,0.00320203475020161,0,0.0104361907995957,0,0.00704130712225557,0,-0.00768386454974094,0.00661206682147941,0,-0.123262882144753,0,0,-0.00219643427156985
SPX.INDEX,-0.00523837270646754,0.000652451699974088,0.00134186971878547,0,0.00449943514779688,0,0,0.00166705175480053,0,0,-0.00589549138034351,0.00228208569246621,0,0,0,0,0,0,0,-0.0275584853323122
VIX.INDEX,-0.0395996292537905,0,0,-0.270375215255551,-0.168413932013522,-0.02543925865372,0.112669070271935,-0.0559677740781387,0.26154240921132,-0.388542246855637,0.281602782506117,0.123355259814623,0.0879369680432574,0.110833839843376,0.20444591586671,0,0,0,0,0
