,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,XMR,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.264779400122431,0.0965379131505001,0.101213698811312,0.169384340510424,-0.00411586367673475,0,0,0,0,-0.029581121159252,0.0326122501750522,0,0,0,0,0,0
ETH,0.266445536995682,0,0,0.0479345600312932,0.198008669875608,0.0610947771120671,0.192596364398878,0.117102494991722,0,0,0,0,0,-0.0102690254294613,0.166085198427776,0,0,0,0,-0.0182032370032186
XRP,0,-0.625356260784912,0,0,-3.46944695195361e-18,-0.0440894735422086,0.260798105367779,0.0649260578445335,0.0346571136008372,0.0577059806321842,0,0.603628630429567,0.176645952528102,0.0958495360641112,0.336050815359863,0,0,0,0,0
BCH,0.217190396435371,0,0.0312796600020942,0,0.190224456416064,0.163935070562671,0,0,0,0.080164946973165,0,0.340526879625927,1.73472347597681e-18,-0.0380297114178681,0.100342289629002,0,0,0,0,-0.0272413602906268
LTC,0.0312775158602614,0,0,0.192140039766085,0,0,0,-0.00654191766269039,0.0739284889551041,0,0.09120189811842,0.123026392833931,0,0.0231326606343227,0.116665543995119,0,0,0,0,0
NEO,0,0.210865653530502,0,0.197316428037722,0,0,0.00969623291219068,0.0775131482170779,0,0,0,0,0.058656357466889,0,0.312062038176206,0,0,0,0,0
ADA,0,0,0.0751936267134598,0,0.0562753613715853,0.0586581806597349,0,0.0656908843450508,1.35525271560688e-20,0,0.384599028389176,0.0811264956113585,0.154339093675025,0,1.38777878078145e-17,0,-0.16356477386643,0,0,0
XLM,0,0.145049456193337,0.102788942369081,0.201729952104241,0,0.0552968359373624,0.295631076386648,0,-0.0689554522799977,0,0.413249679873729,0,0.0209770858089388,-0.178197742464538,0,0,0,0,0,0
EOS,0.113343550029481,0,0,0.13407737221542,0,-0.35144143069997,0,0,0,0.208934747818765,-0.0851406804297209,0.268660372643103,0.156653406529869,0.0995936467569257,0.359826378566535,0,0,0,0,-0.04542989360001
XMR,0,0,0,-1.0842021724855e-19,0.213377487638434,0.20359012887567,0.11848983850508,0.0409303915947872,0,0,0.0995083536120345,0.0767994152088899,0,0.0459323569103956,0.0689995026298201,0,0,0,0,0.0466459700419876
MIOTA,-0.19965568079189,0,0.162230491515251,0.330936530026972,0.150174887185786,0,0.196838157622278,-0.029332522173782,0,0.207956732878073,0,0.0178790807591715,0.0151999459930573,-0.0259658967070642,0.00675606371090829,0,0,0,0,0
DASH,0,0.112409033782333,0.0665421099459633,0.00476436919072947,0,0,0,-0.0278206393965641,0.152107213930997,0.26956517872599,0.1443873774952,0,-0.125029681144376,0.0842150973785298,0.071847435503358,0,0,0,0,0.0445632177928929
XEM,0.230760520880729,-0.204630267914038,0,0,0.245497526642265,0.1731860253288,0.189212822112835,0.255975938620174,0,0,0,0,0,0.0568739729073577,0,0,0,0,0,0.0829337674615019
TRX,1.44218725827231,0,0.292692042945875,0,-0.77125107333589,-0.431663823291568,0.129144298448603,0,0,-0.351710912364649,0,0,0.372411026927046,0,0.404146614226042,0,0,0,0,0.210951269186778
ETC,0,0.425350273466691,0.276314781553177,0.00804330177581067,-0.179604875585756,0.00603622480221309,-0.188746007007253,0,0.0666000821473653,-0.0859628634966342,0.490408780791744,0.256510605070406,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.0806000883754713,-0.0104596441803902,0.0954772513678686,-0.0119377826529304,0,-0.0450019861876279,0,0.00183997466360989,0,0,0,0.104497421353992,-0.0254638161962696,0.0213102523683397,0,0.117028552696047,0,0,-0.0613093201253471
CVIX.Index,0,0,0,0,0,-0.020911862785411,0.196964840270977,-0.0429044553555187,0,-0.0567655152570604,-0.0836913256499422,0,0,-0.0288970124300478,0,0,0,0,0,0.0729132252039424
DXY.Curncy,-0.00845841481074839,0.0183829733997299,0.0211939374472287,0,0,-0.00186721833894242,0,-0.0110667068854695,-0.0199392797561895,0,0,-0.0201560948677549,0.0073324428860131,-0.00772971305226505,0,-0.029224160756448,-0.0538650224260055,0,0,0
SPX.Index,0,-0.0193646455446728,0,0,0,0,0,0,0,0.0259749853313251,0,0,0.0163136709106291,-0.0482433356262964,0,0,0,0,0,-0.0696683269824245
VIX.Index,-0.6409634714712,0,-0.176509304094908,0.391746206940295,0,0.174509648826621,0,0.0950008926280187,0.196092736351549,0,-0.610639741673519,0,0,0.116931997564446,0.237536851862723,-2.34480116186507,0.259719144347564,0,-2.87484254525882,0
