,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.192557409537773,0,0.00102098976094668,0,0,0.168330498879938,0.076889309105727,0.0129174612333477,0.0223824582424349,0.109556407065371,0.0735024657080052,0,0,0,0,0,0
ETH,0,0,0.17301383410093,0.288043878100398,0.129595804176434,-0.0905058899500399,0.189859647623631,0,-0.188574246589875,-0.0655911354496238,0.095464939605817,0.133099858417849,0.176558084971139,-0.00431013731595516,0,0,0,0,0,0
XRP,0,0.270123203532778,0,0,0,0.174384919622187,0,0,0,0.205096368703975,0.188270552072108,0.0187501222111974,0,-0.0582192394541534,-0.0241353260495016,0,0,0,0,-0.0619152817859756
BCH,0,0.481964990253445,0,0,0.19626507166754,0,0,0.236034942611708,0,-0.00000000000000000693889390390723,0,0.0162787806206784,0,0.107637640007985,0.0504496937653657,0,0,0,0,0
LTC,0,0.272700625498621,0,0.31476478363945,0,0,0,0,0.129671933447632,0,0,0,0.0868934893648369,0,0.120943387863789,0,0,0,0,0.029403631308707
EOS,0.326140866832279,0,0.087276929957721,0,0.162014776040076,0,-0.196978819210107,-0.228029090710437,-0.0822519628810269,0.329343165506209,0.0221820267278421,0.0238378107393606,0.269272035869258,0,0.130177904714851,0,0,0,0,-0.125279441478471
ADA,0,0.525705007063737,0,-0.232181969611918,0,0.150960429782966,0,0,0.289139397602043,0.111532922732137,0.200835731551617,0.123729155790959,0,-0.0481269776784035,-0.00321255774542291,0,0,0,0,-0.0191222549820981
XLM,0,0,0,0.199593420339595,0,0,0,0,0.157898687520749,0.167197203200788,0.201493305072629,0,0.214201983909391,0.0207774769619182,0,0,0,0,0,-0.040382689723652
MIOTA,0,0,0.180421487039508,0,0.127833832750748,0.056375542425407,0,0.0452853345522135,0,0.303449832404628,0.120209960832937,0.0829048293258092,0.170339192449259,0.0371105540724303,0,0,0,0,0,0
NEO,0,0,-0.0119989431596153,0,0.0275857800484349,-0.0231193572799478,0.345639946085298,0,0.22207568723999,0,0,0.0335924291660648,0,0,0.264886445609951,0,-0.101158101023546,0,0,0
XEM,0,0.451076912346858,-0.0936652057592526,-0.43899469296822,0,-0.0980437114261431,0.325207426893212,0.337376245771686,-0.0374671800179425,0.101941449234809,0,0,0,0.25056465819103,0.105797102320516,0,0,0,0,0.0243322033169456
XMR,0.882839189859146,0,0,0,0.201774162382601,0,0,0.113876997788182,0.0995778466207583,0.075940769579778,-0.256698879816753,0,0.126921404866899,0.0903521626908631,-0.039465373500829,0,0,0,0,0
DASH,0.361382289219599,0.138167449394458,0,0.0282286134012455,0,0,0.109469998435597,0,0.103174044747564,0.029677501748154,0.035669214556883,0,0,0.0655039316236619,0,0,0,0,0,0.07186329917205
TRX,0,0,0,0.279028359254283,0,0.0631988905605919,-0.771357203990646,-0.515251205857591,0.146143638100357,0.376674126084393,-0.0000000000000000138777878078145,0,1.02698317502831,0,0.187447841159833,0,0,0,0,-0.144717713484969
ETC,0,0,0.760654818583439,0,-0.0179926954714373,0.0643353966685796,0.0204814225478902,0,0,0.136107894445992,0.143672374615581,-0.178611023457693,0,0.0621385052622568,0,0,0,0,0,-0.0282896748143341
BV010082.INDEX,0,-0.00872922136708434,0,-0.0567046482724969,0,0.0256518714099041,0,0.0509081213461086,-0.0219086148660346,0,-0.0545691564072568,0,0.190891531192997,-0.0274988006063651,-0.00949552937623156,0,0,0,0,-0.07272481918997
CVIX.INDEX,0,0,0.0424546533832476,-0.0837011349718764,0,-0.117560611832175,0.139812203536818,0.0276171897971618,0,-0.0563935112895707,-0.246843694453912,-0.0389221958228133,0.186015837792138,0.0547236480215672,0,0,0,0,0,0.0043052928043322
DXY.INDEX,0,0,0.0190234232643362,-0.0192305002569976,0,-0.00870107840326664,0.0139213305706995,-0.0055587185251925,0,0.0155959526232858,0,-0.0324321165095734,0.0190230687150625,-0.0109431613209845,0.00374606116896147,0.0298855313159576,0,0,0,0.00597540647360698
SPX.INDEX,-0.07528085876006,0,0,0,0.0317195239853414,0.0448298258038819,-0.0489813317072374,0.010845987689453,0,0,-0.0074618145445886,0.0128670416472827,0,-0.0230739191423203,0.0246734797084342,0.0696232103177807,0.0545376514518836,0,0,-0.0869597643928988
VIX.INDEX,-0.284216097727376,0,0,0,-0.353820793383028,0,0,0,-0.205336713545897,0.407434762026896,0.208712978075648,0,0,0.193763996205866,0.0270881453870337,-1.09953193704015,0,0,-3.38386827920598,0
