,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,MIOTA,DASH,TRX,NEO,ETC,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.198825220095432,0.0401315320451162,0,0.00663868532681635,0.456137675096876,0,0,0.0167374971592102,0,0.241567072739199,0,0,0,0,0,0,0,0
ETH,0.0425690865703654,0,0,0.246655089967783,0.0971697344842151,0,0.181074400865102,0.030153876343385,0.15526950705988,0,0.0119337898939196,0,0,0.262138130414428,0.101033771909764,0,0,0,0,0
XRP,0,0.179793043969306,0,0.228746680696033,0.122749156702034,0,0.0209151678752844,-0.099788741275508,0.194873712490981,0.251011100446404,-0.0762323951069472,-0.160830874189212,0.118182093271812,0.132968591854787,0,0,0,0,0,0.0867211845073687
BCH,0.123143779510969,0.0185625841740343,0,0,0.202529858337024,-0.0668711036442683,0.151163957269773,0,0.251934801409549,0,0.0316741933478285,0.135775568768567,0.0449113316640578,0,-0.0300863293168858,0,0,0,0,0.0212935343238559
EOS,0,0.101391445619737,0,0,0,0.115846193847116,0,0.174116706311121,0,0.0321143690945114,0.106152028622454,0.573488454022588,0.0329132610757639,0,0,0,0,0,0,-0.0398457108067795
XLM,0.204182529249696,0,0,0.198585354711213,0,0,0.00587664083236741,0.194638673434741,0.266631361137978,0,0,0,0.145131373270186,0,0.0407796697203369,0,-0.05664830408813,0,0,0
LTC,0.0568856984127319,0.0396712721235722,0,0.321684670609321,0.0671097395669008,0,0,0.0684215916193977,0,0.159121186813315,0,0,0,0.0521216697381397,0,0,0,0,0,0
XMR,0.42691824121435,0.113353168865396,0.179613141300123,0.263914115118874,0,0.0493557300338503,0,0,0.0940667014290657,0.0197643444641854,0.0475931245390465,-0.121480508014016,0,0.0586961997209964,0,0,0,0,0,0.0324930609049136
ADA,0,0,0,0.350238126126171,0,0.300651870364713,0,0,0,0,0.0457097778953876,0.151890571236331,0,0.200172496179596,0,0,0,0,0,-0.0250223767818273
MIOTA,0.165534437579713,0,0.199532336359037,0,0,0.302842016974553,0,0.0842587836587715,-0.274874578971058,0,0,0.311724633776408,0.542669876368882,-0.0873220674003751,0,0,0,0,0,0
DASH,0,0.146261439810743,-0.207694552215533,0,0.064175702622165,0,0,0.0898564379381621,0.401178401598529,0.147033893171524,0,0,0.176423514715906,0.0550727635820301,0.143671189747366,0,0,0,0,0
TRX,0,0.319367651575014,0,6.93889390390723e-18,0.235683196840967,0.0137592537004366,0,0,0.0954007332252767,0,-0.0524837088022293,0,0.503771046096594,-0.0761001861009879,0,0,0,0,0,0
NEO,-0.117476875026137,0,0,0.605858433115711,-0.0936448976078708,-0.143219745336356,0,0,0.173524499881095,0.266735500518609,0.220781633881599,0,0,-0.0736055292580097,0.155076936461763,-0.0622637619863758,-0.103630532410906,0,0,-3.46944695195361e-18
ETC,0,0.158928821498723,0,0,0.194351829359474,0.112920156005439,0.198509106200549,0,0,0.363035142565703,-0.0534007489999372,0,-0.289232694530127,0,0.105821172046545,0,-0.317918645816694,0,0,0.142371485044883
XTZ,-0.560482013643178,0,-0.31335553849929,0.223477357378886,0,-0.0218905043049607,0,0,0.254883410128694,0,0.0382440364008599,-0.00849031520443562,0.37119971939798,0.207782327956572,0,-0.135379701997235,0,0,0,-0.243721167636122
BV010082.Index,0.0611661966286503,0,0.106480041592736,0,0,-0.00919519072751273,-0.280390223461681,0,0.0242241014901884,0,0.0474919540717516,0.0113782240770973,0,0,0.0445905645104678,0,-0.0465947836952292,0,0,-0.0384829067857936
CVIX.Index,-0.0770292891179146,3.46944695195361e-18,0.306837483905867,0,-0.132644125335543,0,0,-0.134080440402069,0.2157787684791,0,0.0848748417243136,0,-0.200530633403829,0.095258273998986,-0.0596498670977819,0,0,0,0,0.0745431689723733
DXY.Curncy,0,0,-0.000868326714975788,0,0,-0.00465562803720397,0,0.0286583174572946,0,0,0,-0.0186142046206705,0,0,-0.00382187183821716,0,0.157609676366657,0,0,-0.0300038762567919
SPX.Index,0,0,0,0,0,-0.00304708613333009,0,0.00393920920518132,0,0,0,-0.0159638971850994,0,0,0,0,0,0,0,-0.0595681492930326
VIX.Index,0.669206282803086,-0.0605736959481122,-0.0496257625121855,0,0.0190211809148053,-0.280107729003253,0,-0.28501033185415,0.456882112262244,-0.0841781135842552,-0.442076906826733,0.241306184753444,-0.10435374111531,0,0,0,0.280450106953379,0,-3.17958021811592,0
