,BTC,ETH,XRP,BCH,ADA,NEO,LTC,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.102351173154727,-0.0721013708581596,0.14785616874278,0.0260206559854631,0.0469528001083252,0.0761600317870639,-0.0236243836710336,0.124263154245244,0,0.192488001584507,0,-0.000000000000000000867361737988404,0,0,0,0,0
ETH,0,0,0,0,0.0103988190588358,0.0801791336332303,0.230953981370226,0,0.0425332255695754,-0.0264413856447739,0,0.127590923407628,-0.0576250002517925,-0.017503672248822,0.274541142678231,0,0,0,0,-0.0714467251190501
XRP,-0.19816414455035,0,0,0,-0.0360023808076094,0,0.0117463228777782,0.288319415871794,0.343023901295124,0.195150056757926,0,0.245171128385141,0,0.103417031148591,0.0483469639208777,0,0,0,0,0.224133651193402
BCH,0.0459161446644867,0,-0.0776908751528994,0,0,0.191463834881158,0.121052852730648,0.0552456963971064,0.191653097471825,0,0,0.322232020863368,0.0921948418367088,0,0.0605159545045184,0,0,0,0,0.077416696985473
ADA,0,0,0.194059669817106,0,0,0.23403257902242,0.0520513813362582,0.216063361421098,0,0.112656245524359,0,0,0,0.0556126632337198,0.0951264132695109,0,0,0,0,0
NEO,0.107859958543515,0.62593353745829,0,-0.0666988592699192,0.0264535691516788,0,0,0.106927476952321,0,0,-0.145485473061535,0,0,-0.026833618673827,0.349405964497738,0,0,0,0,0
LTC,0.127395041866413,0.15945409553549,0,0,0,0,0,-0.00000000000000000173472347597681,0.0222862011674374,0,0.172447012344995,0,0,0.0574955233505793,0.0193248465317106,0,0,0,0,0
XLM,0.0101745016879772,0,0.287118044864764,0,0.185521428704116,0.142949482343409,0.0439980928705124,0,0.0591858894945094,0.0192568623519389,0.0883675239055463,0,0.251594127893829,-0.186448623981081,0,0,0,0,0,0
EOS,0,0,0,0.279305174103362,0,-0.0316951528070038,0.352178227223489,0.225682617086431,0,0.0449205433860016,0,0,0,0.109729862966841,0.0827027450631027,0,0,0,0,0
XEM,0,0,0.262612778437962,0.0756406319874646,0,0.108829847672471,-0.476341984081841,0.00000000000000000346944695195361,0.11308889991673,0,0.24665131586197,0,0,0,0.231368189528672,0,0,0,0,0
MIOTA,0.464379083951617,0,-0.141735523933992,0,-0.0239651341902793,0,0,0.162233101158916,0.390199758590302,0.129739226330137,0,0,0,-0.115890361242863,0.223276261600354,0,0,0,0,0
DASH,0,0,0.0242527221198841,0,0.0161244006628334,0,0.173885715460566,0,0.0866434398529721,0,0.029267455781651,0,0.0941057476847565,-0.0119076578001939,0.273001163937807,0,0,0,0,0
XMR,0.0642298773872147,0,-0.0191254261392378,0.200508649187898,0,0.181874107256116,0.0363938013047087,0.0678201224921939,0.0171078133694716,-0.036025725423228,0,0.142176243182983,0,0.0540118241316503,0.26932179896037,0,0,0,0,0
TRX,1.4102391006214,0.217557630178833,0.273188382335899,0.0000000000000000138777878078145,0,-0.0379190273924159,-0.706488744139309,0,0.262683706622752,-0.793060810038717,0.368710199193095,0,0,0,0,0,0,0,0,0
ETC,0,0.299663103734649,0.0170393521841313,0.264406852587211,0.155378650195692,0.0438773236780987,0.0320904469472686,-0.0660333316216129,0,-0.0235270093070304,0.122712797833922,-0.146094217657247,0.346445162136669,0.0524317251290708,0,0,0,0,0,0
BV010082.INDEX,-0.0460219387799761,0,0,0.00756180435836977,-0.0278961208717394,-0.0187808522750276,0.0216542555388226,0,-0.0056310995548018,-0.00222533100061843,0.0194923900304098,0.00565019645277777,0.0270225652535313,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0.0381605405603645,0,-0.0131654384489986,-0.00331665008497914,0,0.0143723018046315,0,-0.053130101864998,0,-0.0089848344535084,-0.0416162111808945,0,0,0,0,0
DXY.INDEX,0,0,0.00473536162852305,0,0,0,0,-0.0115381557660912,-0.00300285838386427,-0.00174542217568471,0.0102888479556946,0,0.00831382273705566,0.0034050297314125,-0.0230970918670437,0,-0.0450498777059698,0,0,-0.0302429736346959
SPX.INDEX,0,0.00742794999870955,0.00210711180941501,0,0.000923831815606196,0.0069735009336946,0,-0.00345581728560046,0.00246034834950155,0.00165725206910034,0,0,0,-0.00100818956142932,0,0,0,0,0,-0.0283288285331161
VIX.INDEX,-0.071397518628756,-0.0596821897580281,0,0.0781359612118403,-0.184991742094235,0,-0.091503354100608,-0.0106476764755149,-0.100893655237748,-0.0285101308191605,0.105737901406903,0.0422378833193032,0.0946629973295917,-0.0130617661825962,0.000000000000000000867361737988404,0,0,0,0,0
