,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.175981233793581,0,0.0737790781232908,0,0,0.095190407539259,0,0.0590602039436032,0,0,0,0.00829075165786107,0.150897191154809,0.0515960487764004,0,0,0,0,0.116910914330349
ETH,0.134047375710476,0,0.158859614322138,0.0763402409782821,0.0434897913305824,0.411358850410421,3.46944695195361e-18,0.042808177614992,0.072700358254381,0.147778878776592,0,0,-0.0866861142874645,0,0,0,0,0,0,0.0337774821352475
XRP,0,0.190016506577464,0,0,0.0430408454291541,0,0.142358148307093,0.144547136512296,0,0.0206559237397234,0.0932025985948952,0.173563929580471,0.00812185992617904,0,0.0883944605931714,0,0,0,0,0
BCH,0,0.588760469222058,0.0201616846545389,0,-0.114493952583091,0,0.303567531111641,0,0,0.104035387442674,0,0,0,0.0127847626751616,0,0,-0.293649135289219,0,0,0
EOS,0,-0.407753395808142,0,0.57183887554438,0,0,-0.216618432004514,0.105253538457837,-0.172605153033552,0,0.623771758538048,0.62970596124188,-0.461760638168191,0,0,0,0.217766731820243,0,0,0
LTC,0,0.4390014336048,0.00119120161824879,0,0,0,0.180544583566998,0,0.019110688088125,0,0.073389633630073,0,0.153297371104411,0.0106039010301605,0,0,0,0,0,0
XLM,0.268675427220424,0,0,0.0462986624631961,0,0,0,0.23406465897301,0.0268433403144874,0.0333962843189226,0.178687853781219,0.192332330000908,0,0,0.0704560473215671,0,0,0,0,-0.00244456499513367
ADA,0,0,0.350562451655958,0.084783344823052,0.109131005391078,0,0,0,-0.0426203898770339,0.0478680108607876,0.211285232715734,0.129355767909124,0,0,0,0,0,0,0,0.16273795273106
TRX,0,-0.334375987149718,0,0.817032101812553,0.204516510646364,0,-0.199539645675703,-1.18611277165942,0,0.149035538005586,0.215459168893723,0,0.14727535458003,0.679116426615954,0,0,0,0,0,0
MIOTA,-0.0376793574238515,-0.0951915775180846,0.333332506487443,0.0490883441678313,-0.171040211497399,-0.0651657034762426,0.295213453087009,0.190009270280988,0.135506312142217,0,0,1.73472347597681e-18,0,0,0.341157851271325,0,0,0,0,0
NEO,0,0,0,0,0.10682562898077,0.0926015884192985,0,0.0399905786857296,0,0.186271433871902,0,0.126235552026162,1.38777878078145e-17,0,0.251751056675992,0,0,0,0,0.0258015185368713
XMR,0,0,0,0.170516654674172,0,0,0,0.140695989941589,0.0681076420966404,0,-0.015440375967312,0,0.0821830698940033,0.196664511452047,0.158571261230602,0,0,0,0,0
DASH,0.620956060684983,0.0826627267993383,0,0.116135976680266,-0.0727229866318301,1.73472347597681e-18,0,0.046374288962976,0.00903236649585048,0.0285606841231933,0.172637630293186,0,0,0.175670168913759,0,0,0,0,0,0.00688246588959287
XEM,0,0,0.00812591187200156,0.0994146829756659,0.0233880791238609,0,0.356008110271345,0.0965321797158493,0.10750163217537,0,0.0219226982359606,0,0,0,0.14972583289547,0,0,0,0,0
ETC,0,0.181812611849166,0.300475023794587,0,0,0.294991864703534,0.0648665758589972,0.0209588056571713,0,0.0217187835709199,0.133731586146263,0,0,0,0,0,0,0,0,-0.00270379921266332
BV010082.Index,0,0.0413854675813763,0,0.148315250424523,-0.138275210252347,0,-0.0483910115436185,0.0354871983826057,-0.0170112712132696,-0.00494502924605609,0,0.204249568556151,-0.0610719705574713,0,-0.179009448428605,0,0,0,0,-0.029130369381144
CVIX.Index,0,0,-0.142879295156507,0.116707814300796,0.00679645995835605,0,-0.0579827898061354,-0.0701421131478476,0.000210189971127917,0.0510748572912869,0.155037851651951,0.116824561402604,-0.183699872898781,0,0.0359193894545486,0.726332164658725,0,0,0,0.0590578606977172
DXY.Curncy,-0.00849451849697365,-0.012362449312919,0,0,-0.00274382431920565,0.00156642268386777,-0.0280264703606092,0.0164242072712428,0.0057562840870203,-0.0145658413634902,0.0174290100423964,0,0.0230442142600409,0.0087460106702771,0,0,0.0891085848423453,0,0,0
SPX.Index,-0.000662898315444101,0,0.0957235252247922,0,-0.00314219895391013,-0.0128987261615268,0,-0.0131693096035197,0.00834974392688579,-0.00816173265945482,0,-0.0714476057677282,0.0195690922992391,-0.039513002968793,0,0,0,0,0,-0.117339722687135
VIX.Index,0,-0.113479924738922,0.233640310137149,0,-0.0590608630872797,0,0.0356750026020562,-0.0269143283351727,0.196712346825136,0,0.137588637123267,-0.598732896845787,0.594695489671508,-0.383150982095719,0,-0.136572644037828,0,0,-3.98685140180643,0
